WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_a2127a57-0217-4060-88c1-52b71aec84a6

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0841    0.0841
         1   MinMaxScaler DecisionTree                      0:00:16       0.0800    0.0800
         2   StandardScalerWrapper LassoLars                0:00:22       0.1386    0.0800
         3   RobustScaler ElasticNet                        0:00:17       0.1395    0.0800
         4   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0800
         5   RobustScaler ElasticNet                        0:00:23       0.1386    0.0800
         6   RobustScaler DecisionTree                      0:00:21       0.0817    0.0800
         7   MinMaxScaler DecisionTree                      0:00:21       0.0570    0.0570
         8   RobustScaler DecisionTree                      0:00:21       0.1039    0.0570
         9   MinMaxScaler DecisionTree                      0:00:17       0.0694    0.0570
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0704    0.0570
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0707    0.0570
        12   RobustScaler DecisionTree                      0:00:21       0.0648    0.0570
        13   RobustScaler ElasticNet                        0:00:47       0.1392    0.0570
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0677    0.0570
        15   MinMaxScaler DecisionTree                      0:00:22       0.0624    0.0570
        16   MinMaxScaler DecisionTree                      0:00:21       0.0719    0.0570
        17   RobustScaler DecisionTree                      0:00:22       0.0696    0.0570
        18   RobustScaler DecisionTree                      0:00:44       0.0828    0.0570
        19   StandardScalerWrapper DecisionTree             0:00:26       0.0696    0.0570
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0633    0.0570
        21   MinMaxScaler DecisionTree                      0:00:16       0.0662    0.0570
        22   MinMaxScaler DecisionTree                      0:00:16       0.0619    0.0570
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1023    0.0570
        24   StandardScalerWrapper RandomForest             0:00:23       0.0820    0.0570
        25   StandardScalerWrapper DecisionTree             0:00:22       0.0972    0.0570
        26   RobustScaler DecisionTree                      0:00:22       0.0601    0.0570
        27   StandardScalerWrapper DecisionTree             0:00:22       0.0611    0.0570
        28   RobustScaler DecisionTree                      0:00:22       0.0596    0.0570
        29   StandardScalerWrapper DecisionTree             0:00:17       0.0797    0.0570
        30   StandardScalerWrapper DecisionTree             0:00:24       0.0715    0.0570
