Running on local machine
Parent Run ID: AutoML_7226ad94-1628-4a06-92d1-9d305f660612

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:29       0.0883    0.0883
         1   MinMaxScaler DecisionTree                      0:00:22       0.0875    0.0875
         2   StandardScalerWrapper LassoLars                0:00:21       0.0905    0.0875
         3   RobustScaler ElasticNet                        0:00:21       0.0889    0.0875
         4   StandardScalerWrapper LassoLars                0:00:20       0.0905    0.0875
         5   RobustScaler ElasticNet                        0:00:21       0.0903    0.0875
         6   RobustScaler DecisionTree                      0:00:21       0.0949    0.0875
         7   MinMaxScaler DecisionTree                      0:00:21       0.0154    0.0154
         8   RobustScaler DecisionTree                      0:00:21       0.0824    0.0154
         9   MinMaxScaler DecisionTree                      0:00:21       0.0529    0.0154
        10   StandardScalerWrapper DecisionTree             0:00:16       0.0712    0.0154
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0678    0.0154
        12   RobustScaler DecisionTree                      0:00:21       0.0344    0.0154
        13   RobustScaler ElasticNet                        0:00:21       0.1212    0.0154
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0169    0.0154
        15   MinMaxScaler DecisionTree                      0:00:22       0.0473    0.0154
        16   MinMaxScaler DecisionTree                      0:00:21       0.0454    0.0154
        17   RobustScaler DecisionTree                      0:00:20       0.0511    0.0154
        18   RobustScaler DecisionTree                      0:00:20       0.0795    0.0154
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0612    0.0154
        20   StandardScalerWrapper DecisionTree             0:00:21       0.0221    0.0154
        21   MinMaxScaler DecisionTree                      0:00:24       0.0614    0.0154
        22   MinMaxScaler DecisionTree                      0:00:21       0.0244    0.0154
        23   StandardScalerWrapper DecisionTree             0:00:21       0.1096    0.0154
        24   RobustScaler DecisionTree                      0:00:21       0.0342    0.0154
        25   StandardScalerWrapper DecisionTree             0:00:21       0.1118    0.0154
        26   StandardScalerWrapper DecisionTree             0:00:21       0.0750    0.0154
        27   StandardScalerWrapper DecisionTree             0:00:21       0.0566    0.0154
        28   MinMaxScaler DecisionTree                      0:00:21       0.0627    0.0154
        29   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1111    0.0154
        30   StandardScalerWrapper DecisionTree             0:00:21       0.0470    0.0154
        31   StandardScalerWrapper DecisionTree             0:00:22       0.0780    0.0154
        32   RobustScaler DecisionTree                      0:00:21       0.0152    0.0152
        33   StandardScalerWrapper DecisionTree             0:00:23       0.0304    0.0152
        34   StandardScalerWrapper DecisionTree             0:00:22       0.0125    0.0125
        35   RobustScaler DecisionTree                      0:00:21       0.1587    0.0125
        36   RobustScaler DecisionTree                      0:00:21       0.0319    0.0125
        37   StandardScalerWrapper DecisionTree             0:00:21       0.0601    0.0125
        38   MinMaxScaler DecisionTree                      0:00:22       0.0202    0.0125
        39   StandardScalerWrapper DecisionTree             0:00:16       0.0507    0.0125
        40   StandardScalerWrapper DecisionTree             0:00:21       0.0607    0.0125
        41   RobustScaler DecisionTree                      0:00:21       0.0247    0.0125
        42   StandardScalerWrapper DecisionTree             0:00:21       0.0543    0.0125
        43   MinMaxScaler DecisionTree                      0:00:21       0.0888    0.0125
        44   RobustScaler DecisionTree                      0:00:23       0.0279    0.0125
        45   StandardScalerWrapper DecisionTree             0:00:22       0.0353    0.0125
        46   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_7226ad94-1628-4a06-92d1-9d305f660612_46/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=LcETCzoPDKvSIH0xa3uhTv5n%2FsZQ8ankOX0R24pXQWE%3D&st=2020-09-18T01%3A48%3A44Z&se=2020-09-19T01%3A58%3A44Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_7226ad94-1628-4a06-92d1-9d305f660612_46/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=QQnszu5QIQw6sLWzSgAIZOEUdkaP0M6e3UiC41oblSc%3D&st=2020-09-18T01%3A48%3A44Z&se=2020-09-19T01%3A58%3A44Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_7226ad94-1628-4a06-92d1-9d305f660612_46/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=9RKzGIvh3bpBpj7lYSYl6e04kSrIP0EXe97cpxXba5Q%3D&st=2020-09-18T01%3A48%3A44Z&se=2020-09-19T01%3A58%3A44Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:10       0.0320    0.0125
        47   MinMaxScaler DecisionTree                      0:00:21       0.0221    0.0125
        48   MinMaxScaler DecisionTree                      0:00:22       0.0580    0.0125
        49   MinMaxScaler DecisionTree                      0:00:21       0.0146    0.0125
        50   MinMaxScaler DecisionTree                      0:00:22       0.0660    0.0125
        51   StandardScalerWrapper DecisionTree             0:00:22       0.0424    0.0125
        52   MinMaxScaler DecisionTree                      0:00:21       0.0677    0.0125
        53   MinMaxScaler DecisionTree                      0:00:23       0.0328    0.0125
        54   RobustScaler ExtremeRandomTrees                0:00:23       0.1194    0.0125
        55   MinMaxScaler DecisionTree                      0:00:21       0.1087    0.0125
        56   MinMaxScaler DecisionTree                      0:00:21       0.0679    0.0125
        57   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_7226ad94-1628-4a06-92d1-9d305f660612_57/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=rnvEbcK8Sdj%2FQnJjIUWhgM0Kl5koyMt5AYN%2B2stDpoQ%3D&st=2020-09-18T01%3A55%3A38Z&se=2020-09-19T02%3A05%3A38Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_7226ad94-1628-4a06-92d1-9d305f660612_57/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=N9xC2u5cqfM%2BBWehEKGtIGSHo535YrHT4MVGPwbVVHk%3D&st=2020-09-18T01%3A55%3A38Z&se=2020-09-19T02%3A05%3A38Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler DecisionTree                      0:03:08       0.0472    0.0125
        58   MinMaxScaler DecisionTree                      0:00:22       0.1072    0.0125
        59   RobustScaler DecisionTree                      0:00:21       0.0512    0.0125
        60   MinMaxScaler DecisionTree                      0:00:21       0.0431    0.0125
        61   StandardScalerWrapper DecisionTree             0:00:22       0.0819    0.0125
        62   StandardScalerWrapper DecisionTree             0:00:22       0.0515    0.0125
        63   RobustScaler DecisionTree                      0:00:22       0.0673    0.0125
        64   RobustScaler DecisionTree                      0:00:23       0.0265    0.0125
        65   StandardScalerWrapper DecisionTree             0:00:22       0.0879    0.0125
        66   StandardScalerWrapper DecisionTree             0:00:21       0.0761    0.0125
        67   RobustScaler DecisionTree                      0:00:21       0.0445    0.0125
        68   RobustScaler DecisionTree                      0:00:21       0.0130    0.0125
        69   MinMaxScaler DecisionTree                      0:00:21       0.0379    0.0125
        70   RobustScaler DecisionTree                      0:00:23       0.0511    0.0125
        71   MinMaxScaler DecisionTree                      0:00:21       0.0325    0.0125
        72   StandardScalerWrapper RandomForest             0:00:23       0.0908    0.0125
        73   StandardScalerWrapper DecisionTree             0:00:21       0.0254    0.0125
        74   RobustScaler DecisionTree                      0:00:21       0.1200    0.0125
        75   StandardScalerWrapper DecisionTree             0:00:24       0.1028    0.0125
        76   RobustScaler DecisionTree                      0:00:21       0.0231    0.0125
        77   MinMaxScaler DecisionTree                      0:00:21       0.0706    0.0125
        78   StandardScalerWrapper DecisionTree             0:00:21       0.0248    0.0125
        79   MinMaxScaler DecisionTree                      0:00:21       0.0597    0.0125
        80   MinMaxScaler DecisionTree                      0:00:22       0.0814    0.0125
        81   RobustScaler DecisionTree                      0:00:21       0.0234    0.0125
        82   MinMaxScaler DecisionTree                      0:00:23       0.0402    0.0125
        83   StandardScalerWrapper DecisionTree             0:00:17       0.0699    0.0125
        84   MinMaxScaler DecisionTree                      0:00:21       0.0723    0.0125
        85   RobustScaler DecisionTree                      0:00:21       0.1027    0.0125
        86   StandardScalerWrapper DecisionTree             0:00:21       0.0677    0.0125
        87   MinMaxScaler DecisionTree                      0:00:22       0.0170    0.0125
        88   StandardScalerWrapper RandomForest             0:00:24       0.0174    0.0125
        89   RobustScaler DecisionTree                      0:00:22       0.0762    0.0125
        90   MinMaxScaler DecisionTree                      0:00:22       0.0990    0.0125
        91   MinMaxScaler RandomForest                      0:00:23       0.0134    0.0125
        92   MinMaxScaler RandomForest                      0:00:29       0.1029    0.0125
        93   MinMaxScaler DecisionTree                      0:00:22       0.0081    0.0081
        94   MinMaxScaler DecisionTree                      0:00:22       0.0492    0.0081
        95   RobustScaler DecisionTree                      0:00:22       0.0606    0.0081
        96   RobustScaler DecisionTree                      0:00:21       0.0974    0.0081
        97   StandardScalerWrapper DecisionTree             0:00:21       0.0239    0.0081
        98   MinMaxScaler DecisionTree                      0:00:21       0.0429    0.0081
        99   MinMaxScaler DecisionTree                      0:00:21       0.0297    0.0081
       100   MinMaxScaler DecisionTree                      0:00:21       0.1180    0.0081
       101   MinMaxScaler DecisionTree                      0:00:23       0.0463    0.0081
       102   StandardScalerWrapper DecisionTree             0:00:22       0.0281    0.0081
       103   StandardScalerWrapper DecisionTree             0:00:22       0.0913    0.0081
       104   MinMaxScaler DecisionTree                      0:00:22       0.1096    0.0081
       105   RobustScaler DecisionTree                      0:00:23       0.0631    0.0081
       106   RobustScaler DecisionTree                      0:00:21       0.0579    0.0081
       107   MinMaxScaler DecisionTree                      0:00:21       0.0709    0.0081
       108   RobustScaler DecisionTree                      0:00:21       0.0965    0.0081
       109   StandardScalerWrapper DecisionTree             0:00:21       0.0500    0.0081
       110   MinMaxScaler DecisionTree                      0:00:22       0.0741    0.0081
