Running on local machine
Parent Run ID: AutoML_f719cdc6-c356-4533-a0f6-8fd502d42adf

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0610    0.0610
         1   MinMaxScaler DecisionTree                      0:00:21       0.0959    0.0610
         2   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0610
         3   RobustScaler ElasticNet                        0:00:22       0.0889    0.0610
         4   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0610
         5   RobustScaler ElasticNet                        0:00:22       0.0903    0.0610
         6   RobustScaler DecisionTree                      0:00:21       0.0721    0.0610
         7   MinMaxScaler DecisionTree                      0:00:23       0.0177    0.0177
         8   RobustScaler DecisionTree                      0:00:22       0.1091    0.0177
         9   MinMaxScaler DecisionTree                      0:00:22       0.0528    0.0177
        10   StandardScalerWrapper DecisionTree             0:00:23       0.0789    0.0177
        11   StandardScalerWrapper DecisionTree             0:00:24       0.0912    0.0177
        12   RobustScaler DecisionTree                      0:00:23       0.0402    0.0177
        13   RobustScaler ElasticNet                        0:00:40       0.1212    0.0177
        14   StandardScalerWrapper DecisionTree             0:00:23       0.0756    0.0177
        15   MinMaxScaler DecisionTree                      0:00:23       0.0245    0.0177
        16   MinMaxScaler DecisionTree                      0:00:23       0.0845    0.0177
        17   RobustScaler DecisionTree                      0:00:22       0.0568    0.0177
        18   RobustScaler DecisionTree                      0:00:21       0.0772    0.0177
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0639    0.0177
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0262    0.0177
        21   MinMaxScaler DecisionTree                      0:00:22       0.0312    0.0177
        22   StandardScalerWrapper DecisionTree             0:00:23       0.1083    0.0177
        23   MinMaxScaler DecisionTree                      0:00:23       0.0947    0.0177
        24   StandardScalerWrapper DecisionTree             0:00:21       0.0748    0.0177
        25   StandardScalerWrapper DecisionTree             0:00:23       0.1182    0.0177
        26   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1302    0.0177
        27   MinMaxScaler DecisionTree                      0:00:23       0.0297    0.0177
        28   StandardScalerWrapper RandomForest             0:00:24       0.0890    0.0177
        29   MinMaxScaler DecisionTree                      0:00:22       0.0656    0.0177
