WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_f740df8b-55dc-4b89-807d-7aa3c93ca508

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1013    0.1013
         1   MinMaxScaler DecisionTree                      0:00:21       0.1021    0.1013
         2   StandardScalerWrapper LassoLars                0:00:20       0.1122    0.1013
         3   RobustScaler ElasticNet                        0:00:21       0.1124    0.1013
         4   StandardScalerWrapper LassoLars                0:00:21       0.1122    0.1013
         5   RobustScaler ElasticNet                        0:00:22       0.1122    0.1013
         6   RobustScaler DecisionTree                      0:00:21       0.1019    0.1013
         7   MinMaxScaler DecisionTree                      0:00:21       0.1030    0.1013
         8   RobustScaler DecisionTree                      0:00:21       0.1047    0.1013
         9   MinMaxScaler DecisionTree                      0:00:21       0.0996    0.0996
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0990    0.0990
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0999    0.0990
        12   RobustScaler DecisionTree                      0:00:22       0.0995    0.0990
        13   RobustScaler ElasticNet                        0:00:26       0.1123    0.0990
        14   StandardScalerWrapper DecisionTree             0:00:26       0.1007    0.0990
        15   MinMaxScaler DecisionTree                      0:00:21       0.1001    0.0990
        16   MinMaxScaler DecisionTree                      0:00:21       0.1001    0.0990
        17   RobustScaler DecisionTree                      0:00:24       0.1000    0.0990
        18   RobustScaler DecisionTree                      0:00:21       0.1015    0.0990
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0993    0.0990
        20   StandardScalerWrapper DecisionTree             0:00:27       0.1010    0.0990
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1032    0.0990
        22   MinMaxScaler DecisionTree                      0:00:27       0.0997    0.0990
        23   MinMaxScaler DecisionTree                      0:00:22       0.0995    0.0990
        24   MinMaxScaler LightGBM                          0:00:22       0.1018    0.0990
        25   RobustScaler DecisionTree                      0:00:21       0.1061    0.0990
        26   MinMaxScaler DecisionTree                      0:00:22       0.1016    0.0990
        27   StandardScalerWrapper RandomForest             0:00:24       0.1044    0.0990
        28   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1007    0.0990
        29   StandardScalerWrapper RandomForest             0:00:23       0.1019    0.0990
        30   RobustScaler DecisionTree                      0:00:23       0.1037    0.0990
