WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_eafaba28-e8f8-47f3-b43f-19a15e35ad45

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1012    0.1012
         1   MinMaxScaler DecisionTree                      0:00:21       0.1002    0.1002
         2   StandardScalerWrapper LassoLars                0:00:21       0.1122    0.1002
         3   RobustScaler ElasticNet                        0:00:22       0.1124    0.1002
         4   StandardScalerWrapper LassoLars                0:00:23       0.1122    0.1002
         5   RobustScaler ElasticNet                        0:00:21       0.1122    0.1002
         6   RobustScaler DecisionTree                      0:00:20       0.1013    0.1002
         7   MinMaxScaler DecisionTree                      0:00:21       0.1021    0.1002
         8   RobustScaler DecisionTree                      0:00:21       0.1035    0.1002
         9   MinMaxScaler DecisionTree                      0:00:22       0.1004    0.1002
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0997    0.0997
        11   StandardScalerWrapper DecisionTree             0:00:22       0.1000    0.0997
        12   RobustScaler DecisionTree                      0:00:22       0.0995    0.0995
        13   RobustScaler ElasticNet                        0:00:16       0.1123    0.0995
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1022    0.0995
        15   MinMaxScaler DecisionTree                      0:00:21       0.1000    0.0995
        16   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_eafaba28-e8f8-47f3-b43f-19a15e35ad45_16/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=S6KoKjrTwdSC6MmzSdKcMO4bUSbqxFg3aJvUjZC30Eg%3D&st=2020-10-01T09%3A05%3A46Z&se=2020-10-02T09%3A15%3A46Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_eafaba28-e8f8-47f3-b43f-19a15e35ad45_16/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=uFNpwTS7bPGImKbS4EcjhE25loPzJlmpuvK5IeGAN8Y%3D&st=2020-10-01T09%3A05%3A46Z&se=2020-10-02T09%3A15%3A46Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:08       0.0993    0.0993
        17   RobustScaler DecisionTree                      0:00:20       0.1003    0.0993
        18   RobustScaler DecisionTree                      0:00:23       0.1016    0.0993
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0999    0.0993
        20   StandardScalerWrapper DecisionTree             0:00:22       0.1006    0.0993
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1030    0.0993
        22   MinMaxScaler DecisionTree                      0:00:22       0.0999    0.0993
        23   MinMaxScaler DecisionTree                      0:00:22       0.1000    0.0993
        24   MinMaxScaler LightGBM                          0:00:21       0.1018    0.0993
        25   RobustScaler DecisionTree                      0:00:22       0.1056    0.0993
        26   MinMaxScaler DecisionTree                      0:00:21       0.1008    0.0993
        27   StandardScalerWrapper RandomForest             0:00:23       0.1045    0.0993
        28   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1008    0.0993
        29   StandardScalerWrapper RandomForest             0:00:23       0.1020    0.0993
        30   RobustScaler DecisionTree                      0:00:22       0.1057    0.0993
        31   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1014    0.0993
        32   RobustScaler RandomForest                      0:00:24       0.0971    0.0971
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1020    0.0971
        34   RobustScaler RandomForest                      0:00:24       0.1031    0.0971
        35   MinMaxScaler RandomForest                      0:00:24       0.1083    0.0971
        36   MinMaxScaler RandomForest                      0:00:23       0.0982    0.0971
        37   MinMaxScaler ExtremeRandomTrees                0:00:22       0.1006    0.0971
        38   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1039    0.0971
        39   RobustScaler ExtremeRandomTrees                0:00:28       0.1018    0.0971
        40   RobustScaler RandomForest                      0:00:25       0.1085    0.0971
        41   MinMaxScaler DecisionTree                      0:00:21       0.1033    0.0971
        42   RobustScaler RandomForest                      0:00:24       0.1001    0.0971
        43   RobustScaler RandomForest                      0:00:23       0.1026    0.0971
        44   RobustScaler ExtremeRandomTrees                0:00:24       0.0995    0.0971
        45   RobustScaler RandomForest                      0:00:23       0.1050    0.0971
        46   RobustScaler ExtremeRandomTrees                0:00:24       0.1055    0.0971
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0995    0.0971
        48   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1016    0.0971
        49   RobustScaler RandomForest                      0:00:23       0.1057    0.0971
        50   StandardScalerWrapper RandomForest             0:00:23       0.1048    0.0971
        51   RobustScaler ExtremeRandomTrees                0:00:23       0.1044    0.0971
        52   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1071    0.0971
        53   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1030    0.0971
        54   RobustScaler RandomForest                      0:00:26       0.1046    0.0971
        55   StandardScalerWrapper RandomForest             0:00:26       0.1071    0.0971
        56   RobustScaler ExtremeRandomTrees                0:00:27       0.0977    0.0971
        57   RobustScaler RandomForest                      0:00:23       0.0971    0.0971
        58   MinMaxScaler RandomForest                      0:00:26       0.1029    0.0971
        59   RobustScaler ExtremeRandomTrees                0:00:30       0.1026    0.0971
        60   RobustScaler RandomForest                      0:00:23       0.1086    0.0971
        61   MinMaxScaler ExtremeRandomTrees                0:00:23       0.1028    0.0971
        62   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0982    0.0971
        63   MinMaxScaler ExtremeRandomTrees                0:00:31       0.0992    0.0971
        64   RobustScaler ExtremeRandomTrees                0:00:27       0.1050    0.0971
        65   MinMaxScaler RandomForest                      0:00:25       0.1105    0.0971
        66   MinMaxScaler RandomForest                      0:00:23       0.1034    0.0971
        67   StandardScalerWrapper GradientBoosting         0:00:24       0.1019    0.0971
        68   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1005    0.0971
        69   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.1023    0.0971
        70   RobustScaler RandomForest                      0:00:24       0.1076    0.0971
        71   StandardScalerWrapper RandomForest             0:00:23       0.1022    0.0971
        72   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1025    0.0971
        73   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1016    0.0971
        74   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1008    0.0971
