Running on local machine
Parent Run ID: AutoML_93718853-45a1-4e13-b58d-61f272979f94

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:24       0.0099    0.0099
         1   MinMaxScaler DecisionTree                      0:00:22       0.0185    0.0099
         2   StandardScalerWrapper LassoLars                0:00:23       0.0340    0.0099
         3   RobustScaler ElasticNet                        0:00:22       0.0303    0.0099
         4   StandardScalerWrapper LassoLars                0:00:18       0.0339    0.0099
         5   RobustScaler ElasticNet                        0:00:26       0.0311    0.0099
         6   RobustScaler DecisionTree                      0:00:22       0.0344    0.0099
         7   MinMaxScaler DecisionTree                      0:00:22       0.0285    0.0099
         8   RobustScaler DecisionTree                      0:00:22       0.0508    0.0099
         9   MinMaxScaler DecisionTree                      0:00:22       0.0189    0.0099
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0246    0.0099
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0225    0.0099
        12   RobustScaler DecisionTree                      0:00:23       0.0189    0.0099
        13   RobustScaler ElasticNet                        0:00:22       0.0448    0.0099
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0167    0.0099
        15   MinMaxScaler DecisionTree                      0:00:22       0.0191    0.0099
        16   MinMaxScaler DecisionTree                      0:00:22       0.0315    0.0099
        17   RobustScaler DecisionTree                      0:00:22       0.0112    0.0099
        18   RobustScaler DecisionTree                      0:00:22       0.0331    0.0099
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0132    0.0099
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0237    0.0099
        21   StandardScalerWrapper DecisionTree             0:00:24       0.0129    0.0099
        22   MinMaxScaler DecisionTree                      0:00:23       0.0106    0.0099
        23   MinMaxScaler DecisionTree                      0:00:23       0.0243    0.0099
        24   MinMaxScaler DecisionTree                      0:00:23       0.0207    0.0099
        25   StandardScalerWrapper DecisionTree             0:00:22       0.0373    0.0099
        26   StandardScalerWrapper RandomForest             0:00:25       0.0163    0.0099
        27   StandardScalerWrapper DecisionTree             0:00:18       0.0177    0.0099
        28   MinMaxScaler LightGBM                          0:00:28       0.0336    0.0099
        29   MinMaxScaler RandomForest                      0:00:33       0.0361    0.0099
