WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_35e7d1e9-1def-413b-b168-7bce4dcf1fb8

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.1408    0.1408
         1   MinMaxScaler DecisionTree                      0:00:21       0.1407    0.1407
         2   StandardScalerWrapper LassoLars                0:00:16       0.1484    0.1407
         3   RobustScaler ElasticNet                        0:00:21       0.1486    0.1407
         4   StandardScalerWrapper LassoLars                0:00:21       0.1484    0.1407
         5   RobustScaler ElasticNet                        0:00:23       0.1484    0.1407
         6   RobustScaler DecisionTree                      0:00:21       0.1412    0.1407
         7   MinMaxScaler DecisionTree                      0:00:16       0.1436    0.1407
         8   RobustScaler DecisionTree                      0:00:21       0.1434    0.1407
         9   MinMaxScaler DecisionTree                      0:00:21       0.1399    0.1399
        10   StandardScalerWrapper DecisionTree             0:00:16       0.1396    0.1396
        11   StandardScalerWrapper DecisionTree             0:00:21       0.1401    0.1396
        12   RobustScaler DecisionTree                      0:00:21       0.1397    0.1396
        13   RobustScaler ElasticNet                        0:00:21       0.1487    0.1396
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1404    0.1396
        15   MinMaxScaler DecisionTree                      0:00:32       0.1408    0.1396
        16   MinMaxScaler DecisionTree                      0:00:21       0.1407    0.1396
        17   RobustScaler DecisionTree                      0:00:21       0.1400    0.1396
        18   RobustScaler DecisionTree                      0:00:21       0.1412    0.1396
        19   StandardScalerWrapper DecisionTree             0:00:21       0.1414    0.1396
        20   StandardScalerWrapper DecisionTree             0:00:31       0.1408    0.1396
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1419    0.1396
        22   MinMaxScaler LightGBM                          0:00:23       0.1415    0.1396
        23   MinMaxScaler DecisionTree                      0:00:22       0.1415    0.1396
        24   MinMaxScaler DecisionTree                      0:00:21       0.1408    0.1396
        25   RobustScaler DecisionTree                      0:00:22       0.1463    0.1396
        26   MinMaxScaler DecisionTree                      0:00:22       0.1403    0.1396
        27   StandardScalerWrapper RandomForest             0:00:23       0.1430    0.1396
        28   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1405    0.1396
        29   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_35e7d1e9-1def-413b-b168-7bce4dcf1fb8_29/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=OlVJmv4a3fQmP8jIp4a9LjCLYDCfSK%2Fg4bdsOzXiQ4Y%3D&st=2020-10-01T10%3A44%3A33Z&se=2020-10-02T10%3A54%3A33Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper RandomForest             0:03:06       0.1420    0.1396
        30   RobustScaler DecisionTree                      0:00:23       0.1435    0.1396
        31   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1404    0.1396
        32   RobustScaler RandomForest                      0:00:19       0.1387    0.1387
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1412    0.1387
        34   RobustScaler RandomForest                      0:00:24       0.1422    0.1387
        35   MinMaxScaler RandomForest                      0:00:23       0.1455    0.1387
        36   MinMaxScaler RandomForest                      0:00:23       0.1390    0.1387
