WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_dd7f4c7c-b29f-4a4b-b984-469d2e8d2586

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1413    0.1413
         1   MinMaxScaler DecisionTree                      0:00:21       0.1413    0.1413
         2   StandardScalerWrapper LassoLars                0:00:27       0.1484    0.1413
         3   RobustScaler ElasticNet                        0:00:21       0.1486    0.1413
         4   StandardScalerWrapper LassoLars                0:00:21       0.1484    0.1413
         5   RobustScaler ElasticNet                        0:00:27       0.1484    0.1413
         6   RobustScaler DecisionTree                      0:00:23       0.1405    0.1405
         7   MinMaxScaler DecisionTree                      0:00:22       0.1441    0.1405
         8   RobustScaler DecisionTree                      0:00:26       0.1431    0.1405
         9   MinMaxScaler DecisionTree                      0:00:20       0.1416    0.1405
        10   StandardScalerWrapper DecisionTree             0:00:21       0.1404    0.1404
        11   StandardScalerWrapper DecisionTree             0:00:21       0.1397    0.1397
        12   RobustScaler DecisionTree                      0:00:21       0.1406    0.1397
        13   RobustScaler ElasticNet                        0:00:20       0.1487    0.1397
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1407    0.1397
        15   MinMaxScaler DecisionTree                      0:00:22       0.1405    0.1397
        16   MinMaxScaler DecisionTree                      0:00:22       0.1404    0.1397
        17   RobustScaler DecisionTree                      0:00:22       0.1404    0.1397
        18   RobustScaler DecisionTree                      0:00:21       0.1414    0.1397
        19   StandardScalerWrapper DecisionTree             0:00:21       0.1406    0.1397
        20   StandardScalerWrapper DecisionTree             0:00:22       0.1404    0.1397
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1423    0.1397
        22   MinMaxScaler LightGBM                          0:00:22       0.1415    0.1397
        23   MinMaxScaler DecisionTree                      0:00:27       0.1410    0.1397
        24   MinMaxScaler DecisionTree                      0:00:22       0.1406    0.1397
        25   RobustScaler DecisionTree                      0:00:27       0.1463    0.1397
        26   MinMaxScaler DecisionTree                      0:00:27       0.1404    0.1397
        27   StandardScalerWrapper RandomForest             0:00:24       0.1431    0.1397
        28   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1405    0.1397
        29   StandardScalerWrapper RandomForest             0:00:29       0.1416    0.1397
        30   RobustScaler DecisionTree                      0:00:28       0.1430    0.1397
