Running on local machine
Parent Run ID: AutoML_a1a58a27-832d-4d62-81a5-d1ee694fc0b2

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:25       0.0251    0.0251
         1   MinMaxScaler DecisionTree                      0:00:22       0.0299    0.0251
         2   StandardScalerWrapper LassoLars                0:00:29       0.0274    0.0251
         3   RobustScaler ElasticNet                        0:00:22       0.0231    0.0231
         4   StandardScalerWrapper LassoLars                0:00:23       0.0274    0.0231
         5   RobustScaler ElasticNet                        0:00:21       0.0232    0.0231
         6   RobustScaler DecisionTree                      0:00:33       0.0209    0.0209
         7   MinMaxScaler DecisionTree                      0:00:22       0.0183    0.0183
         8   RobustScaler DecisionTree                      0:00:17       0.0131    0.0131
         9   MinMaxScaler DecisionTree                      0:00:22       0.0232    0.0131
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0178    0.0131
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0225    0.0131
        12   RobustScaler DecisionTree                      0:00:22       0.0183    0.0131
        13   RobustScaler ElasticNet                        0:00:29       0.0363    0.0131
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0232    0.0131
        15   MinMaxScaler DecisionTree                      0:00:22       0.0175    0.0131
        16   MinMaxScaler DecisionTree                      0:00:22       0.0162    0.0131
        17   RobustScaler DecisionTree                      0:00:22       0.0138    0.0131
        18   RobustScaler DecisionTree                      0:00:22       0.0173    0.0131
        19   StandardScalerWrapper DecisionTree             0:00:23       0.0262    0.0131
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0183    0.0131
        21   StandardScalerWrapper DecisionTree             0:00:23       0.0237    0.0131
        22   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0309    0.0131
        23   MinMaxScaler DecisionTree                      0:00:25       0.0248    0.0131
        24   MinMaxScaler DecisionTree                      0:00:36       0.0238    0.0131
        25   RobustScaler DecisionTree                      0:00:23       0.0437    0.0131
        26   MinMaxScaler DecisionTree                      0:00:24       0.0133    0.0131
        27   StandardScalerWrapper DecisionTree             0:00:23       0.0134    0.0131
        28   MinMaxScaler DecisionTree                      0:00:22       0.0270    0.0131
        29   StandardScalerWrapper RandomForest             0:00:19       0.0312    0.0131
        30   StandardScalerWrapper DecisionTree             0:00:23       0.0379    0.0131
        31   MinMaxScaler LightGBM                          0:00:23       0.0200    0.0131
        32   RobustScaler ExtremeRandomTrees                0:00:23       0.0239    0.0131
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0330    0.0131
        34   StandardScalerWrapper DecisionTree             0:00:18       0.0123    0.0123
        35   StandardScalerWrapper DecisionTree             0:00:23       0.0233    0.0123
        36   RobustScaler DecisionTree                      0:00:17       0.0118    0.0118
        37   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0270    0.0118
        38   StandardScalerWrapper DecisionTree             0:00:24       0.0160    0.0118
        39   StandardScalerWrapper RandomForest             0:00:27       0.0158    0.0118
        40   RobustScaler DecisionTree                      0:00:24       0.0273    0.0118
        41   RobustScaler RandomForest                      0:00:26       0.0373    0.0118
        42   RobustScaler RandomForest                      0:00:24       0.0104    0.0104
        43   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0301    0.0104
        44   RobustScaler ExtremeRandomTrees                0:00:24       0.0307    0.0104
        45   StandardScalerWrapper RandomForest             0:00:28       0.0361    0.0104
        46   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0369    0.0104
        47   RobustScaler ExtremeRandomTrees                0:00:25       0.0175    0.0104
        48   RobustScaler ExtremeRandomTrees                0:00:24       0.0348    0.0104
        49   StandardScalerWrapper ExtremeRandomTrees       0:00:21       0.0207    0.0104
        50   RobustScaler RandomForest                      0:00:26       0.0491    0.0104
        51   MinMaxScaler RandomForest                      0:00:24       0.0174    0.0104
        52   RobustScaler ExtremeRandomTrees                0:00:41       0.0255    0.0104
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0291    0.0104
        54   RobustScaler ExtremeRandomTrees                0:00:24       0.0211    0.0104
        55   MinMaxScaler RandomForest                      0:00:25       0.0361    0.0104
        56   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0226    0.0104
        57   RobustScaler RandomForest                      0:00:25       0.0240    0.0104
        58   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0225    0.0104
        59   StandardScalerWrapper RandomForest             0:00:20       0.0248    0.0104
        60   RobustScaler RandomForest                      0:00:21       0.0359    0.0104
        61   RobustScaler RandomForest                      0:00:29       0.0080    0.0080
        62   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_a1a58a27-832d-4d62-81a5-d1ee694fc0b2_62/outputs/internal_cross_validated_models.pkl?sv=2019-02-02&sr=b&sig=G6mztKY4pP1%2FbFz3hOKr6TplF88sAuQe3NzI52XJhUM%3D&st=2020-09-02T18%3A45%3A24Z&se=2020-09-03T18%3A55%3A24Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler RandomForest                      0:03:29       0.0162    0.0080
        63   MinMaxScaler ExtremeRandomTrees                0:00:52       0.0380    0.0080
        64   MinMaxScaler DecisionTree                      0:00:23       0.0207    0.0080
        65   MinMaxScaler RandomForest                      0:00:25       0.0125    0.0080
        66   RobustScaler RandomForest                      0:00:19       0.0061    0.0061
        67   MinMaxScaler ExtremeRandomTrees                0:00:29       0.0137    0.0061
        68   RobustScaler RandomForest                      0:00:30       0.0210    0.0061
        69   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_a1a58a27-832d-4d62-81a5-d1ee694fc0b2_69/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=%2FYT3HFkn8jguRp4DbNm7Q9v0PKbDtHo5VfPzamZ%2Fa5g%3D&st=2020-09-02T18%3A51%3A53Z&se=2020-09-03T19%3A01%3A53Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ExtremeRandomTrees                0:02:55       0.0218    0.0061
        70   MinMaxScaler RandomForest                      0:00:24       0.0204    0.0061
        71   RobustScaler ExtremeRandomTrees                0:00:29       0.0222    0.0061
        72   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0268    0.0061
        73   StandardScalerWrapper RandomForest             0:00:28       0.0297    0.0061
        74   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.0291    0.0061
        75   StandardScalerWrapper RandomForest             0:00:30       0.0099    0.0061
        76   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0339    0.0061
        77   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0274    0.0061
        78   RobustScaler ExtremeRandomTrees                0:00:27       0.0354    0.0061
        79   RobustScaler ExtremeRandomTrees                0:00:29       0.0284    0.0061
        80   RobustScaler RandomForest                      0:00:26       0.0212    0.0061
        81   StandardScalerWrapper ExtremeRandomTrees       0:00:31       0.0274    0.0061
        82   MinMaxScaler RandomForest                      0:00:29       0.0187    0.0061
