WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_22a44413-2522-4b52-a947-a26f00620b8e

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1911    0.1911
         1   MinMaxScaler DecisionTree                      0:00:24       0.1916    0.1911
         2   StandardScalerWrapper LassoLars                0:00:24       0.1960    0.1911
         3   RobustScaler ElasticNet                        0:00:22       0.1963    0.1911
         4   StandardScalerWrapper LassoLars                0:00:22       0.1960    0.1911
         5   RobustScaler ElasticNet                        0:00:23       0.1960    0.1911
         6   RobustScaler DecisionTree                      0:00:21       0.1916    0.1911
         7   MinMaxScaler DecisionTree                      0:00:22       0.1948    0.1911
         8   RobustScaler DecisionTree                      0:00:22       0.1924    0.1911
         9   MinMaxScaler DecisionTree                      0:00:22       0.1920    0.1911
        10   StandardScalerWrapper DecisionTree             0:00:23       0.1918    0.1911
        11   StandardScalerWrapper DecisionTree             0:00:22       0.1920    0.1911
        12   RobustScaler DecisionTree                      0:00:22       0.1917    0.1911
        13   RobustScaler ElasticNet                        0:00:21       0.1963    0.1911
        14   StandardScalerWrapper DecisionTree             0:00:21       0.1932    0.1911
        15   MinMaxScaler DecisionTree                      0:00:22       0.1926    0.1911
        16   MinMaxScaler DecisionTree                      0:00:24       0.1910    0.1910
        17   RobustScaler DecisionTree                      0:00:23       0.1919    0.1910
        18   RobustScaler DecisionTree                      0:00:22       0.1916    0.1910
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1918    0.1910
        20   StandardScalerWrapper DecisionTree             0:00:24       0.1936    0.1910
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1923    0.1910
        22   MinMaxScaler LightGBM                          0:00:25       0.1911    0.1910
        23   MinMaxScaler DecisionTree                      0:00:23       0.1922    0.1910
        24   MinMaxScaler DecisionTree                      0:00:22       0.1913    0.1910
        25   RobustScaler DecisionTree                      0:00:22       0.1937    0.1910
        26   MinMaxScaler DecisionTree                      0:00:22       0.1914    0.1910
        27   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1908    0.1908
        28   StandardScalerWrapper RandomForest             0:00:24       0.1925    0.1908
        29   StandardScalerWrapper RandomForest             0:00:27       0.1919    0.1908
