Running on local machine
Parent Run ID: AutoML_933e4148-dc5b-4a07-ac87-2de2de4fed06

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0264    0.0264
         1   MinMaxScaler DecisionTree                      0:00:21       0.0235    0.0235
         2   StandardScalerWrapper LassoLars                0:00:24       0.0069    0.0069
         3   RobustScaler ElasticNet                        0:00:21       0.0084    0.0069
         4   StandardScalerWrapper LassoLars                0:00:21       0.0069    0.0069
         5   RobustScaler ElasticNet                        0:00:21       0.0084    0.0069
         6   RobustScaler DecisionTree                      0:00:22       0.0257    0.0069
         7   MinMaxScaler DecisionTree                      0:00:17       0.0176    0.0069
         8   RobustScaler DecisionTree                      0:00:23       0.0124    0.0069
         9   MinMaxScaler DecisionTree                      0:00:21       0.0164    0.0069
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0447    0.0069
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0314    0.0069
        12   RobustScaler DecisionTree                      0:00:21       0.0316    0.0069
        13   RobustScaler ElasticNet                        0:00:24       0.0163    0.0069
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0198    0.0069
        15   MinMaxScaler DecisionTree                      0:00:21       0.0255    0.0069
        16   MinMaxScaler DecisionTree                      0:00:21       0.0420    0.0069
        17   RobustScaler DecisionTree                      0:00:21       0.0111    0.0069
        18   RobustScaler DecisionTree                      0:00:21       0.0239    0.0069
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0137    0.0069
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0268    0.0069
        21   StandardScalerWrapper DecisionTree             0:00:21       0.0152    0.0069
        22   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0240    0.0069
        23   StandardScalerWrapper DecisionTree             0:00:22       0.0219    0.0069
        24   MinMaxScaler LightGBM                          0:00:17       0.0115    0.0069
        25   TruncatedSVDWrapper LassoLars                  0:00:22       0.0087    0.0069
        26   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0157    0.0069
        27   StandardScalerWrapper ElasticNet               0:00:22       0.0084    0.0069
        28   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.0244    0.0069
        29   MinMaxScaler DecisionTree                      0:00:21       0.0270    0.0069
        30   TruncatedSVDWrapper LassoLars                  0:00:22       0.0091    0.0069
        31   StandardScalerWrapper DecisionTree             0:00:22       0.0262    0.0069
        32   StandardScalerWrapper RandomForest             0:00:23       0.0102    0.0069
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.0235    0.0069
        34   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0226    0.0069
        35   TruncatedSVDWrapper LassoLars                  0:00:23       0.0091    0.0069
        36   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0216    0.0069
        37   StandardScalerWrapper RandomForest             0:00:25       0.0185    0.0069
        38   MinMaxScaler ExtremeRandomTrees                0:00:20       0.0151    0.0069
        39   RobustScaler RandomForest                      0:00:20       0.0273    0.0069
        40   TruncatedSVDWrapper LassoLars                  0:00:22       0.0083    0.0069
        41   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0200    0.0069
        42   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0294    0.0069
        43   MinMaxScaler RandomForest                      0:00:30       0.0158    0.0069
        44   MinMaxScaler RandomForest                      0:00:22       0.0188    0.0069
        45   StandardScalerWrapper LassoLars                0:00:21       0.0073    0.0069
        46   RobustScaler ElasticNet                        0:00:21       0.0082    0.0069
        47   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0102    0.0069
        48   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0242    0.0069
        49   RobustScaler ExtremeRandomTrees                0:00:25       0.0178    0.0069
        50   TruncatedSVDWrapper LassoLars                  0:00:21       0.0091    0.0069
        51   RobustScaler ExtremeRandomTrees                0:00:26       0.0241    0.0069
        52   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0161    0.0069
        53   StandardScalerWrapper RandomForest             0:00:24       0.0264    0.0069
        54   RobustScaler RandomForest                      0:00:24       0.0268    0.0069
        55   PCA LassoLars                                  0:00:23       0.0808    0.0069
        56   RobustScaler RandomForest                      0:00:24       0.0176    0.0069
        57   StandardScalerWrapper RandomForest             0:00:25       0.0227    0.0069
        58   RobustScaler ExtremeRandomTrees                0:00:24       0.0204    0.0069
        59   RobustScaler ExtremeRandomTrees                0:00:28       0.0189    0.0069
        60   TruncatedSVDWrapper LassoLars                  0:00:21       0.0105    0.0069
        61   RobustScaler RandomForest                      0:00:26       0.0233    0.0069
        62   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0195    0.0069
        63   MinMaxScaler RandomForest                      0:00:25       0.0089    0.0069
        64   MinMaxScaler ExtremeRandomTrees                0:00:19       0.0237    0.0069
        65   TruncatedSVDWrapper LassoLars                  0:00:17       0.0080    0.0069
        66   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0151    0.0069
        67   RobustScaler RandomForest                      0:00:23       0.0103    0.0069
        68   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0131    0.0069
        69   RobustScaler ExtremeRandomTrees                0:00:24       0.0247    0.0069
        70   PCA LassoLars                                  0:00:22       0.0808    0.0069
        71   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0216    0.0069
        72   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0215    0.0069
        73   RobustScaler ExtremeRandomTrees                0:00:24       0.0126    0.0069
        74   MinMaxScaler DecisionTree                      0:00:21       0.0297    0.0069
        75   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_933e4148-dc5b-4a07-ac87-2de2de4fed06_75/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=i4FcBGB1YKtcVNUNy0UmAg4cplVJp5NfeyMxyUJkhwg%3D&st=2020-09-18T08%3A45%3A39Z&se=2020-09-19T08%3A55%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_933e4148-dc5b-4a07-ac87-2de2de4fed06_75/outputs/model.pkl?sv=2019-02-02&sr=b&sig=tDvzY1sSNnVcPcrBwZSbfDx6MYBv3Rcqx1Irg1L%2FmHw%3D&st=2020-09-18T08%3A45%3A39Z&se=2020-09-19T08%3A55%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
TruncatedSVDWrapper LassoLars                  0:03:06       0.0091    0.0069
        76   MinMaxScaler RandomForest                      0:00:22       0.0088    0.0069
        77   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0201    0.0069
        78   MinMaxScaler RandomForest                      0:00:23       0.0120    0.0069
        79   StandardScalerWrapper RandomForest             0:00:23       0.0141    0.0069
        80   TruncatedSVDWrapper LassoLars                  0:00:22       0.0080    0.0069
        81   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0176    0.0069
        82   MinMaxScaler RandomForest                      0:00:23       0.0133    0.0069
        83   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0212    0.0069
        84   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0163    0.0069
        85   TruncatedSVDWrapper LassoLars                  0:00:22       0.0091    0.0069
        86   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0075    0.0069
        87   StandardScalerWrapper RandomForest             0:00:24       0.0102    0.0069
        88   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0198    0.0069
