Running on local machine
Parent Run ID: AutoML_edb54382-f8f3-430a-93d4-dc9db44449fc

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0297    0.0297
         1   MinMaxScaler DecisionTree                      0:00:22       0.0206    0.0206
         2   StandardScalerWrapper LassoLars                0:00:16       0.0069    0.0069
         3   RobustScaler ElasticNet                        0:00:21       0.0084    0.0069
         4   StandardScalerWrapper LassoLars                0:00:21       0.0069    0.0069
         5   RobustScaler ElasticNet                        0:00:21       0.0084    0.0069
         6   RobustScaler DecisionTree                      0:00:21       0.0321    0.0069
         7   MinMaxScaler DecisionTree                      0:00:22       0.0329    0.0069
         8   RobustScaler DecisionTree                      0:00:21       0.0233    0.0069
         9   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_edb54382-f8f3-430a-93d4-dc9db44449fc_9/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=VnqF9U%2FAMyXcI7Ww05tuG896%2BV8GmzEfHH0MGOQwstY%3D&st=2020-09-18T11%3A44%3A33Z&se=2020-09-19T11%3A54%3A33Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:09       0.0085    0.0069
        10   StandardScalerWrapper DecisionTree             0:00:24       0.0301    0.0069
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0227    0.0069
        12   RobustScaler DecisionTree                      0:00:22       0.0457    0.0069
        13   RobustScaler ElasticNet                        0:00:21       0.0163    0.0069
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0227    0.0069
        15   MinMaxScaler DecisionTree                      0:00:21       0.0530    0.0069
        16   MinMaxScaler DecisionTree                      0:00:21       0.0229    0.0069
        17   RobustScaler DecisionTree                      0:00:43       0.0253    0.0069
        18   RobustScaler DecisionTree                      0:00:21       0.0228    0.0069
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0344    0.0069
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0213    0.0069
        21   MinMaxScaler LightGBM                          0:00:26       0.0115    0.0069
        22   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0194    0.0069
        23   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0155    0.0069
        24   StandardScalerWrapper DecisionTree             0:00:23       0.0168    0.0069
        25   TruncatedSVDWrapper LassoLars                  0:00:23       0.0087    0.0069
        26   StandardScalerWrapper ElasticNet               0:00:22       0.0084    0.0069
        27   StandardScalerWrapper DecisionTree             0:00:22       0.0249    0.0069
        28   RobustScaler ElasticNet                        0:00:22       0.0114    0.0069
        29   StandardScalerWrapper ElasticNet               0:00:22       0.0084    0.0069
        30   TruncatedSVDWrapper LassoLars                  0:00:22       0.0091    0.0069
        31   MinMaxScaler DecisionTree                      0:00:22       0.0181    0.0069
        32   StandardScalerWrapper RandomForest             0:00:24       0.0229    0.0069
        33   MinMaxScaler SGD                               0:00:22       0.0212    0.0069
        34   MinMaxScaler DecisionTree                      0:00:23       0.0221    0.0069
        35   StandardScalerWrapper LassoLars                0:00:23       0.0071    0.0069
        36   StandardScalerWrapper RandomForest             0:00:23       0.0120    0.0069
        37   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0202    0.0069
        38   RobustScaler RandomForest                      0:00:24       0.0116    0.0069
        39   RobustScaler RandomForest                      0:00:24       0.0209    0.0069
        40   TruncatedSVDWrapper LassoLars                  0:00:21       0.0101    0.0069
        41   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0184    0.0069
        42   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0180    0.0069
        43   RobustScaler ExtremeRandomTrees                0:00:24       0.0146    0.0069
        44   StandardScalerWrapper RandomForest             0:00:19       0.0139    0.0069
        45   PCA LassoLars                                  0:00:21       0.0808    0.0069
        46   RobustScaler ExtremeRandomTrees                0:00:28       0.0191    0.0069
        47   RobustScaler ExtremeRandomTrees                0:00:20       0.0298    0.0069
        48   RobustScaler ExtremeRandomTrees                0:00:24       0.0143    0.0069
        49   RobustScaler ExtremeRandomTrees                0:00:25       0.0204    0.0069
        50   RobustScaler LassoLars                         0:00:22       0.0069    0.0069
        51   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.0149    0.0069
        52   MinMaxScaler ExtremeRandomTrees                0:00:19       0.0203    0.0069
        53   RobustScaler ExtremeRandomTrees                0:00:23       0.0230    0.0069
        54   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0304    0.0069
        55   TruncatedSVDWrapper LassoLars                  0:00:23       0.0105    0.0069
        56   RobustScaler RandomForest                      0:00:25       0.0275    0.0069
