Running on local machine
Parent Run ID: AutoML_2cad9302-9058-4e24-8ed3-51c2cda2537e

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0221    0.0221
         1   MinMaxScaler DecisionTree                      0:00:23       0.0309    0.0221
         2   StandardScalerWrapper LassoLars                0:00:22       0.0069    0.0069
         3   RobustScaler ElasticNet                        0:00:22       0.0084    0.0069
         4   StandardScalerWrapper LassoLars                0:00:21       0.0069    0.0069
         5   RobustScaler ElasticNet                        0:00:22       0.0084    0.0069
         6   RobustScaler DecisionTree                      0:00:23       0.0273    0.0069
         7   MinMaxScaler DecisionTree                      0:00:22       0.0196    0.0069
         8   RobustScaler DecisionTree                      0:00:22       0.0124    0.0069
         9   MinMaxScaler DecisionTree                      0:00:22       0.0194    0.0069
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0386    0.0069
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0196    0.0069
        12   RobustScaler DecisionTree                      0:00:22       0.0300    0.0069
        13   RobustScaler ElasticNet                        0:00:25       0.0163    0.0069
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0169    0.0069
        15   MinMaxScaler DecisionTree                      0:00:21       0.0423    0.0069
        16   MinMaxScaler DecisionTree                      0:00:21       0.0323    0.0069
        17   RobustScaler DecisionTree                      0:00:22       0.0270    0.0069
        18   RobustScaler DecisionTree                      0:00:22       0.0276    0.0069
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0352    0.0069
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0259    0.0069
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0165    0.0069
        22   StandardScalerWrapper DecisionTree             0:00:22       0.0258    0.0069
        23   StandardScalerWrapper DecisionTree             0:00:23       0.0235    0.0069
        24   MinMaxScaler LightGBM                          0:00:23       0.0115    0.0069
        25   TruncatedSVDWrapper LassoLars                  0:00:24       0.0087    0.0069
        26   MinMaxScaler DecisionTree                      0:00:24       0.0308    0.0069
        27   MinMaxScaler SGD                               0:00:23       0.0134    0.0069
        28   StandardScalerWrapper RandomForest             0:00:24       0.0141    0.0069
        29   MinMaxScaler RandomForest                      0:00:27       0.0195    0.0069
