WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_eebca87b-d85d-41ae-9fbc-2893795f65a2

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:17       0.2056    0.2056
         1   MinMaxScaler DecisionTree                      0:00:21       0.2072    0.2056
         2   StandardScalerWrapper LassoLars                0:00:21       0.2076    0.2056
         3   RobustScaler ElasticNet                        0:00:21       0.2076    0.2056
         4   StandardScalerWrapper LassoLars                0:00:22       0.2076    0.2056
         5   RobustScaler ElasticNet                        0:00:24       0.2076    0.2056
         6   RobustScaler DecisionTree                      0:00:20       0.2054    0.2054
         7   MinMaxScaler DecisionTree                      0:00:23       0.2166    0.2054
         8   RobustScaler DecisionTree                      0:00:22       0.2046    0.2046
         9   MinMaxScaler DecisionTree                      0:00:22       0.2084    0.2046
        10   StandardScalerWrapper DecisionTree             0:00:21       0.2065    0.2046
        11   StandardScalerWrapper DecisionTree             0:00:20       0.2067    0.2046
        12   RobustScaler DecisionTree                      0:00:20       0.2085    0.2046
        13   RobustScaler ElasticNet                        0:00:21       0.2071    0.2046
        14   StandardScalerWrapper DecisionTree             0:00:20       0.2082    0.2046
        15   MinMaxScaler DecisionTree                      0:00:22       0.2101    0.2046
        16   MinMaxScaler DecisionTree                      0:00:24       0.2068    0.2046
        17   RobustScaler DecisionTree                      0:00:22       0.2075    0.2046
        18   RobustScaler DecisionTree                      0:00:17       0.2043    0.2043
        19   StandardScalerWrapper DecisionTree             0:00:21       0.2083    0.2043
        20   StandardScalerWrapper DecisionTree             0:00:23       0.2122    0.2043
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2046    0.2043
        22   MinMaxScaler LightGBM                          0:00:38       0.2028    0.2028
        23   MinMaxScaler DecisionTree                      0:00:22       0.2100    0.2028
        24   MinMaxScaler DecisionTree                      0:00:20       0.2057    0.2028
        25   MinMaxScaler LightGBM                          0:00:22       0.2054    0.2028
        26   StandardScalerWrapper RandomForest             0:00:26       0.2041    0.2028
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2038    0.2028
        28   RobustScaler ExtremeRandomTrees                0:00:23       0.2036    0.2028
        29   MinMaxScaler ExtremeRandomTrees                0:00:26       0.2033    0.2028
        30   StandardScalerWrapper LightGBM                 0:00:22       0.2041    0.2028
        31   StandardScalerWrapper RandomForest             0:00:22       0.2037    0.2028
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2043    0.2028
        33   RobustScaler RandomForest                      0:00:25       0.2039    0.2028
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2034    0.2028
        35   MinMaxScaler LightGBM                          0:00:22       0.2037    0.2028
        36   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2027    0.2027
        37   RobustScaler ExtremeRandomTrees                0:00:23       0.2028    0.2027
        38   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_eebca87b-d85d-41ae-9fbc-2893795f65a2_38/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=DGHaBtxywbfheiXgiL0UWukhQSUy5IX8a3gvYHO63iU%3D&st=2020-10-01T10%3A59%3A33Z&se=2020-10-02T11%3A09%3A33Z&sp=rcw
MinMaxScaler RandomForest                      0:00:32       0.2041    0.2027
        39   RobustScaler RandomForest                      0:00:19       0.2039    0.2027
        40   RobustScaler ExtremeRandomTrees                0:00:23       0.2054    0.2027
        41   RobustScaler ExtremeRandomTrees                0:00:23       0.2037    0.2027
        42   MinMaxScaler ExtremeRandomTrees                0:00:27       0.2051    0.2027
        43   RobustScaler RandomForest                      0:00:23       0.2043    0.2027
        44   RobustScaler ExtremeRandomTrees                0:00:18       0.2042    0.2027
        45   RobustScaler ExtremeRandomTrees                0:00:27       0.2045    0.2027
        46   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.2034    0.2027
        47   RobustScaler ExtremeRandomTrees                0:00:27       0.2035    0.2027
        48   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.2051    0.2027
        49   RobustScaler RandomForest                      0:00:24       0.2035    0.2027
        50   MinMaxScaler ExtremeRandomTrees                0:00:24       0.2044    0.2027
        51   RobustScaler ExtremeRandomTrees                0:00:24       0.2050    0.2027
        52   RobustScaler ExtremeRandomTrees                0:00:29       0.2039    0.2027
        53   MinMaxScaler ExtremeRandomTrees                0:00:24       0.2036    0.2027
        54   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.2035    0.2027
        55   RobustScaler ExtremeRandomTrees                0:00:30       0.2056    0.2027
        56   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.2046    0.2027
        57   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2029    0.2027
        58   MinMaxScaler ExtremeRandomTrees                0:00:27       0.2047    0.2027
        59   RobustScaler RandomForest                      0:00:28       0.2026    0.2026
        60   StandardScalerWrapper RandomForest             0:00:32       0.2050    0.2026
        61   MinMaxScaler RandomForest                      0:00:25       0.2035    0.2026
        62   MinMaxScaler DecisionTree                      0:00:22       0.2033    0.2026
        63   RobustScaler ExtremeRandomTrees                0:00:26       0.2045    0.2026
        64   MinMaxScaler ExtremeRandomTrees                0:00:23       0.2033    0.2026
        65   RobustScaler RandomForest                      0:00:24       0.2041    0.2026
        66   RobustScaler ExtremeRandomTrees                0:00:23       0.2034    0.2026
        67   MinMaxScaler ExtremeRandomTrees                0:00:24       0.2044    0.2026
        68   StandardScalerWrapper RandomForest             0:00:26       0.2037    0.2026
        69   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2031    0.2026
        70   RobustScaler RandomForest                      0:00:24       0.2050    0.2026
        71   MinMaxScaler ExtremeRandomTrees                0:00:29       0.2042    0.2026
        72   StandardScalerWrapper RandomForest             0:00:25       0.2040    0.2026
        73   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2044    0.2026
        74   MinMaxScaler ExtremeRandomTrees                0:00:23       0.2034    0.2026
        75   RobustScaler RandomForest                      0:00:24       0.2048    0.2026
        76   MinMaxScaler RandomForest                      0:00:24       0.2039    0.2026
        77   RobustScaler ExtremeRandomTrees                0:00:27       0.2041    0.2026
