Running on local machine
Parent Run ID: AutoML_e32d783e-0eef-4a09-9fc6-35eabccc6cb9

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:19       0.2011    0.2011
         1   MinMaxScaler DecisionTree                      0:00:23       0.2036    0.2011
         2   StandardScalerWrapper LassoLars                0:00:17       0.1950    0.1950
         3   RobustScaler ElasticNet                        0:00:22       0.1949    0.1949
         4   StandardScalerWrapper LassoLars                0:00:16       0.1950    0.1949
         5   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_e32d783e-0eef-4a09-9fc6-35eabccc6cb9_5/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=Q7rseaCV%2BybzKWH36oAvfJnJMsHty3sGeCrpWgOW1n4%3D&st=2020-09-18T15%3A18%3A29Z&se=2020-09-19T15%3A28%3A29Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_e32d783e-0eef-4a09-9fc6-35eabccc6cb9_5/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=5VTDf4W2XahKiNwKNpijp%2F4K3iBUQXM2nn3rlW%2BndLk%3D&st=2020-09-18T15%3A18%3A29Z&se=2020-09-19T15%3A28%3A29Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ElasticNet                        0:03:12       0.1952    0.1949
         6   RobustScaler DecisionTree                      0:00:23       0.2057    0.1949
         7   MinMaxScaler DecisionTree                      0:00:22       0.2062    0.1949
         8   RobustScaler DecisionTree                      0:00:17       0.2149    0.1949
         9   MinMaxScaler DecisionTree                      0:00:22       0.2037    0.1949
        10   StandardScalerWrapper DecisionTree             0:00:21       0.2181    0.1949
        11   StandardScalerWrapper DecisionTree             0:00:21       0.2089    0.1949
        12   RobustScaler DecisionTree                      0:00:22       0.2291    0.1949
        13   RobustScaler ElasticNet                        0:00:21       0.2052    0.1949
        14   StandardScalerWrapper DecisionTree             0:00:21       0.2046    0.1949
        15   MinMaxScaler DecisionTree                      0:00:23       0.2398    0.1949
        16   MinMaxScaler DecisionTree                      0:00:22       0.2143    0.1949
        17   RobustScaler DecisionTree                      0:00:22       0.2025    0.1949
        18   RobustScaler DecisionTree                      0:00:18       0.2068    0.1949
        19   StandardScalerWrapper DecisionTree             0:00:22       0.2050    0.1949
        20   StandardScalerWrapper DecisionTree             0:00:25       0.2080    0.1949
        21   StandardScalerWrapper DecisionTree             0:00:23       0.2250    0.1949
        22   MinMaxScaler LightGBM                          0:00:22       0.2039    0.1949
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.2181    0.1949
        24   MinMaxScaler DecisionTree                      0:00:23       0.2044    0.1949
        25   RobustScaler ElasticNet                        0:00:23       0.1948    0.1948
        26   MinMaxScaler DecisionTree                      0:00:23       0.1983    0.1948
        27   StandardScalerWrapper DecisionTree             0:00:23       0.2039    0.1948
        28   MinMaxScaler DecisionTree                      0:00:43       0.2035    0.1948
        29   RobustScaler ExtremeRandomTrees                0:00:26       0.2086    0.1948
        30   StandardScalerWrapper ElasticNet               0:00:23       0.2170    0.1948
        31   StandardScalerWrapper RandomForest             0:00:25       0.2084    0.1948
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2152    0.1948
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:45       0.2158    0.1948
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.2161    0.1948
        35   StandardScalerWrapper ElasticNet               0:00:24       0.2006    0.1948
        36   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.2145    0.1948
        37   MinMaxScaler ExtremeRandomTrees                0:00:26       0.2138    0.1948
        38   MinMaxScaler RandomForest                      0:00:32       0.2133    0.1948
        39   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2115    0.1948
        40   StandardScalerWrapper ElasticNet               0:00:23       0.2080    0.1948
        41   RobustScaler ExtremeRandomTrees                0:00:24       0.2142    0.1948
        42   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2121    0.1948
        43   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2175    0.1948
        44   MinMaxScaler ExtremeRandomTrees                0:00:26       0.2149    0.1948
        45   StandardScalerWrapper ElasticNet               0:00:18       0.2087    0.1948
        46   StandardScalerWrapper RandomForest             0:00:27       0.2110    0.1948
        47   RobustScaler ExtremeRandomTrees                0:00:25       0.2152    0.1948
        48   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.2138    0.1948
        49   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.2146    0.1948
        50   MinMaxScaler ElasticNet                        0:00:23       0.2141    0.1948
        51   MinMaxScaler ExtremeRandomTrees                0:00:23       0.2156    0.1948
        52   RobustScaler RandomForest                      0:00:24       0.2027    0.1948
        53   RobustScaler ExtremeRandomTrees                0:00:18       0.2135    0.1948
        54   MinMaxScaler RandomForest                      0:00:23       0.2113    0.1948
        55   MinMaxScaler ElasticNet                        0:00:18       0.2073    0.1948
        56   RobustScaler ExtremeRandomTrees                0:00:25       0.2122    0.1948
        57   MinMaxScaler ExtremeRandomTrees                0:00:31       0.2158    0.1948
        58   MinMaxScaler ExtremeRandomTrees                0:00:24       0.2144    0.1948
        59   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2141    0.1948
        60   StandardScalerWrapper ElasticNet               0:00:23       0.2075    0.1948
        61   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.2138    0.1948
        62   RobustScaler ExtremeRandomTrees                0:00:29       0.2136    0.1948
        63   RobustScaler RandomForest                      0:00:19       0.2101    0.1948
        64   RobustScaler ExtremeRandomTrees                0:00:24       0.2145    0.1948
        65   StandardScalerWrapper ElasticNet               0:00:22       0.2008    0.1948
        66   RobustScaler ExtremeRandomTrees                0:00:30       0.2117    0.1948
        67   RobustScaler ExtremeRandomTrees                0:00:26       0.2115    0.1948
        68   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2123    0.1948
        69   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.2113    0.1948
        70   StandardScalerWrapper ElasticNet               0:00:23       0.2111    0.1948
        71   StandardScalerWrapper ExtremeRandomTrees       0:00:31       0.2170    0.1948
        72   RobustScaler RandomForest                      0:00:25       0.2010    0.1948
        73   StandardScalerWrapper RandomForest             0:00:24       0.2088    0.1948
        74   RobustScaler RandomForest                      0:00:26       0.2134    0.1948
        75   StandardScalerWrapper ElasticNet               0:00:18       0.2060    0.1948
        76   MinMaxScaler DecisionTree                      0:00:22       0.1990    0.1948
        77   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.2128    0.1948
        78   MinMaxScaler ExtremeRandomTrees                0:00:36       0.2122    0.1948
        79   StandardScalerWrapper ExtremeRandomTrees       0:00:38       0.2123    0.1948
        80   StandardScalerWrapper ElasticNet               0:00:29       0.2112    0.1948
        81   RobustScaler RandomForest                      0:00:20       0.2127    0.1948
        82   MinMaxScaler RandomForest                      0:00:26       0.2121    0.1948
        83   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.2222    0.1948
        84   StandardScalerWrapper ExtremeRandomTrees       0:00:21       0.2122    0.1948
        85   RobustScaler ElasticNet                        0:00:26       0.2219    0.1948
        86   MinMaxScaler ExtremeRandomTrees                0:00:26       0.2143    0.1948
        87   RobustScaler ExtremeRandomTrees                0:00:29       0.2115    0.1948
        88   MinMaxScaler RandomForest                      0:00:21       0.2160    0.1948
        89   MinMaxScaler ExtremeRandomTrees                0:00:26       0.2214    0.1948
        90   StandardScalerWrapper ElasticNet               0:00:23       0.2003    0.1948
        91   MinMaxScaler RandomForest                      0:00:25       0.2046    0.1948
        92   StandardScalerWrapper ExtremeRandomTrees       0:00:41       0.2098    0.1948
        93   StandardScalerWrapper RandomForest             0:00:29       0.2145    0.1948
        94   StandardScalerWrapper RandomForest             0:00:26       0.2126    0.1948
        95   MinMaxScaler ElasticNet                        0:00:25       0.2132    0.1948
        96   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_e32d783e-0eef-4a09-9fc6-35eabccc6cb9_96/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=xKSWUamECCyEKJB6lJmN8hIgv9hVrY96qVZ%2F3ZOTH3I%3D&st=2020-09-18T16%3A00%3A14Z&se=2020-09-19T16%3A10%3A14Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
