Running on local machine
Parent Run ID: AutoML_f1b017ea-5d2d-4d0b-92b1-a116d8a5b6ca

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.2022    0.2022
         1   MinMaxScaler DecisionTree                      0:00:21       0.2046    0.2022
         2   StandardScalerWrapper LassoLars                0:00:21       0.1950    0.1950
         3   RobustScaler ElasticNet                        0:00:21       0.1949    0.1949
         4   StandardScalerWrapper LassoLars                0:00:22       0.1950    0.1949
         5   RobustScaler ElasticNet                        0:00:24       0.1952    0.1949
         6   RobustScaler DecisionTree                      0:00:23       0.2014    0.1949
         7   MinMaxScaler DecisionTree                      0:00:27       0.2118    0.1949
         8   RobustScaler DecisionTree                      0:00:21       0.2140    0.1949
         9   MinMaxScaler DecisionTree                      0:00:21       0.2134    0.1949
        10   StandardScalerWrapper DecisionTree             0:00:21       0.2235    0.1949
        11   StandardScalerWrapper DecisionTree             0:00:22       0.2007    0.1949
        12   RobustScaler DecisionTree                      0:00:22       0.2192    0.1949
        13   RobustScaler ElasticNet                        0:00:21       0.2052    0.1949
        14   StandardScalerWrapper DecisionTree             0:00:16       0.2099    0.1949
        15   MinMaxScaler DecisionTree                      0:00:21       0.2112    0.1949
        16   MinMaxScaler DecisionTree                      0:00:21       0.2186    0.1949
        17   RobustScaler DecisionTree                      0:00:21       0.2054    0.1949
        18   RobustScaler DecisionTree                      0:00:21       0.2032    0.1949
        19   StandardScalerWrapper DecisionTree             0:00:22       0.2071    0.1949
        20   StandardScalerWrapper DecisionTree             0:00:21       0.2161    0.1949
        21   StandardScalerWrapper DecisionTree             0:00:22       0.2192    0.1949
        22   MinMaxScaler LightGBM                          0:00:22       0.2039    0.1949
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2156    0.1949
        24   MinMaxScaler DecisionTree                      0:00:21       0.2135    0.1949
        25   RobustScaler ElasticNet                        0:00:22       0.1948    0.1948
        26   StandardScalerWrapper DecisionTree             0:00:23       0.2082    0.1948
        27   MinMaxScaler DecisionTree                      0:00:22       0.2084    0.1948
        28   MinMaxScaler DecisionTree                      0:00:23       0.1960    0.1948
        29   RobustScaler ExtremeRandomTrees                0:00:24       0.2106    0.1948
        30   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_f1b017ea-5d2d-4d0b-92b1-a116d8a5b6ca_30/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=sbBolNaABdUZjZ6%2BARr5akYQlbUpGNM2h3P%2FYpCNuLs%3D&st=2020-09-18T08%3A38%3A39Z&se=2020-09-19T08%3A48%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
