Running on local machine
Parent Run ID: AutoML_b1680562-3ef8-4db8-afb5-667ed617f29d

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:21       0.2020    0.2020
         1   MinMaxScaler DecisionTree                      0:00:21       0.2153    0.2020
         2   StandardScalerWrapper LassoLars                0:00:16       0.1950    0.1950
         3   RobustScaler ElasticNet                        0:00:21       0.1949    0.1949
         4   StandardScalerWrapper LassoLars                0:00:23       0.1950    0.1949
         5   RobustScaler ElasticNet                        0:00:21       0.1952    0.1949
         6   RobustScaler DecisionTree                      0:00:21       0.2063    0.1949
         7   MinMaxScaler DecisionTree                      0:00:21       0.2112    0.1949
         8   RobustScaler DecisionTree                      0:00:16       0.2135    0.1949
         9   MinMaxScaler DecisionTree                      0:00:21       0.2072    0.1949
        10   StandardScalerWrapper DecisionTree             0:00:15       0.2169    0.1949
        11   StandardScalerWrapper DecisionTree             0:00:21       0.2161    0.1949
        12   RobustScaler DecisionTree                      0:00:20       0.2122    0.1949
        13   RobustScaler ElasticNet                        0:00:17       0.2052    0.1949
        14   StandardScalerWrapper DecisionTree             0:00:21       0.2114    0.1949
        15   MinMaxScaler DecisionTree                      0:00:21       0.2089    0.1949
        16   MinMaxScaler DecisionTree                      0:00:20       0.2093    0.1949
        17   RobustScaler DecisionTree                      0:00:15       0.2084    0.1949
        18   RobustScaler DecisionTree                      0:00:21       0.2138    0.1949
        19   StandardScalerWrapper DecisionTree             0:00:24       0.1996    0.1949
        20   StandardScalerWrapper DecisionTree             0:00:21       0.2046    0.1949
        21   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_b1680562-3ef8-4db8-afb5-667ed617f29d_21/outputs/model.pkl?sv=2019-02-02&sr=b&sig=AcOgd8%2BwPkw1C9l6miplF7hOznTko%2BVBEqAFrEBVnmY%3D&st=2020-09-18T05%3A13%3A42Z&se=2020-09-19T05%3A23%3A42Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper DecisionTree             0:03:07       0.2038    0.1949
        22   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2150    0.1949
        23   MinMaxScaler LightGBM                          0:00:21       0.2039    0.1949
        24   MinMaxScaler DecisionTree                      0:00:22       0.2097    0.1949
        25   RobustScaler ElasticNet                        0:00:22       0.1948    0.1948
        26   StandardScalerWrapper DecisionTree             0:00:16       0.1993    0.1948
        27   MinMaxScaler DecisionTree                      0:00:21       0.2028    0.1948
        28   RobustScaler ExtremeRandomTrees                0:00:17       0.2113    0.1948
        29   StandardScalerWrapper RandomForest             0:00:18       0.2043    0.1948
        30   StandardScalerWrapper ElasticNet               0:00:21       0.2170    0.1948
        31   StandardScalerWrapper ExtremeRandomTrees       0:00:18       0.2144    0.1948
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2166    0.1948
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:18       0.2133    0.1948
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2159    0.1948
        35   StandardScalerWrapper ElasticNet               0:00:22       0.2006    0.1948
        36   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2133    0.1948
        37   StandardScalerWrapper ExtremeRandomTrees       0:00:18       0.2075    0.1948
        38   RobustScaler ExtremeRandomTrees                0:00:23       0.2124    0.1948
        39   MinMaxScaler ExtremeRandomTrees                0:00:24       0.2118    0.1948
        40   StandardScalerWrapper ElasticNet               0:00:16       0.2080    0.1948
