Running on local machine
Parent Run ID: AutoML_3d052e52-205b-4e70-b784-128b595a68dd

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.2046    0.2046
         1   MinMaxScaler DecisionTree                      0:00:21       0.2015    0.2015
         2   StandardScalerWrapper LassoLars                0:00:21       0.1950    0.1950
         3   RobustScaler ElasticNet                        0:00:22       0.1949    0.1949
         4   StandardScalerWrapper LassoLars                0:00:22       0.1950    0.1949
         5   RobustScaler ElasticNet                        0:00:21       0.1952    0.1949
         6   RobustScaler DecisionTree                      0:00:21       0.1994    0.1949
         7   MinMaxScaler DecisionTree                      0:00:22       0.2243    0.1949
         8   RobustScaler DecisionTree                      0:00:21       0.2088    0.1949
         9   MinMaxScaler DecisionTree                      0:00:21       0.1997    0.1949
        10   StandardScalerWrapper DecisionTree             0:00:21       0.2250    0.1949
        11   StandardScalerWrapper DecisionTree             0:00:26       0.2147    0.1949
        12   RobustScaler DecisionTree                      0:00:23       0.2049    0.1949
        13   RobustScaler ElasticNet                        0:00:21       0.2052    0.1949
        14   StandardScalerWrapper DecisionTree             0:00:21       0.2160    0.1949
        15   MinMaxScaler DecisionTree                      0:00:21       0.2138    0.1949
        16   MinMaxScaler DecisionTree                      0:00:21       0.2068    0.1949
        17   RobustScaler DecisionTree                      0:00:21       0.2092    0.1949
        18   RobustScaler DecisionTree                      0:00:22       0.2142    0.1949
        19   StandardScalerWrapper DecisionTree             0:00:22       0.2114    0.1949
        20   StandardScalerWrapper DecisionTree             0:00:22       0.2049    0.1949
        21   MinMaxScaler LightGBM                          0:00:26       0.2039    0.1949
        22   StandardScalerWrapper DecisionTree             0:00:22       0.2105    0.1949
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2216    0.1949
        24   MinMaxScaler DecisionTree                      0:00:18       0.2079    0.1949
        25   RobustScaler ElasticNet                        0:00:23       0.1948    0.1948
        26   StandardScalerWrapper DecisionTree             0:00:23       0.2024    0.1948
        27   MinMaxScaler DecisionTree                      0:00:22       0.1993    0.1948
        28   RobustScaler ExtremeRandomTrees                0:00:24       0.2122    0.1948
        29   StandardScalerWrapper RandomForest             0:00:24       0.2079    0.1948
        30   StandardScalerWrapper ElasticNet               0:00:23       0.2170    0.1948
        31   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2154    0.1948
