Running on local machine
Parent Run ID: AutoML_34f0b128-1a57-4f41-9e70-3769e6597e31

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.2045    0.2045
         1   MinMaxScaler DecisionTree                      0:00:22       0.2224    0.2045
         2   StandardScalerWrapper LassoLars                0:00:22       0.1950    0.1950
         3   RobustScaler ElasticNet                        0:00:21       0.1949    0.1949
         4   StandardScalerWrapper LassoLars                0:00:21       0.1950    0.1949
         5   RobustScaler ElasticNet                        0:00:20       0.1952    0.1949
         6   RobustScaler DecisionTree                      0:00:22       0.2055    0.1949
         7   MinMaxScaler DecisionTree                      0:00:21       0.2025    0.1949
         8   RobustScaler DecisionTree                      0:00:21       0.2175    0.1949
         9   MinMaxScaler DecisionTree                      0:00:21       0.2021    0.1949
        10   StandardScalerWrapper DecisionTree             0:00:21       0.2190    0.1949
        11   StandardScalerWrapper DecisionTree             0:00:21       0.2057    0.1949
        12   RobustScaler DecisionTree                      0:00:17       0.2168    0.1949
        13   RobustScaler ElasticNet                        0:00:22       0.2052    0.1949
        14   StandardScalerWrapper DecisionTree             0:00:22       0.2065    0.1949
        15   MinMaxScaler DecisionTree                      0:00:21       0.2132    0.1949
        16   MinMaxScaler DecisionTree                      0:00:21       0.2199    0.1949
        17   RobustScaler DecisionTree                      0:00:15       0.2045    0.1949
        18   RobustScaler DecisionTree                      0:00:21       0.2081    0.1949
        19   StandardScalerWrapper DecisionTree             0:00:21       0.2022    0.1949
        20   StandardScalerWrapper DecisionTree             0:00:26       0.2111    0.1949
        21   StandardScalerWrapper DecisionTree             0:00:21       0.2166    0.1949
        22   MinMaxScaler LightGBM                          0:00:22       0.2039    0.1949
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2148    0.1949
        24   MinMaxScaler DecisionTree                      0:00:21       0.2092    0.1949
        25   RobustScaler ElasticNet                        0:00:21       0.1948    0.1948
        26   StandardScalerWrapper DecisionTree             0:00:22       0.2067    0.1948
        27   MinMaxScaler DecisionTree                      0:00:21       0.2026    0.1948
        28   MinMaxScaler DecisionTree                      0:00:21       0.2034    0.1948
        29   RobustScaler ExtremeRandomTrees                0:00:23       0.2104    0.1948
        30   StandardScalerWrapper ElasticNet               0:00:21       0.2170    0.1948
        31   StandardScalerWrapper RandomForest             0:00:23       0.2073    0.1948
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.2161    0.1948
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:19       0.2156    0.1948
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2132    0.1948
        35   StandardScalerWrapper ElasticNet               0:00:22       0.2006    0.1948
        36   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.2172    0.1948
        37   MinMaxScaler RandomForest                      0:00:23       0.2129    0.1948
        38   MinMaxScaler ExtremeRandomTrees                0:00:23       0.2123    0.1948
        39   MinMaxScaler ExtremeRandomTrees                0:00:24       0.2101    0.1948
        40   StandardScalerWrapper ElasticNet               0:00:22       0.2080    0.1948
        41   RobustScaler ExtremeRandomTrees                0:00:18       0.2130    0.1948
        42   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2104    0.1948
        43   MinMaxScaler ExtremeRandomTrees                0:00:24       0.2166    0.1948
        44   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_34f0b128-1a57-4f41-9e70-3769e6597e31_44/outputs/model.pkl?sv=2019-02-02&sr=b&sig=q8FXWoFVme3Bju1vLKuFyCG4YMwO3CIEDZVMDVtw57Y%3D&st=2020-09-18T01%3A48%3A39Z&se=2020-09-19T01%3A58%3A39Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler ExtremeRandomTrees                0:03:06       0.2127    0.1948
        45   StandardScalerWrapper ElasticNet               0:00:22       0.2087    0.1948
        46   StandardScalerWrapper RandomForest             0:00:24       0.2108    0.1948
        47   RobustScaler ExtremeRandomTrees                0:00:23       0.2144    0.1948
        48   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2143    0.1948
        49   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2147    0.1948
        50   MinMaxScaler ElasticNet                        0:00:17       0.2141    0.1948
        51   MinMaxScaler ExtremeRandomTrees                0:00:18       0.2131    0.1948
        52   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_34f0b128-1a57-4f41-9e70-3769e6597e31_52/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=DbewtIEYet0kuPuTzwNHXqBaqGblN4hd9Lxqy5nmchU%3D&st=2020-09-18T01%3A54%3A20Z&se=2020-09-19T02%3A04%3A20Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler RandomForest                      0:03:14       0.2118    0.1948
        53   RobustScaler RandomForest                      0:00:24       0.2033    0.1948
        54   RobustScaler ExtremeRandomTrees                0:00:41       0.2141    0.1948
        55   MinMaxScaler ElasticNet                        0:00:22       0.2073    0.1948
        56   RobustScaler ExtremeRandomTrees                0:00:23       0.2195    0.1948
        57   MinMaxScaler ExtremeRandomTrees                0:00:29       0.2148    0.1948
        58   MinMaxScaler ExtremeRandomTrees                0:00:18       0.2169    0.1948
        59   MinMaxScaler ExtremeRandomTrees                0:00:27       0.2139    0.1948
        60   StandardScalerWrapper ElasticNet               0:00:23       0.2111    0.1948
        61   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.2141    0.1948
        62   MinMaxScaler ExtremeRandomTrees                0:00:24       0.2135    0.1948
        63   RobustScaler RandomForest                      0:00:23       0.2116    0.1948
        64   RobustScaler ExtremeRandomTrees                0:00:26       0.2137    0.1948
        65   StandardScalerWrapper ElasticNet               0:00:21       0.2008    0.1948
        66   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2128    0.1948
        67   MinMaxScaler RandomForest                      0:00:25       0.2180    0.1948
        68   RobustScaler ExtremeRandomTrees                0:00:22       0.2105    0.1948
        69   RobustScaler RandomForest                      0:00:23       0.2183    0.1948
