Running on local machine
Parent Run ID: AutoML_e9778b7f-204d-45d6-b63b-1af01c2b7ba4

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.2069    0.2069
         1   MinMaxScaler DecisionTree                      0:00:21       0.2004    0.2004
         2   StandardScalerWrapper LassoLars                0:00:21       0.1950    0.1950
         3   RobustScaler ElasticNet                        0:00:22       0.1949    0.1949
         4   StandardScalerWrapper LassoLars                0:00:21       0.1950    0.1949
         5   RobustScaler ElasticNet                        0:00:21       0.1952    0.1949
         6   RobustScaler DecisionTree                      0:00:22       0.2032    0.1949
         7   MinMaxScaler DecisionTree                      0:00:22       0.2176    0.1949
         8   RobustScaler DecisionTree                      0:00:21       0.2140    0.1949
         9   MinMaxScaler DecisionTree                      0:00:21       0.2009    0.1949
        10   StandardScalerWrapper DecisionTree             0:00:21       0.2103    0.1949
        11   StandardScalerWrapper DecisionTree             0:00:22       0.2066    0.1949
        12   RobustScaler DecisionTree                      0:00:21       0.2203    0.1949
        13   RobustScaler ElasticNet                        0:00:22       0.2052    0.1949
        14   StandardScalerWrapper DecisionTree             0:00:21       0.2087    0.1949
        15   MinMaxScaler DecisionTree                      0:00:16       0.2225    0.1949
        16   MinMaxScaler DecisionTree                      0:00:20       0.2186    0.1949
        17   RobustScaler DecisionTree                      0:00:21       0.2006    0.1949
        18   RobustScaler DecisionTree                      0:00:16       0.2003    0.1949
        19   StandardScalerWrapper DecisionTree             0:00:21       0.1985    0.1949
        20   StandardScalerWrapper DecisionTree             0:00:23       0.2152    0.1949
        21   MinMaxScaler LightGBM                          0:00:22       0.2039    0.1949
        22   StandardScalerWrapper DecisionTree             0:00:23       0.1965    0.1949
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.2205    0.1949
        24   MinMaxScaler DecisionTree                      0:00:21       0.2116    0.1949
        25   RobustScaler ElasticNet                        0:00:22       0.1948    0.1948
        26   MinMaxScaler DecisionTree                      0:00:22       0.2010    0.1948
        27   StandardScalerWrapper DecisionTree             0:00:22       0.2121    0.1948
        28   MinMaxScaler DecisionTree                      0:00:23       0.1984    0.1948
        29   RobustScaler ExtremeRandomTrees                0:00:28       0.2115    0.1948
        30   StandardScalerWrapper ElasticNet               0:00:22       0.2170    0.1948
        31   StandardScalerWrapper RandomForest             0:00:25       0.2062    0.1948
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.2168    0.1948
        33   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_e9778b7f-204d-45d6-b63b-1af01c2b7ba4_33/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=QX%2FuTiY%2B%2FKRNLRASPotEOXchcm0hWsP1%2BIj8GKUWG98%3D&st=2020-09-02T15%3A36%3A24Z&se=2020-09-03T15%3A46%3A24Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_e9778b7f-204d-45d6-b63b-1af01c2b7ba4_33/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=Kg2fFBoT4BjYcWzLDPN81kQFtOpyKzEzOlwHTYDDKaM%3D&st=2020-09-02T15%3A36%3A24Z&se=2020-09-03T15%3A46%3A24Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:03:13       0.2164    0.1948
        34   MinMaxScaler ExtremeRandomTrees                0:00:34       0.2142    0.1948
        35   StandardScalerWrapper ElasticNet               0:00:23       0.2006    0.1948
        36   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.2135    0.1948
        37   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.2184    0.1948
        38   StandardScalerWrapper RandomForest             0:00:59       0.2103    0.1948
        39   RobustScaler RandomForest                      0:00:24       0.2009    0.1948
        40   StandardScalerWrapper ElasticNet               0:00:22       0.2080    0.1948
        41   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2115    0.1948
        42   MinMaxScaler ExtremeRandomTrees                0:00:22       0.2121    0.1948
        43   RobustScaler ExtremeRandomTrees                0:00:25       0.2127    0.1948
        44   StandardScalerWrapper ExtremeRandomTrees       0:01:46       0.2143    0.1948
        45   StandardScalerWrapper ElasticNet               0:00:22       0.2087    0.1948
        46   MinMaxScaler RandomForest                      0:00:33       0.2134    0.1948
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2175    0.1948
