Running on local machine
Parent Run ID: AutoML_6543577c-19ac-432d-89e2-4daf68816886

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:29       0.2044    0.2044
         1   MinMaxScaler DecisionTree                      0:00:22       0.2004    0.2004
         2   StandardScalerWrapper LassoLars                0:00:24       0.1950    0.1950
         3   RobustScaler ElasticNet                        0:00:23       0.1949    0.1949
         4   StandardScalerWrapper LassoLars                0:00:29       0.1950    0.1949
         5   RobustScaler ElasticNet                        0:00:23       0.1952    0.1949
         6   RobustScaler DecisionTree                      0:00:22       0.2027    0.1949
         7   MinMaxScaler DecisionTree                      0:00:23       0.2053    0.1949
         8   RobustScaler DecisionTree                      0:00:22       0.2134    0.1949
         9   MinMaxScaler DecisionTree                      0:00:17       0.2033    0.1949
        10   StandardScalerWrapper DecisionTree             0:00:23       0.2099    0.1949
        11   StandardScalerWrapper DecisionTree             0:00:22       0.2090    0.1949
        12   RobustScaler DecisionTree                      0:00:22       0.2284    0.1949
        13   RobustScaler ElasticNet                        0:00:22       0.2052    0.1949
        14   StandardScalerWrapper DecisionTree             0:00:23       0.2148    0.1949
        15   MinMaxScaler DecisionTree                      0:00:22       0.2195    0.1949
        16   MinMaxScaler DecisionTree                      0:00:32       0.2065    0.1949
        17   RobustScaler DecisionTree                      0:00:23       0.2058    0.1949
        18   RobustScaler DecisionTree                      0:00:29       0.2051    0.1949
        19   StandardScalerWrapper DecisionTree             0:00:28       0.2150    0.1949
        20   StandardScalerWrapper DecisionTree             0:00:23       0.2054    0.1949
        21   StandardScalerWrapper DecisionTree             0:00:22       0.2032    0.1949
        22   MinMaxScaler LightGBM                          0:00:22       0.2039    0.1949
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2077    0.1949
        24   MinMaxScaler DecisionTree                      0:00:22       0.2049    0.1949
        25   RobustScaler ElasticNet                        0:00:24       0.1948    0.1948
        26   MinMaxScaler DecisionTree                      0:00:22       0.2053    0.1948
        27   StandardScalerWrapper DecisionTree             0:00:22       0.1993    0.1948
        28   MinMaxScaler DecisionTree                      0:00:22       0.2054    0.1948
        29   RobustScaler ExtremeRandomTrees                0:00:24       0.2112    0.1948
        30   StandardScalerWrapper ElasticNet               0:00:33       0.2170    0.1948
        31   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.2161    0.1948
        32   StandardScalerWrapper RandomForest             0:00:24       0.2063    0.1948
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.2143    0.1948
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.2136    0.1948
        35   StandardScalerWrapper ElasticNet               0:00:24       0.2006    0.1948
        36   RobustScaler ExtremeRandomTrees                0:00:31       0.2161    0.1948
        37   MinMaxScaler ExtremeRandomTrees                0:00:26       0.2133    0.1948
        38   RobustScaler ExtremeRandomTrees                0:00:26       0.2136    0.1948
        39   StandardScalerWrapper RandomForest             0:00:24       0.2145    0.1948
        40   StandardScalerWrapper ElasticNet               0:00:22       0.2080    0.1948
        41   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2170    0.1948
        42   StandardScalerWrapper RandomForest             0:00:23       0.2039    0.1948
        43   RobustScaler ExtremeRandomTrees                0:00:24       0.2128    0.1948
        44   RobustScaler ExtremeRandomTrees                0:00:25       0.2200    0.1948
        45   StandardScalerWrapper ElasticNet               0:00:22       0.2087    0.1948
        46   StandardScalerWrapper RandomForest             0:00:24       0.2151    0.1948
        47   MinMaxScaler ExtremeRandomTrees                0:00:23       0.2141    0.1948
        48   RobustScaler ExtremeRandomTrees                0:00:24       0.2115    0.1948
        49   RobustScaler RandomForest                      0:00:26       0.2139    0.1948
        50   StandardScalerWrapper ElasticNet               0:00:24       0.2008    0.1948
        51   StandardScalerWrapper ExtremeRandomTrees       0:00:19       0.2124    0.1948
        52   MinMaxScaler ExtremeRandomTrees                0:00:29       0.2162    0.1948
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2164    0.1948
        54   RobustScaler ExtremeRandomTrees                0:00:33       0.2116    0.1948
        55   StandardScalerWrapper ElasticNet               0:00:24       0.2111    0.1948
        56   MinMaxScaler ExtremeRandomTrees                0:00:36       0.2112    0.1948
        57   RobustScaler RandomForest                      0:00:23       0.2093    0.1948
        58   StandardScalerWrapper RandomForest             0:00:27       0.2111    0.1948
        59   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2170    0.1948
        60   StandardScalerWrapper ElasticNet               0:00:24       0.2060    0.1948
        61   RobustScaler ExtremeRandomTrees                0:00:30       0.2108    0.1948
