WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_93c9c1da-00d2-4031-a975-b527bff7a330

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:26       0.2300    0.2300
         1   MinMaxScaler DecisionTree                      0:00:28       0.2326    0.2300
         2   StandardScalerWrapper LassoLars                0:00:24       0.2321    0.2300
         3   RobustScaler ElasticNet                        0:00:22       0.2323    0.2300
         4   StandardScalerWrapper LassoLars                0:00:21       0.2321    0.2300
         5   RobustScaler ElasticNet                        0:00:23       0.2321    0.2300
         6   RobustScaler DecisionTree                      0:00:22       0.2295    0.2295
         7   MinMaxScaler DecisionTree                      0:00:24       0.2410    0.2295
         8   RobustScaler DecisionTree                      0:00:22       0.2301    0.2295
         9   MinMaxScaler DecisionTree                      0:00:24       0.2318    0.2295
        10   StandardScalerWrapper DecisionTree             0:00:22       0.2304    0.2295
        11   StandardScalerWrapper DecisionTree             0:00:24       0.2309    0.2295
        12   RobustScaler DecisionTree                      0:00:21       0.2311    0.2295
        13   RobustScaler ElasticNet                        0:00:22       0.2323    0.2295
        14   StandardScalerWrapper DecisionTree             0:00:23       0.2315    0.2295
        15   MinMaxScaler DecisionTree                      0:00:33       0.2331    0.2295
        16   MinMaxScaler DecisionTree                      0:00:35       0.2303    0.2295
        17   RobustScaler DecisionTree                      0:00:31       0.2312    0.2295
        18   RobustScaler DecisionTree                      0:00:28       0.2298    0.2295
        19   StandardScalerWrapper DecisionTree             0:00:28       0.2310    0.2295
        20   StandardScalerWrapper DecisionTree             0:00:28       0.2334    0.2295
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.2292    0.2292
        22   MinMaxScaler LightGBM                          0:00:28       0.2280    0.2280
        23   MinMaxScaler DecisionTree                      0:00:28       0.2321    0.2280
        24   MinMaxScaler DecisionTree                      0:00:29       0.2301    0.2280
        25   MinMaxScaler LightGBM                          0:00:27       0.2298    0.2280
        26   StandardScalerWrapper RandomForest             0:00:28       0.2298    0.2280
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.2291    0.2280
        28   RobustScaler ExtremeRandomTrees                0:00:33       0.2292    0.2280
        29   MinMaxScaler ExtremeRandomTrees                0:00:29       0.2285    0.2280
        30   StandardScalerWrapper LightGBM                 0:00:26       0.2296    0.2280
        31   StandardScalerWrapper RandomForest             0:00:25       0.2287    0.2280
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2282    0.2280
        33   RobustScaler RandomForest                      0:00:27       0.2277    0.2277
        34   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2289    0.2277
        35   RobustScaler RandomForest                      0:00:25       0.2309    0.2277
        36   MinMaxScaler ExtremeRandomTrees                0:00:27       0.2284    0.2277
        37   StandardScalerWrapper ExtremeRandomTrees       0:00:53       0.2289    0.2277
        38   RobustScaler ExtremeRandomTrees                0:00:38       0.2299    0.2277
        39   RobustScaler ExtremeRandomTrees                0:00:24       0.2283    0.2277
        40   RobustScaler RandomForest                      0:00:24       0.2295    0.2277
        41   RobustScaler RandomForest                      0:00:26       0.2289    0.2277
        42   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.2281    0.2277
        43   RobustScaler RandomForest                      0:00:24       0.2296    0.2277
        44   MinMaxScaler ExtremeRandomTrees                0:00:28       0.2305    0.2277
        45   StandardScalerWrapper RandomForest             0:00:25       0.2296    0.2277
        46   RobustScaler ExtremeRandomTrees                0:00:26       0.2294    0.2277
        47   MinMaxScaler ExtremeRandomTrees                0:00:25       0.2293    0.2277
        48   StandardScalerWrapper ExtremeRandomTrees       0:00:31       0.2286    0.2277
        49   RobustScaler ExtremeRandomTrees                0:00:32       0.2288    0.2277
        50   StandardScalerWrapper RandomForest             0:00:35       0.2323    0.2277
        51   RobustScaler ExtremeRandomTrees                0:00:29       0.2290    0.2277
        52   RobustScaler RandomForest                      0:00:29       0.2294    0.2277
        53   StandardScalerWrapper RandomForest             0:00:26       0.2288    0.2277
        54   StandardScalerWrapper GradientBoosting         0:00:27       0.2279    0.2277
        55   RobustScaler RandomForest                      0:00:28       0.2302    0.2277
