Running on local machine
Parent Run ID: AutoML_c55be60c-85b5-47a7-864c-11f1993b359d

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1333    0.1333
         1   MinMaxScaler DecisionTree                      0:00:21       0.1231    0.1231
         2   StandardScalerWrapper LassoLars                0:00:21       0.1160    0.1160
         3   RobustScaler ElasticNet                        0:00:21       0.1127    0.1127
         4   StandardScalerWrapper LassoLars                0:00:20       0.1160    0.1127
         5   RobustScaler ElasticNet                        0:00:21       0.1119    0.1119
         6   RobustScaler DecisionTree                      0:00:21       0.1400    0.1119
         7   MinMaxScaler DecisionTree                      0:00:21       0.1310    0.1119
         8   RobustScaler DecisionTree                      0:00:21       0.1146    0.1119
         9   MinMaxScaler DecisionTree                      0:00:20       0.1408    0.1119
        10   StandardScalerWrapper DecisionTree             0:00:16       0.1320    0.1119
        11   StandardScalerWrapper DecisionTree             0:00:21       0.1456    0.1119
        12   RobustScaler DecisionTree                      0:00:21       0.1274    0.1119
        13   RobustScaler ElasticNet                        0:00:22       0.1034    0.1034
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1523    0.1034
        15   MinMaxScaler DecisionTree                      0:00:21       0.1256    0.1034
        16   MinMaxScaler DecisionTree                      0:00:21       0.1346    0.1034
        17   RobustScaler DecisionTree                      0:00:21       0.1315    0.1034
        18   RobustScaler DecisionTree                      0:00:21       0.1185    0.1034
        19   StandardScalerWrapper DecisionTree             0:00:21       0.1587    0.1034
        20   StandardScalerWrapper DecisionTree             0:00:26       0.1294    0.1034
        21   MinMaxScaler LightGBM                          0:00:21       0.1178    0.1034
        22   StandardScalerWrapper DecisionTree             0:00:21       0.1282    0.1034
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1135    0.1034
        24   MinMaxScaler DecisionTree                      0:00:21       0.1429    0.1034
        25   RobustScaler ElasticNet                        0:00:22       0.1133    0.1034
        26   StandardScalerWrapper DecisionTree             0:00:16       0.1164    0.1034
        27   MinMaxScaler DecisionTree                      0:00:16       0.1206    0.1034
        28   RobustScaler ExtremeRandomTrees                0:00:17       0.1094    0.1034
