WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_0482f075-d266-4ab2-ae5f-ca9158f10108

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:17       0.0835    0.0835
         1   MinMaxScaler DecisionTree                      0:00:21       0.0842    0.0835
         2   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0835
         3   RobustScaler ElasticNet                        0:00:23       0.1395    0.0835
         4   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0835
         5   RobustScaler ElasticNet                        0:00:22       0.1386    0.0835
         6   RobustScaler DecisionTree                      0:00:21       0.0807    0.0807
         7   MinMaxScaler DecisionTree                      0:00:22       0.0572    0.0572
         8   RobustScaler DecisionTree                      0:00:22       0.1056    0.0572
         9   MinMaxScaler DecisionTree                      0:00:21       0.0666    0.0572
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0745    0.0572
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0730    0.0572
        12   RobustScaler DecisionTree                      0:00:20       0.0688    0.0572
        13   RobustScaler ElasticNet                        0:00:21       0.1392    0.0572
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0673    0.0572
        15   MinMaxScaler DecisionTree                      0:00:22       0.0606    0.0572
        16   MinMaxScaler DecisionTree                      0:00:21       0.0746    0.0572
        17   RobustScaler DecisionTree                      0:00:20       0.0698    0.0572
        18   RobustScaler DecisionTree                      0:00:21       0.0783    0.0572
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0678    0.0572
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0633    0.0572
        21   MinMaxScaler DecisionTree                      0:00:25       0.0687    0.0572
        22   MinMaxScaler DecisionTree                      0:00:20       0.0625    0.0572
        23   StandardScalerWrapper RandomForest             0:00:24       0.0802    0.0572
        24   StandardScalerWrapper ExtremeRandomTrees       0:00:22       0.0998    0.0572
        25   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_0482f075-d266-4ab2-ae5f-ca9158f10108_25/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=USaIlNkUb3kH2h8LR2Yaq%2F2EPKgTQ4R8IJ%2BNzyiRJ4M%3D&st=2020-09-30T21%3A34%3A40Z&se=2020-10-01T21%3A44%3A40Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
