WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_9034ff0d-9056-432f-ad93-e9971c984c3f

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0820    0.0820
         1   MinMaxScaler DecisionTree                      0:00:21       0.0726    0.0726
         2   StandardScalerWrapper LassoLars                0:00:22       0.1386    0.0726
         3   RobustScaler ElasticNet                        0:00:21       0.1395    0.0726
         4   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0726
         5   RobustScaler ElasticNet                        0:00:22       0.1386    0.0726
         6   RobustScaler DecisionTree                      0:00:22       0.0829    0.0726
         7   MinMaxScaler DecisionTree                      0:00:22       0.0565    0.0565
         8   RobustScaler DecisionTree                      0:00:23       0.1054    0.0565
         9   MinMaxScaler DecisionTree                      0:00:21       0.0689    0.0565
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0726    0.0565
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0713    0.0565
        12   RobustScaler DecisionTree                      0:00:22       0.0634    0.0565
        13   RobustScaler ElasticNet                        0:00:24       0.1392    0.0565
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0680    0.0565
        15   MinMaxScaler DecisionTree                      0:00:21       0.0642    0.0565
        16   MinMaxScaler DecisionTree                      0:00:21       0.0705    0.0565
        17   RobustScaler DecisionTree                      0:00:23       0.0696    0.0565
        18   RobustScaler DecisionTree                      0:00:21       0.0865    0.0565
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0709    0.0565
        20   StandardScalerWrapper DecisionTree             0:00:21       0.0645    0.0565
        21   MinMaxScaler DecisionTree                      0:00:21       0.0709    0.0565
        22   MinMaxScaler DecisionTree                      0:00:21       0.0641    0.0565
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0990    0.0565
        24   StandardScalerWrapper RandomForest             0:00:24       0.0821    0.0565
        25   StandardScalerWrapper DecisionTree             0:00:17       0.0807    0.0565
        26   RobustScaler DecisionTree                      0:00:23       0.0602    0.0565
        27   StandardScalerWrapper DecisionTree             0:00:21       0.0626    0.0565
        28   RobustScaler DecisionTree                      0:00:21       0.0586    0.0565
        29   StandardScalerWrapper DecisionTree             0:00:29       0.0766    0.0565
        30   StandardScalerWrapper DecisionTree             0:00:22       0.0747    0.0565
        31   MinMaxScaler LightGBM                          0:00:21       0.0938    0.0565
        32   StandardScalerWrapper RandomForest             0:00:24       0.1046    0.0565
        33   RobustScaler LightGBM                          0:00:27       0.0560    0.0560
        34   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0864    0.0560
        35   StandardScalerWrapper LightGBM                 0:00:22       0.0869    0.0560
        36   MinMaxScaler LightGBM                          0:00:24       0.0784    0.0560
        37   StandardScalerWrapper RandomForest             0:00:23       0.0955    0.0560
        38   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0879    0.0560
        39   MinMaxScaler LightGBM                          0:00:18       0.0648    0.0560
        40   MinMaxScaler LightGBM                          0:00:35       0.0505    0.0505
        41   RobustScaler LightGBM                          0:00:22       0.0659    0.0505
        42   MinMaxScaler RandomForest                      0:00:28       0.0840    0.0505
        43   RobustScaler RandomForest                      0:00:23       0.0918    0.0505
        44   MinMaxScaler RandomForest                      0:00:19       0.0617    0.0505
        45   StandardScalerWrapper LightGBM                 0:00:22       0.1021    0.0505
        46   RobustScaler RandomForest                      0:00:24       0.1111    0.0505
        47   RobustScaler RandomForest                      0:00:23       0.0605    0.0505
        48   StandardScalerWrapper RandomForest             0:00:23       0.0684    0.0505
        49   MinMaxScaler RandomForest                      0:00:24       0.0709    0.0505
        50   StandardScalerWrapper LightGBM                 0:00:24       0.0727    0.0505
