WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_831eb54b-e57f-4d09-b7ad-da37dacdb35d

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:25       0.0750    0.0750
         1   MinMaxScaler DecisionTree                      0:00:20       0.0825    0.0750
         2   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0750
         3   RobustScaler ElasticNet                        0:00:21       0.1395    0.0750
         4   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0750
         5   RobustScaler ElasticNet                        0:00:22       0.1386    0.0750
         6   RobustScaler DecisionTree                      0:00:21       0.0806    0.0750
         7   MinMaxScaler DecisionTree                      0:00:22       0.0580    0.0580
         8   RobustScaler DecisionTree                      0:00:20       0.1059    0.0580
         9   MinMaxScaler DecisionTree                      0:00:21       0.0690    0.0580
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0728    0.0580
        11   StandardScalerWrapper DecisionTree             0:00:33       0.0688    0.0580
        12   RobustScaler DecisionTree                      0:00:21       0.0656    0.0580
        13   RobustScaler ElasticNet                        0:00:21       0.1392    0.0580
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0663    0.0580
        15   MinMaxScaler DecisionTree                      0:00:21       0.0610    0.0580
        16   MinMaxScaler DecisionTree                      0:00:26       0.0765    0.0580
        17   RobustScaler DecisionTree                      0:00:21       0.0697    0.0580
        18   RobustScaler DecisionTree                      0:00:23       0.0825    0.0580
        19   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_831eb54b-e57f-4d09-b7ad-da37dacdb35d_19/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=8n2uF3atZixMrkiaf%2BnaiOpiq%2F0i7cZFpDRTGPr9BAQ%3D&st=2020-10-01T10%3A03%3A52Z&se=2020-10-02T10%3A13%3A52Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper DecisionTree             0:03:07       0.0657    0.0580
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0626    0.0580
        21   MinMaxScaler DecisionTree                      0:00:21       0.0679    0.0580
        22   MinMaxScaler DecisionTree                      0:00:21       0.0663    0.0580
        23   StandardScalerWrapper RandomForest             0:00:23       0.0817    0.0580
        24   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0983    0.0580
        25   StandardScalerWrapper DecisionTree             0:00:21       0.0832    0.0580
        26   RobustScaler DecisionTree                      0:00:27       0.0596    0.0580
        27   RobustScaler DecisionTree                      0:00:24       0.0577    0.0577
        28   StandardScalerWrapper DecisionTree             0:00:21       0.0604    0.0577
        29   StandardScalerWrapper DecisionTree             0:00:23       0.0605    0.0577
        30   StandardScalerWrapper DecisionTree             0:00:21       0.0792    0.0577
        31   StandardScalerWrapper DecisionTree             0:00:21       0.0853    0.0577
        32   MinMaxScaler DecisionTree                      0:00:21       0.0655    0.0577
        33   RobustScaler DecisionTree                      0:00:21       0.0611    0.0577
        34   MinMaxScaler DecisionTree                      0:00:21       0.0793    0.0577
        35   StandardScalerWrapper DecisionTree             0:00:21       0.0822    0.0577
        36   MinMaxScaler DecisionTree                      0:00:21       0.0653    0.0577
        37   StandardScalerWrapper RandomForest             0:00:23       0.1041    0.0577
        38   RobustScaler DecisionTree                      0:00:21       0.0567    0.0567
        39   MinMaxScaler LightGBM                          0:00:22       0.0938    0.0567
        40   RobustScaler DecisionTree                      0:00:22       0.1107    0.0567
        41   RobustScaler ExtremeRandomTrees                0:00:23       0.0978    0.0567
        42   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0858    0.0567
        43   MinMaxScaler RandomForest                      0:00:32       0.0839    0.0567
        44   RobustScaler RandomForest                      0:00:24       0.1095    0.0567
        45   RobustScaler DecisionTree                      0:00:24       0.1097    0.0567
        46   RobustScaler RandomForest                      0:00:23       0.0941    0.0567
        47   MinMaxScaler LightGBM                          0:00:22       0.0784    0.0567
        48   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0865    0.0567
        49   StandardScalerWrapper RandomForest             0:00:23       0.0975    0.0567
        50   StandardScalerWrapper DecisionTree             0:00:21       0.1129    0.0567
        51   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1075    0.0567
        52   MinMaxScaler RandomForest                      0:00:25       0.0609    0.0567
        53   RobustScaler LightGBM                          0:00:25       0.0560    0.0560
        54   RobustScaler RandomForest                      0:00:23       0.0601    0.0560
        55   StandardScalerWrapper LightGBM                 0:00:26       0.0712    0.0560
        56   StandardScalerWrapper RandomForest             0:00:24       0.0687    0.0560
        57   MinMaxScaler RandomForest                      0:00:23       0.0706    0.0560
        58   StandardScalerWrapper RandomForest             0:00:26       0.0803    0.0560
        59   StandardScalerWrapper RandomForest             0:00:28       0.0753    0.0560
        60   StandardScalerWrapper LightGBM                 0:00:22       0.1021    0.0560
        61   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0954    0.0560
        62   RobustScaler RandomForest                      0:00:24       0.0975    0.0560
        63   RobustScaler RandomForest                      0:00:23       0.0603    0.0560
        64   StandardScalerWrapper RandomForest             0:00:23       0.0916    0.0560
        65   RobustScaler LightGBM                          0:00:22       0.0797    0.0560
        66   MinMaxScaler ExtremeRandomTrees                0:00:59       0.0889    0.0560
        67   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_831eb54b-e57f-4d09-b7ad-da37dacdb35d_67/outputs/model.pkl?sv=2019-02-02&sr=b&sig=%2FLWcnNNbuAwWsTaC1EAYagQWNO9chEAVculbT6O%2Bu9c%3D&st=2020-10-01T10%3A26%3A15Z&se=2020-10-02T10%3A36%3A15Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ExtremeRandomTrees                0:02:31       0.0995    0.0560
        68   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0891    0.0560
        69   RobustScaler RandomForest                      0:00:24       0.0970    0.0560
        70   StandardScalerWrapper LightGBM                 0:00:22       0.1074    0.0560
        71   RobustScaler RandomForest                      0:00:27       0.0820    0.0560
        72   RobustScaler RandomForest                      0:00:18       0.0571    0.0560
        73   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0628    0.0560
        74   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1039    0.0560
        75   RobustScaler LightGBM                          0:00:22       0.0675    0.0560
        76   StandardScalerWrapper RandomForest             0:00:23       0.0591    0.0560
        77   RobustScaler RandomForest                      0:00:23       0.0615    0.0560
        78   StandardScalerWrapper DecisionTree             0:00:22       0.0793    0.0560
        79   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0690    0.0560
        80   MinMaxScaler LightGBM                          0:00:26       0.0648    0.0560
        81   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0851    0.0560
        82   MinMaxScaler DecisionTree                      0:00:21       0.0931    0.0560
        83   RobustScaler ExtremeRandomTrees                0:00:24       0.0776    0.0560
        84   RobustScaler DecisionTree                      0:00:21       0.0756    0.0560
        85   RobustScaler LightGBM                          0:00:24       0.1004    0.0560
        86   StandardScalerWrapper RandomForest             0:00:30       0.1042    0.0560
        87   RobustScaler RandomForest                      0:00:25       0.0735    0.0560
        88   MinMaxScaler RandomForest                      0:00:26       0.0564    0.0560
        89   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0795    0.0560
        90   RobustScaler LightGBM                          0:00:23       0.0847    0.0560
        91   MinMaxScaler GradientBoosting                  0:00:28       0.0536    0.0536
        92   StandardScalerWrapper ExtremeRandomTrees       0:00:39       0.0675    0.0536
        93   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0623    0.0536
        94   RobustScaler ExtremeRandomTrees                0:00:24       0.0606    0.0536
        95   RobustScaler GradientBoosting                  0:00:23       0.0894    0.0536
        96   StandardScalerWrapper RandomForest             0:00:23       0.0859    0.0536
        97   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0707    0.0536
        98   StandardScalerWrapper ExtremeRandomTrees       0:00:21       0.0795    0.0536
        99   StandardScalerWrapper RandomForest             0:00:26       0.0548    0.0536
       100   RobustScaler GradientBoosting                  0:00:25       0.1137    0.0536
       101   RobustScaler ExtremeRandomTrees                0:00:29       0.0989    0.0536
       102   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_831eb54b-e57f-4d09-b7ad-da37dacdb35d_102/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=AwAH%2F63kL%2BCSq6lLLtJdwS%2FMYoeIk%2B%2FxVjWnxRcVqBE%3D&st=2020-10-01T10%3A42%3A56Z&se=2020-10-02T10%3A52%3A56Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:03:07       0.0653    0.0536
       103   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.0678    0.0536
       104   StandardScalerWrapper RandomForest             0:00:23       0.0717    0.0536
       105   RobustScaler GradientBoosting                  0:00:24       0.0630    0.0536
       106   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0795    0.0536
       107   MinMaxScaler LightGBM                          0:00:37       0.0512    0.0512
       108   RobustScaler ExtremeRandomTrees                0:00:26       0.0665    0.0512
       109   MinMaxScaler LightGBM                          0:00:23       0.0856    0.0512
       110   MinMaxScaler LightGBM                          0:00:28       0.0535    0.0512
       111   RobustScaler ExtremeRandomTrees                0:00:24       0.0710    0.0512
       112   MinMaxScaler ExtremeRandomTrees                0:00:22       0.0605    0.0512
       113   StandardScalerWrapper RandomForest             0:00:27       0.0765    0.0512
       114   MinMaxScaler ExtremeRandomTrees                0:00:20       0.0690    0.0512
       115   MinMaxScaler LightGBM                          0:00:22       0.0647    0.0512
       116   StandardScalerWrapper RandomForest             0:00:32       0.0798    0.0512
       117   StandardScalerWrapper RandomForest             0:00:24       0.0942    0.0512
       118   RobustScaler GradientBoosting                  0:00:44       0.0844    0.0512
       119   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0675    0.0512
       120   StandardScalerWrapper LightGBM                 0:00:23       0.0967    0.0512
       121   RobustScaler ExtremeRandomTrees                0:00:29       0.0905    0.0512
       122   StandardScalerWrapper RandomForest             0:00:23       0.0552    0.0512
       123   MinMaxScaler RandomForest                      0:00:30       0.0603    0.0512
       124   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0676    0.0512
       125   MinMaxScaler LightGBM                          0:00:27       0.0534    0.0512
       126   StandardScalerWrapper RandomForest             0:00:20       0.0843    0.0512
       127   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0563    0.0512
       128   MinMaxScaler ExtremeRandomTrees                0:00:30       0.0557    0.0512
       129   MinMaxScaler ExtremeRandomTrees                0:00:25       0.0878    0.0512
       130   RobustScaler LightGBM                          0:00:26       0.0615    0.0512
       131   MinMaxScaler ExtremeRandomTrees                0:00:32       0.0541    0.0512
       132   MinMaxScaler RandomForest                      0:00:29       0.0600    0.0512
       133   MinMaxScaler ExtremeRandomTrees                0:00:33       0.0857    0.0512
       134   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1019    0.0512
       135   RobustScaler LightGBM                          0:00:23       0.1107    0.0512
       136   MinMaxScaler RandomForest                      0:00:19       0.0935    0.0512
       137   MinMaxScaler RandomForest                      0:00:24       0.0916    0.0512
       138   StandardScalerWrapper RandomForest             0:00:18       0.0832    0.0512
