Running on local machine
Parent Run ID: AutoML_50f8cc1d-9463-4098-b28e-e1bdae38215e

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:16       0.0924    0.0924
         1   MinMaxScaler DecisionTree                      0:00:15       0.0958    0.0924
         2   StandardScalerWrapper LassoLars                0:00:16       0.0905    0.0905
         3   RobustScaler ElasticNet                        0:00:21       0.0889    0.0889
         4   StandardScalerWrapper LassoLars                0:00:21       0.0905    0.0889
         5   RobustScaler ElasticNet                        0:00:21       0.0903    0.0889
         6   RobustScaler DecisionTree                      0:00:21       0.0974    0.0889
         7   MinMaxScaler DecisionTree                      0:00:16       0.0188    0.0188
         8   RobustScaler DecisionTree                      0:00:21       0.0875    0.0188
         9   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_50f8cc1d-9463-4098-b28e-e1bdae38215e_9/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=20CyWCl45t%2BEwoW4iA2%2FGIbe3Zl5VUvqDEC8Uq68oNc%3D&st=2020-09-18T01%3A36%3A37Z&se=2020-09-19T01%3A46%3A37Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:04       0.0629    0.0188
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0536    0.0188
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0981    0.0188
        12   RobustScaler DecisionTree                      0:00:21       0.0487    0.0188
        13   RobustScaler ElasticNet                        0:00:21       0.1212    0.0188
        14   StandardScalerWrapper DecisionTree             0:00:21       0.1057    0.0188
        15   MinMaxScaler DecisionTree                      0:00:20       0.0362    0.0188
        16   MinMaxScaler DecisionTree                      0:00:22       0.0581    0.0188
        17   RobustScaler DecisionTree                      0:00:21       0.0853    0.0188
        18   RobustScaler DecisionTree                      0:00:21       0.1015    0.0188
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0927    0.0188
