Running on local machine
Parent Run ID: AutoML_430590b3-3a1e-429f-aada-3d088ced6d2b

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0668    0.0668
         1   MinMaxScaler DecisionTree                      0:00:23       0.0806    0.0668
         2   StandardScalerWrapper LassoLars                0:00:23       0.0905    0.0668
         3   RobustScaler ElasticNet                        0:00:23       0.0889    0.0668
         4   StandardScalerWrapper LassoLars                0:00:23       0.0905    0.0668
         5   RobustScaler ElasticNet                        0:00:23       0.0903    0.0668
         6   RobustScaler DecisionTree                      0:00:23       0.0827    0.0668
         7   MinMaxScaler DecisionTree                      0:00:23       0.0212    0.0212
         8   RobustScaler DecisionTree                      0:00:23       0.0647    0.0212
         9   MinMaxScaler DecisionTree                      0:00:23       0.0367    0.0212
        10   StandardScalerWrapper DecisionTree             0:00:24       0.0471    0.0212
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0564    0.0212
        12   RobustScaler DecisionTree                      0:00:23       0.0668    0.0212
        13   RobustScaler ElasticNet                        0:00:22       0.1212    0.0212
        14   StandardScalerWrapper DecisionTree             0:00:23       0.0695    0.0212
        15   MinMaxScaler DecisionTree                      0:00:26       0.0218    0.0212
        16   MinMaxScaler DecisionTree                      0:00:33       0.0739    0.0212
        17   RobustScaler DecisionTree                      0:00:23       0.0958    0.0212
        18   RobustScaler DecisionTree                      0:00:23       0.0801    0.0212
        19   StandardScalerWrapper DecisionTree             0:00:23       0.0571    0.0212
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0151    0.0151
        21   MinMaxScaler DecisionTree                      0:00:23       0.0518    0.0151
        22   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_430590b3-3a1e-429f-aada-3d088ced6d2b_22/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=nFCRjwn%2FHJRJd0XXv1gOErgGAn%2BffqQA0hCYh%2FSSPMU%3D&st=2020-09-13T05%3A31%3A17Z&se=2020-09-14T05%3A41%3A17Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:05       0.0542    0.0151
        23   StandardScalerWrapper DecisionTree             0:00:24       0.0839    0.0151
        24   RobustScaler DecisionTree                      0:00:23       0.0243    0.0151
        25   StandardScalerWrapper DecisionTree             0:00:24       0.1056    0.0151
        26   RobustScaler DecisionTree                      0:00:24       0.0215    0.0151
        27   StandardScalerWrapper DecisionTree             0:00:25       0.0360    0.0151
        28   StandardScalerWrapper DecisionTree             0:00:24       0.0913    0.0151
