Running on local machine
Parent Run ID: AutoML_a195a87b-37f0-4cbf-a0c0-6c695ca3797c

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1118    0.1118
         1   MinMaxScaler DecisionTree                      0:00:22       0.0860    0.0860
         2   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0860
         3   RobustScaler ElasticNet                        0:00:22       0.0889    0.0860
         4   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0860
         5   RobustScaler ElasticNet                        0:00:23       0.0903    0.0860
         6   RobustScaler DecisionTree                      0:00:21       0.1082    0.0860
         7   MinMaxScaler DecisionTree                      0:00:22       0.0217    0.0217
         8   RobustScaler DecisionTree                      0:00:22       0.1010    0.0217
         9   MinMaxScaler DecisionTree                      0:00:21       0.0684    0.0217
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0997    0.0217
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0302    0.0217
        12   RobustScaler DecisionTree                      0:00:22       0.0305    0.0217
        13   RobustScaler ElasticNet                        0:00:22       0.1212    0.0217
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0530    0.0217
        15   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_a195a87b-37f0-4cbf-a0c0-6c695ca3797c_15/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=EoydFNQi32itU82%2BtwysZJynVreWdHNZ%2BJWqn4g0HEw%3D&st=2020-09-12T08%3A43%3A42Z&se=2020-09-13T08%3A53%3A42Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:10       0.0371    0.0217
        16   MinMaxScaler DecisionTree                      0:00:23       0.0875    0.0217
        17   RobustScaler DecisionTree                      0:00:22       0.0604    0.0217
        18   RobustScaler DecisionTree                      0:00:22       0.0462    0.0217
        19   StandardScalerWrapper DecisionTree             0:00:19       0.0488    0.0217
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0473    0.0217
        21   StandardScalerWrapper DecisionTree             0:00:22       0.1211    0.0217
        22   MinMaxScaler DecisionTree                      0:00:22       0.0445    0.0217
        23   MinMaxScaler DecisionTree                      0:00:22       0.0159    0.0159
        24   MinMaxScaler DecisionTree                      0:00:22       0.0370    0.0159
        25   StandardScalerWrapper DecisionTree             0:00:22       0.0867    0.0159
        26   StandardScalerWrapper RandomForest             0:00:24       0.0881    0.0159
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1182    0.0159
        28   RobustScaler DecisionTree                      0:00:18       0.0147    0.0147
        29   RobustScaler DecisionTree                      0:00:48       0.0159    0.0147
