Running on local machine
Parent Run ID: AutoML_f43ff2d5-6b79-4195-87cc-04a447ce46df

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:21       0.0598    0.0598
         1   MinMaxScaler DecisionTree                      0:00:21       0.1006    0.0598
         2   StandardScalerWrapper LassoLars                0:00:21       0.0905    0.0598
         3   RobustScaler ElasticNet                        0:00:21       0.0889    0.0598
         4   StandardScalerWrapper LassoLars                0:00:21       0.0905    0.0598
         5   RobustScaler ElasticNet                        0:00:16       0.0903    0.0598
         6   RobustScaler DecisionTree                      0:00:15       0.0261    0.0261
         7   MinMaxScaler DecisionTree                      0:00:20       0.0193    0.0193
         8   RobustScaler DecisionTree                      0:00:21       0.1108    0.0193
         9   MinMaxScaler DecisionTree                      0:00:20       0.0761    0.0193
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0456    0.0193
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0772    0.0193
        12   RobustScaler DecisionTree                      0:00:21       0.0325    0.0193
        13   RobustScaler ElasticNet                        0:00:21       0.1212    0.0193
        14   StandardScalerWrapper DecisionTree             0:00:15       0.0881    0.0193
        15   MinMaxScaler DecisionTree                      0:00:16       0.0429    0.0193
        16   MinMaxScaler DecisionTree                      0:00:20       0.0374    0.0193
        17   RobustScaler DecisionTree                      0:00:15       0.0375    0.0193
        18   RobustScaler DecisionTree                      0:00:20       0.0474    0.0193
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0610    0.0193
        20   StandardScalerWrapper DecisionTree             0:00:22       0.1127    0.0193
        21   StandardScalerWrapper DecisionTree             0:00:16       0.0528    0.0193
        22   MinMaxScaler DecisionTree                      0:00:16       0.0282    0.0193
        23   MinMaxScaler DecisionTree                      0:00:21       0.0456    0.0193
        24   MinMaxScaler DecisionTree                      0:00:21       0.0868    0.0193
        25   StandardScalerWrapper DecisionTree             0:00:21       0.1097    0.0193
        26   StandardScalerWrapper DecisionTree             0:00:20       0.1113    0.0193
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1214    0.0193
        28   MinMaxScaler DecisionTree                      0:00:21       0.1136    0.0193
        29   RobustScaler RandomForest                      0:00:18       0.0602    0.0193
