Running on local machine
Parent Run ID: AutoML_acc8d0ea-a17b-41d8-bac3-04bf84e622a6

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:26       0.0602    0.0602
         1   MinMaxScaler DecisionTree                      0:00:24       0.0792    0.0602
         2   StandardScalerWrapper LassoLars                0:00:23       0.0905    0.0602
         3   RobustScaler ElasticNet                        0:00:23       0.0889    0.0602
         4   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0602
         5   RobustScaler ElasticNet                        0:00:23       0.0903    0.0602
         6   RobustScaler DecisionTree                      0:00:24       0.0695    0.0602
         7   MinMaxScaler DecisionTree                      0:00:24       0.0231    0.0231
         8   RobustScaler DecisionTree                      0:00:23       0.0828    0.0231
         9   MinMaxScaler DecisionTree                      0:00:23       0.0529    0.0231
        10   StandardScalerWrapper DecisionTree             0:00:23       0.0736    0.0231
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0555    0.0231
        12   RobustScaler DecisionTree                      0:00:24       0.0521    0.0231
        13   RobustScaler ElasticNet                        0:00:23       0.1212    0.0231
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0393    0.0231
        15   MinMaxScaler DecisionTree                      0:00:24       0.0363    0.0231
        16   MinMaxScaler DecisionTree                      0:00:23       0.0957    0.0231
        17   RobustScaler DecisionTree                      0:00:23       0.0492    0.0231
        18   RobustScaler DecisionTree                      0:00:22       0.0962    0.0231
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0489    0.0231
        20   StandardScalerWrapper DecisionTree             0:00:24       0.0160    0.0160
        21   MinMaxScaler DecisionTree                      0:00:25       0.0158    0.0158
        22   StandardScalerWrapper DecisionTree             0:00:23       0.0849    0.0158
        23   MinMaxScaler DecisionTree                      0:00:24       0.0219    0.0158
        24   StandardScalerWrapper ExtremeRandomTrees       0:00:42       0.1076    0.0158
        25   StandardScalerWrapper DecisionTree             0:00:23       0.0910    0.0158
        26   StandardScalerWrapper DecisionTree             0:00:24       0.1059    0.0158
        27   StandardScalerWrapper DecisionTree             0:00:23       0.0760    0.0158
        28   MinMaxScaler DecisionTree                      0:00:24       0.0990    0.0158
        29   StandardScalerWrapper DecisionTree             0:00:23       0.0375    0.0158
