WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_2d263a90-c89e-4ce3-88ab-80ceb5c8ed1f

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0868    0.0868
         1   MinMaxScaler DecisionTree                      0:00:23       0.0757    0.0757
         2   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0757
         3   RobustScaler ElasticNet                        0:00:21       0.1395    0.0757
         4   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0757
         5   RobustScaler ElasticNet                        0:00:22       0.1386    0.0757
         6   RobustScaler DecisionTree                      0:00:22       0.0814    0.0757
         7   MinMaxScaler DecisionTree                      0:00:22       0.0569    0.0569
         8   RobustScaler DecisionTree                      0:00:21       0.1055    0.0569
         9   MinMaxScaler DecisionTree                      0:00:22       0.0698    0.0569
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0710    0.0569
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0750    0.0569
        12   RobustScaler DecisionTree                      0:00:22       0.0651    0.0569
        13   RobustScaler ElasticNet                        0:00:22       0.1392    0.0569
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0686    0.0569
        15   MinMaxScaler DecisionTree                      0:00:22       0.0627    0.0569
        16   MinMaxScaler DecisionTree                      0:00:21       0.0714    0.0569
        17   RobustScaler DecisionTree                      0:00:21       0.0715    0.0569
        18   RobustScaler DecisionTree                      0:00:22       0.0831    0.0569
        19   StandardScalerWrapper DecisionTree             0:00:23       0.0665    0.0569
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0650    0.0569
        21   MinMaxScaler DecisionTree                      0:00:22       0.0657    0.0569
        22   MinMaxScaler DecisionTree                      0:00:17       0.0627    0.0569
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0993    0.0569
        24   StandardScalerWrapper RandomForest             0:00:24       0.0816    0.0569
        25   StandardScalerWrapper DecisionTree             0:00:22       0.0845    0.0569
        26   RobustScaler DecisionTree                      0:00:23       0.0592    0.0569
        27   StandardScalerWrapper DecisionTree             0:00:18       0.0611    0.0569
        28   RobustScaler DecisionTree                      0:00:22       0.0608    0.0569
        29   StandardScalerWrapper DecisionTree             0:00:22       0.0782    0.0569
        30   StandardScalerWrapper DecisionTree             0:00:23       0.0754    0.0569
        31   StandardScalerWrapper DecisionTree             0:00:18       0.0624    0.0569
        32   MinMaxScaler DecisionTree                      0:00:22       0.0672    0.0569
        33   RobustScaler DecisionTree                      0:00:17       0.0608    0.0569
        34   MinMaxScaler DecisionTree                      0:00:23       0.0848    0.0569
        35   StandardScalerWrapper DecisionTree             0:00:23       0.0824    0.0569
        36   MinMaxScaler DecisionTree                      0:00:23       0.0680    0.0569
        37   StandardScalerWrapper RandomForest             0:00:23       0.1047    0.0569
        38   RobustScaler DecisionTree                      0:00:18       0.0574    0.0569
        39   RobustScaler ExtremeRandomTrees                0:00:24       0.0984    0.0569
        40   RobustScaler DecisionTree                      0:00:22       0.1117    0.0569
        41   RobustScaler DecisionTree                      0:00:22       0.0762    0.0569
        42   RobustScaler DecisionTree                      0:00:23       0.0583    0.0569
        43   StandardScalerWrapper DecisionTree             0:00:22       0.0675    0.0569
        44   RobustScaler DecisionTree                      0:00:24       0.0681    0.0569
        45   RobustScaler DecisionTree                      0:00:17       0.1113    0.0569
        46   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.0864    0.0569
        47   MinMaxScaler LightGBM                          0:00:23       0.0784    0.0569
        48   RobustScaler RandomForest                      0:00:23       0.1089    0.0569
        49   MinMaxScaler RandomForest                      0:00:29       0.0846    0.0569
        50   StandardScalerWrapper DecisionTree             0:00:22       0.1101    0.0569
        51   RobustScaler RandomForest                      0:00:23       0.0931    0.0569
        52   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1190    0.0569
        53   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_2d263a90-c89e-4ce3-88ab-80ceb5c8ed1f_53/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=ExnhQSD23ZL2WUdJboRsSS6BhJxFF0Hsb2WQnqOXmbo%3D&st=2020-10-01T17%3A37%3A41Z&se=2020-10-02T17%3A47%3A41Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler RandomForest                      0:03:04       0.0965    0.0569
        54   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1076    0.0569
        55   RobustScaler DecisionTree                      0:00:26       0.1088    0.0569
        56   MinMaxScaler ExtremeRandomTrees                0:00:23       0.0861    0.0569
        57   StandardScalerWrapper RandomForest             0:00:25       0.0956    0.0569
        58   MinMaxScaler LightGBM                          0:00:23       0.0938    0.0569
        59   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0889    0.0569
        60   StandardScalerWrapper DecisionTree             0:00:22       0.1075    0.0569
        61   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_2d263a90-c89e-4ce3-88ab-80ceb5c8ed1f_61/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=6hsyeooEV1wKGlO1xo5MR7%2BUY5x6e9pvmTfcW4HQn4s%3D&st=2020-10-01T17%3A43%3A37Z&se=2020-10-02T17%3A53%3A37Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler RandomForest                      0:03:07       0.0710    0.0569
        62   RobustScaler RandomForest                      0:00:23       0.0979    0.0569
        63   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0957    0.0569
        64   RobustScaler RandomForest                      0:00:23       0.0599    0.0569
        65   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_2d263a90-c89e-4ce3-88ab-80ceb5c8ed1f_65/outputs/model.pkl?sv=2019-02-02&sr=b&sig=oSN6KYbLYllsEoTxMBol8gnnx0zQjkEw0ZtVB%2BfIicY%3D&st=2020-10-01T17%3A47%3A55Z&se=2020-10-02T17%3A57%3A55Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler DecisionTree                      0:03:07       0.1076    0.0569
        66   StandardScalerWrapper RandomForest             0:00:25       0.0673    0.0569
        67   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0693    0.0569
        68   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1021    0.0569
        69   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0880    0.0569
        70   MinMaxScaler DecisionTree                      0:00:21       0.0845    0.0569
        71   StandardScalerWrapper RandomForest             0:00:24       0.0592    0.0569
        72   RobustScaler LightGBM                          0:00:23       0.0797    0.0569
        73   RobustScaler ExtremeRandomTrees                0:00:32       0.0994    0.0569
