WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_c7b11c0b-2f53-465d-ae69-489e8ec05ac0

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0835    0.0835
         1   MinMaxScaler DecisionTree                      0:00:23       0.0767    0.0767
         2   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7b11c0b-2f53-465d-ae69-489e8ec05ac0_2/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=3pYLrC18Orbmrnte262kb8uI7rEU5qj%2Bx%2B0lvcy3AW4%3D&st=2020-10-02T21%3A22%3A43Z&se=2020-10-03T21%3A32%3A43Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7b11c0b-2f53-465d-ae69-489e8ec05ac0_2/outputs/model.pkl?sv=2019-02-02&sr=b&sig=V%2B3taDUujtOPxg%2BXwr7BdUQo1rLkrAKCnAUNpaoZVcg%3D&st=2020-10-02T21%3A22%3A43Z&se=2020-10-03T21%3A32%3A43Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper LassoLars                0:03:07       0.1386    0.0767
         3   RobustScaler ElasticNet                        0:00:23       0.1395    0.0767
         4   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0767
         5   RobustScaler ElasticNet                        0:00:22       0.1386    0.0767
         6   RobustScaler DecisionTree                      0:00:23       0.0853    0.0767
         7   MinMaxScaler DecisionTree                      0:00:24       0.0576    0.0576
         8   RobustScaler DecisionTree                      0:00:22       0.1060    0.0576
         9   MinMaxScaler DecisionTree                      0:00:22       0.0730    0.0576
        10   StandardScalerWrapper DecisionTree             0:00:23       0.0735    0.0576
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0687    0.0576
        12   RobustScaler DecisionTree                      0:00:22       0.0636    0.0576
        13   RobustScaler ElasticNet                        0:00:22       0.1392    0.0576
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0722    0.0576
        15   MinMaxScaler DecisionTree                      0:00:22       0.0612    0.0576
        16   MinMaxScaler DecisionTree                      0:00:22       0.0757    0.0576
        17   RobustScaler DecisionTree                      0:00:22       0.0695    0.0576
        18   RobustScaler DecisionTree                      0:00:22       0.0811    0.0576
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0647    0.0576
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0626    0.0576
        21   MinMaxScaler DecisionTree                      0:00:17       0.0719    0.0576
        22   MinMaxScaler DecisionTree                      0:00:23       0.0648    0.0576
        23   StandardScalerWrapper RandomForest             0:00:25       0.0828    0.0576
        24   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1001    0.0576
        25   StandardScalerWrapper DecisionTree             0:00:23       0.0892    0.0576
        26   RobustScaler DecisionTree                      0:00:23       0.0580    0.0576
        27   StandardScalerWrapper DecisionTree             0:00:22       0.0600    0.0576
        28   RobustScaler DecisionTree                      0:00:23       0.0597    0.0576
        29   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7b11c0b-2f53-465d-ae69-489e8ec05ac0_29/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=huAWjzTn5hF%2BiUnsDmt%2BI1Qfjf4q%2B96YbFeIdyvW7p4%3D&st=2020-10-02T21%3A35%3A49Z&se=2020-10-03T21%3A45%3A49Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper DecisionTree             0:03:05       0.0716    0.0576
        30   StandardScalerWrapper DecisionTree             0:00:24       0.0758    0.0576
        31   StandardScalerWrapper DecisionTree             0:00:23       0.0640    0.0576
        32   MinMaxScaler DecisionTree                      0:00:23       0.0715    0.0576
        33   RobustScaler DecisionTree                      0:00:22       0.0626    0.0576
        34   RobustScaler DecisionTree                      0:00:23       0.0787    0.0576
        35   StandardScalerWrapper DecisionTree             0:00:23       0.0764    0.0576
        36   RobustScaler DecisionTree                      0:00:23       0.0574    0.0574
        37   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7b11c0b-2f53-465d-ae69-489e8ec05ac0_37/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=7Aaud2msdcHsMva1YcSoctPkzdQzvqDxPCDlhjBrTOE%3D&st=2020-10-02T21%3A41%3A42Z&se=2020-10-03T21%3A51%3A42Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ExtremeRandomTrees                0:03:28       0.0977    0.0574
        38   StandardScalerWrapper RandomForest             0:00:24       0.1036    0.0574
        39   MinMaxScaler DecisionTree                      0:00:24       0.0684    0.0574
        40   RobustScaler DecisionTree                      0:00:23       0.1141    0.0574
        41   MinMaxScaler DecisionTree                      0:00:23       0.0781    0.0574
        42   RobustScaler DecisionTree                      0:00:23       0.0584    0.0574
        43   MinMaxScaler LightGBM                          0:00:23       0.0938    0.0574
        44   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0870    0.0574
        45   RobustScaler DecisionTree                      0:00:23       0.1089    0.0574
        46   MinMaxScaler RandomForest                      0:00:29       0.0842    0.0574
        47   RobustScaler RandomForest                      0:00:25       0.1093    0.0574
        48   MinMaxScaler LightGBM                          0:00:24       0.0784    0.0574
        49   RobustScaler RandomForest                      0:00:25       0.0918    0.0574
        50   StandardScalerWrapper DecisionTree             0:00:23       0.1167    0.0574
        51   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1078    0.0574
        52   StandardScalerWrapper RandomForest             0:00:25       0.0957    0.0574
        53   MinMaxScaler ExtremeRandomTrees                0:00:26       0.0874    0.0574
        54   RobustScaler RandomForest                      0:00:25       0.0967    0.0574
        55   RobustScaler DecisionTree                      0:00:23       0.1104    0.0574
        56   MinMaxScaler ExtremeRandomTrees                0:00:29       0.1189    0.0574
        57   MinMaxScaler ExtremeRandomTrees                0:00:27       0.0890    0.0574
        58   RobustScaler RandomForest                      0:00:24       0.0595    0.0574
        59   MinMaxScaler RandomForest                      0:00:25       0.0703    0.0574
        60   RobustScaler DecisionTree                      0:00:23       0.1099    0.0574
        61   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.0958    0.0574
        62   RobustScaler RandomForest                      0:00:24       0.0982    0.0574
        63   MinMaxScaler ExtremeRandomTrees                0:00:24       0.0691    0.0574
        64   StandardScalerWrapper RandomForest             0:00:25       0.0684    0.0574
        65   StandardScalerWrapper DecisionTree             0:00:24       0.1035    0.0574
        66   RobustScaler ExtremeRandomTrees                0:00:30       0.0940    0.0574
        67   StandardScalerWrapper RandomForest             0:00:27       0.0592    0.0574
        68   MinMaxScaler ExtremeRandomTrees                0:00:33       0.0870    0.0574
        69   RobustScaler LightGBM                          0:00:24       0.0797    0.0574
        70   MinMaxScaler DecisionTree                      0:00:23       0.0823    0.0574
        71   RobustScaler DecisionTree                      0:00:23       0.0740    0.0574
        72   RobustScaler ExtremeRandomTrees                0:00:25       0.0766    0.0574
        73   RobustScaler RandomForest                      0:00:25       0.0616    0.0574
        74   RobustScaler RandomForest                      0:00:24       0.0572    0.0572
        75   RobustScaler RandomForest                      0:00:21       0.1111    0.0572
        76   RobustScaler ExtremeRandomTrees                0:00:32       0.0990    0.0572
        77   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1037    0.0572
        78   StandardScalerWrapper RandomForest             0:00:24       0.0920    0.0572
        79   RobustScaler RandomForest                      0:00:25       0.0827    0.0572
        80   MinMaxScaler RandomForest                      0:00:31       0.0869    0.0572
        81   MinMaxScaler ExtremeRandomTrees                0:00:29       0.0850    0.0572
        82   StandardScalerWrapper DecisionTree             0:00:23       0.0793    0.0572
        83   MinMaxScaler DecisionTree                      0:00:24       0.0926    0.0572
        84   MinMaxScaler RandomForest                      0:00:24       0.0563    0.0563
        85   MinMaxScaler RandomForest                      0:00:28       0.1052    0.0563
        86   RobustScaler RandomForest                      0:00:25       0.0736    0.0563
        87   RobustScaler RandomForest                      0:00:25       0.0558    0.0558
        88   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.0735    0.0558
        89   RobustScaler ExtremeRandomTrees                0:00:26       0.0932    0.0558
        90   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ReadTimeoutError("HTTPSConnectionPool(host='automlws9124637538.blob.core.windows.net', port=443): Read timed out. (read timeout=2000)")': /azureml/ExperimentRun/dcid.AutoML_c7b11c0b-2f53-465d-ae69-489e8ec05ac0_90/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=BqqxE66Dv0RTSc16mnjnf10EBV%2FvwXuUEnRwxp0aeA8%3D&st=2020-10-02T22%3A07%3A25Z&se=2020-10-03T22%3A17%3A25Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper RandomForest             0:16:40       0.1115    0.0558
        91   MinMaxScaler RandomForest                      0:00:33       0.1042    0.0558
        92   MinMaxScaler ExtremeRandomTrees                0:00:28       0.0729    0.0558
        93   MinMaxScaler ExtremeRandomTrees                0:00:28       0.0895    0.0558
        94   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_c7b11c0b-2f53-465d-ae69-489e8ec05ac0_94/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=SfbiEt%2B1SDqYmnkeRPXs834wKckssHA5aBu1zDovAcw%3D&st=2020-10-02T22%3A25%3A37Z&se=2020-10-03T22%3A35%3A37Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
