WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_66176647-9269-4a60-bf80-833c7e274a72

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:21       0.0817    0.0817
         1   MinMaxScaler DecisionTree                      0:00:23       0.0813    0.0813
         2   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0813
         3   RobustScaler ElasticNet                        0:00:21       0.1395    0.0813
         4   StandardScalerWrapper LassoLars                0:00:21       0.1386    0.0813
         5   RobustScaler ElasticNet                        0:00:21       0.1386    0.0813
         6   RobustScaler DecisionTree                      0:00:20       0.0840    0.0813
         7   MinMaxScaler DecisionTree                      0:00:22       0.0563    0.0563
         8   RobustScaler DecisionTree                      0:00:21       0.1051    0.0563
         9   MinMaxScaler DecisionTree                      0:00:21       0.0706    0.0563
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0726    0.0563
        11   StandardScalerWrapper DecisionTree             0:00:26       0.0677    0.0563
        12   RobustScaler DecisionTree                      0:00:21       0.0685    0.0563
        13   RobustScaler ElasticNet                        0:00:27       0.1392    0.0563
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0708    0.0563
        15   MinMaxScaler DecisionTree                      0:00:28       0.0635    0.0563
        16   MinMaxScaler DecisionTree                      0:00:20       0.0702    0.0563
        17   RobustScaler DecisionTree                      0:00:21       0.0715    0.0563
        18   RobustScaler DecisionTree                      0:00:21       0.0852    0.0563
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0737    0.0563
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0623    0.0563
        21   MinMaxScaler DecisionTree                      0:00:21       0.0670    0.0563
        22   MinMaxScaler DecisionTree                      0:00:21       0.0631    0.0563
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.0986    0.0563
        24   StandardScalerWrapper RandomForest             0:00:23       0.0812    0.0563
        25   StandardScalerWrapper DecisionTree             0:00:21       0.0888    0.0563
        26   RobustScaler DecisionTree                      0:00:22       0.0608    0.0563
