Running on local machine
Parent Run ID: AutoML_eec332f0-0b7b-4079-aef4-a0dd72e7e871

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:24       0.0695    0.0695
         1   MinMaxScaler DecisionTree                      0:00:22       0.0763    0.0695
         2   StandardScalerWrapper LassoLars                0:00:24       0.0905    0.0695
         3   RobustScaler ElasticNet                        0:00:22       0.0889    0.0695
         4   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0695
         5   RobustScaler ElasticNet                        0:00:24       0.0903    0.0695
         6   RobustScaler DecisionTree                      0:00:22       0.0399    0.0399
         7   MinMaxScaler DecisionTree                      0:00:23       0.0188    0.0188
         8   RobustScaler DecisionTree                      0:00:17       0.1146    0.0188
         9   MinMaxScaler DecisionTree                      0:00:21       0.0665    0.0188
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0910    0.0188
        11   StandardScalerWrapper DecisionTree             0:00:23       0.0316    0.0188
        12   RobustScaler DecisionTree                      0:00:22       0.0488    0.0188
        13   RobustScaler ElasticNet                        0:00:23       0.1212    0.0188
        14   StandardScalerWrapper DecisionTree             0:00:23       0.0570    0.0188
        15   MinMaxScaler DecisionTree                      0:00:18       0.0421    0.0188
        16   MinMaxScaler DecisionTree                      0:00:22       0.0724    0.0188
        17   RobustScaler DecisionTree                      0:00:23       0.0717    0.0188
        18   RobustScaler DecisionTree                      0:00:22       0.0920    0.0188
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0531    0.0188
        20   StandardScalerWrapper DecisionTree             0:00:24       0.0472    0.0188
        21   MinMaxScaler DecisionTree                      0:00:24       0.0275    0.0188
        22   StandardScalerWrapper DecisionTree             0:00:23       0.0848    0.0188
        23   MinMaxScaler DecisionTree                      0:00:22       0.0244    0.0188
        24   MinMaxScaler DecisionTree                      0:00:23       0.0920    0.0188
        25   StandardScalerWrapper DecisionTree             0:00:23       0.0905    0.0188
        26   MinMaxScaler DecisionTree                      0:00:24       0.0685    0.0188
        27   StandardScalerWrapper RandomForest             0:00:25       0.0869    0.0188
        28   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1215    0.0188
        29   StandardScalerWrapper DecisionTree             0:00:24       0.0375    0.0188
        30   RobustScaler DecisionTree                      0:00:24       0.1025    0.0188
        31   StandardScalerWrapper DecisionTree             0:00:23       0.0845    0.0188
        32   MinMaxScaler DecisionTree                      0:00:25       0.0231    0.0188
        33   MinMaxScaler DecisionTree                      0:00:23       0.0843    0.0188
        34   StandardScalerWrapper DecisionTree             0:00:23       0.0345    0.0188
        35   StandardScalerWrapper DecisionTree             0:00:24       0.0486    0.0188
        36   StandardScalerWrapper DecisionTree             0:00:25       0.0680    0.0188
        37   StandardScalerWrapper DecisionTree             0:00:23       0.0375    0.0188
        38   MinMaxScaler DecisionTree                      0:00:22       0.0542    0.0188
        39   RobustScaler ExtremeRandomTrees                0:00:24       0.1201    0.0188
        40   StandardScalerWrapper DecisionTree             0:00:23       0.0934    0.0188
        41   RobustScaler DecisionTree                      0:00:26       0.0163    0.0163
        42   StandardScalerWrapper DecisionTree             0:00:23       0.0281    0.0163
        43   RobustScaler DecisionTree                      0:00:26       0.0295    0.0163
        44   RobustScaler DecisionTree                      0:00:21       0.0294    0.0163
        45   StandardScalerWrapper DecisionTree             0:00:19       0.0904    0.0163
        46   RobustScaler DecisionTree                      0:00:23       0.0302    0.0163
        47   StandardScalerWrapper DecisionTree             0:00:22       0.0369    0.0163
        48   StandardScalerWrapper DecisionTree             0:00:18       0.0810    0.0163
        49   StandardScalerWrapper DecisionTree             0:00:24       0.0440    0.0163
        50   StandardScalerWrapper DecisionTree             0:00:23       0.0430    0.0163
        51   RobustScaler DecisionTree                      0:00:29       0.0165    0.0163
        52   MinMaxScaler DecisionTree                      0:00:24       0.0659    0.0163
        53   StandardScalerWrapper DecisionTree             0:00:17       0.0399    0.0163
        54   MinMaxScaler DecisionTree                      0:00:23       0.0347    0.0163
        55   StandardScalerWrapper DecisionTree             0:00:24       0.0774    0.0163
        56   RobustScaler DecisionTree                      0:00:24       0.0640    0.0163
        57   MinMaxScaler DecisionTree                      0:00:25       0.0501    0.0163
        58   MinMaxScaler DecisionTree                      0:00:23       0.0644    0.0163
        59   MinMaxScaler DecisionTree                      0:00:23       0.0779    0.0163
        60   StandardScalerWrapper DecisionTree             0:00:23       0.0797    0.0163
        61   StandardScalerWrapper DecisionTree             0:00:23       0.0387    0.0163
        62   RobustScaler DecisionTree                      0:00:22       0.0380    0.0163
        63   MinMaxScaler DecisionTree                      0:00:23       0.0441    0.0163
        64   RobustScaler DecisionTree                      0:00:22       0.0143    0.0143
        65   StandardScalerWrapper DecisionTree             0:00:19       0.0482    0.0143
        66   MinMaxScaler DecisionTree                      0:00:23       0.0445    0.0143
        67   StandardScalerWrapper DecisionTree             0:00:23       0.0705    0.0143
        68   StandardScalerWrapper DecisionTree             0:00:23       0.0363    0.0143
        69   StandardScalerWrapper DecisionTree             0:00:22       0.0632    0.0143
        70   StandardScalerWrapper DecisionTree             0:01:17       0.0875    0.0143
        71   RobustScaler DecisionTree                      0:00:24       0.0888    0.0143
        72   StandardScalerWrapper DecisionTree             0:00:19       0.0159    0.0143
        73   RobustScaler DecisionTree                      0:00:24       0.0673    0.0143
        74   StandardScalerWrapper DecisionTree             0:00:23       0.0487    0.0143
