Running on local machine
Parent Run ID: AutoML_824b6c10-d996-4ed2-869f-8cb4c20537dc

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:21       0.0973    0.0973
         1   MinMaxScaler DecisionTree                      0:00:21       0.1042    0.0973
         2   StandardScalerWrapper LassoLars                0:00:21       0.0905    0.0905
         3   RobustScaler ElasticNet                        0:00:21       0.0889    0.0889
         4   StandardScalerWrapper LassoLars                0:00:21       0.0905    0.0889
         5   RobustScaler ElasticNet                        0:00:21       0.0903    0.0889
         6   RobustScaler DecisionTree                      0:00:22       0.0661    0.0661
         7   MinMaxScaler DecisionTree                      0:00:22       0.0184    0.0184
         8   RobustScaler DecisionTree                      0:00:22       0.0911    0.0184
         9   MinMaxScaler DecisionTree                      0:00:22       0.0662    0.0184
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0219    0.0184
        11   StandardScalerWrapper DecisionTree             0:00:24       0.0807    0.0184
        12   RobustScaler DecisionTree                      0:00:27       0.0388    0.0184
        13   RobustScaler ElasticNet                        0:00:22       0.1212    0.0184
        14   StandardScalerWrapper DecisionTree             0:00:16       0.0346    0.0184
        15   MinMaxScaler DecisionTree                      0:00:22       0.0295    0.0184
        16   MinMaxScaler DecisionTree                      0:00:23       0.0284    0.0184
        17   RobustScaler DecisionTree                      0:00:21       0.0880    0.0184
        18   RobustScaler DecisionTree                      0:00:22       0.0853    0.0184
        19   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_824b6c10-d996-4ed2-869f-8cb4c20537dc_19/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=OniQQqD446lcHmPVn%2BZjEH8Cet%2BqtLtPWQmMGP496FU%3D&st=2020-09-19T02%3A01%3A45Z&se=2020-09-20T02%3A11%3A45Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper DecisionTree             0:03:07       0.0903    0.0184
