Running on local machine
Parent Run ID: AutoML_0d090bf9-5dad-44d6-bd7e-ba5d770c06c8

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:28       0.0835    0.0835
         1   MinMaxScaler DecisionTree                      0:00:22       0.0847    0.0835
         2   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0835
         3   RobustScaler ElasticNet                        0:00:23       0.0889    0.0835
         4   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0835
         5   RobustScaler ElasticNet                        0:00:22       0.0903    0.0835
         6   RobustScaler DecisionTree                      0:00:23       0.1125    0.0835
         7   MinMaxScaler DecisionTree                      0:00:23       0.0140    0.0140
         8   RobustScaler DecisionTree                      0:00:22       0.0914    0.0140
         9   MinMaxScaler DecisionTree                      0:00:22       0.0860    0.0140
        10   StandardScalerWrapper DecisionTree             0:00:23       0.0516    0.0140
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0538    0.0140
        12   RobustScaler DecisionTree                      0:00:23       0.0384    0.0140
        13   RobustScaler ElasticNet                        0:00:23       0.1212    0.0140
        14   StandardScalerWrapper DecisionTree             0:00:23       0.0331    0.0140
        15   MinMaxScaler DecisionTree                      0:00:22       0.0273    0.0140
        16   MinMaxScaler DecisionTree                      0:00:22       0.0309    0.0140
        17   RobustScaler DecisionTree                      0:00:23       0.1073    0.0140
        18   RobustScaler DecisionTree                      0:00:22       0.0935    0.0140
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0616    0.0140
        20   StandardScalerWrapper DecisionTree             0:00:24       0.0410    0.0140
        21   MinMaxScaler DecisionTree                      0:00:23       0.0504    0.0140
        22   RobustScaler DecisionTree                      0:00:23       0.0234    0.0140
        23   MinMaxScaler DecisionTree                      0:00:24       0.0637    0.0140
        24   MinMaxScaler DecisionTree                      0:00:22       0.0174    0.0140
        25   StandardScalerWrapper DecisionTree             0:00:23       0.1004    0.0140
        26   StandardScalerWrapper DecisionTree             0:00:23       0.0975    0.0140
        27   MinMaxScaler DecisionTree                      0:00:22       0.0712    0.0140
        28   RobustScaler DecisionTree                      0:00:26       0.0393    0.0140
        29   StandardScalerWrapper DecisionTree             0:00:22       0.0157    0.0140
        30   StandardScalerWrapper DecisionTree             0:00:24       0.0318    0.0140
        31   StandardScalerWrapper DecisionTree             0:00:24       0.0795    0.0140
        32   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1067    0.0140
        33   StandardScalerWrapper DecisionTree             0:00:24       0.0952    0.0140
        34   MinMaxScaler DecisionTree                      0:00:26       0.0233    0.0140
        35   StandardScalerWrapper DecisionTree             0:00:24       0.0871    0.0140
        36   MinMaxScaler DecisionTree                      0:00:24       0.0590    0.0140
        37   StandardScalerWrapper DecisionTree             0:00:25       0.0289    0.0140
        38   StandardScalerWrapper DecisionTree             0:00:24       0.1096    0.0140
        39   MinMaxScaler DecisionTree                      0:00:23       0.0241    0.0140
        40   MinMaxScaler DecisionTree                      0:00:23       0.0300    0.0140
