Running on local machine
Parent Run ID: AutoML_2222d348-7b59-49a0-a939-2f7d1cdf5290

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0852    0.0852
         1   MinMaxScaler DecisionTree                      0:00:21       0.0455    0.0455
         2   StandardScalerWrapper LassoLars                0:00:30       0.0905    0.0455
         3   RobustScaler ElasticNet                        0:00:25       0.0889    0.0455
         4   StandardScalerWrapper LassoLars                0:00:32       0.0905    0.0455
         5   RobustScaler ElasticNet                        0:00:22       0.0903    0.0455
         6   RobustScaler DecisionTree                      0:00:23       0.0895    0.0455
         7   MinMaxScaler DecisionTree                      0:00:21       0.0216    0.0216
         8   RobustScaler DecisionTree                      0:00:21       0.0845    0.0216
         9   MinMaxScaler DecisionTree                      0:00:23       0.0144    0.0144
        10   StandardScalerWrapper DecisionTree             0:00:20       0.0680    0.0144
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0587    0.0144
        12   RobustScaler DecisionTree                      0:00:27       0.0391    0.0144
        13   RobustScaler ElasticNet                        0:00:21       0.1212    0.0144
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0746    0.0144
        15   MinMaxScaler DecisionTree                      0:00:21       0.0420    0.0144
        16   MinMaxScaler DecisionTree                      0:00:32       0.0647    0.0144
        17   RobustScaler DecisionTree                      0:00:27       0.0819    0.0144
        18   RobustScaler DecisionTree                      0:00:25       0.0742    0.0144
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0788    0.0144
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0335    0.0144
        21   MinMaxScaler DecisionTree                      0:00:21       0.0387    0.0144
        22   StandardScalerWrapper DecisionTree             0:00:21       0.1171    0.0144
        23   StandardScalerWrapper DecisionTree             0:00:21       0.0569    0.0144
        24   MinMaxScaler DecisionTree                      0:00:22       0.0856    0.0144
        25   StandardScalerWrapper DecisionTree             0:00:21       0.0830    0.0144
        26   MinMaxScaler DecisionTree                      0:00:20       0.0172    0.0144
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1214    0.0144
        28   StandardScalerWrapper DecisionTree             0:00:26       0.0446    0.0144
        29   StandardScalerWrapper DecisionTree             0:00:35       0.0708    0.0144
        30   RobustScaler DecisionTree                      0:00:22       0.1194    0.0144
        31   StandardScalerWrapper RandomForest             0:00:23       0.0900    0.0144
        32   MinMaxScaler DecisionTree                      0:00:21       0.0438    0.0144
        33   StandardScalerWrapper DecisionTree             0:00:22       0.0257    0.0144
        34   RobustScaler DecisionTree                      0:00:24       0.0179    0.0144
        35   StandardScalerWrapper DecisionTree             0:00:23       0.0500    0.0144
        36   RobustScaler DecisionTree                      0:00:26       0.0305    0.0144
        37   StandardScalerWrapper DecisionTree             0:00:22       0.0345    0.0144
        38   RobustScaler DecisionTree                      0:00:22       0.0137    0.0137
        39   MinMaxScaler DecisionTree                      0:00:26       0.0350    0.0137
        40   StandardScalerWrapper DecisionTree             0:00:21       0.0717    0.0137
        41   StandardScalerWrapper DecisionTree             0:00:22       0.0274    0.0137
        42   MinMaxScaler DecisionTree                      0:00:32       0.0930    0.0137
        43   MinMaxScaler DecisionTree                      0:00:22       0.0501    0.0137
        44   StandardScalerWrapper DecisionTree             0:00:21       0.0599    0.0137
        45   StandardScalerWrapper DecisionTree             0:00:21       0.0926    0.0137
        46   StandardScalerWrapper DecisionTree             0:00:22       0.0365    0.0137
        47   RobustScaler DecisionTree                      0:00:32       0.0421    0.0137
        48   StandardScalerWrapper DecisionTree             0:00:22       0.0182    0.0137
        49   MinMaxScaler DecisionTree                      0:00:22       0.0375    0.0137
        50   StandardScalerWrapper DecisionTree             0:00:21       0.0598    0.0137
        51   MinMaxScaler DecisionTree                      0:00:21       0.0223    0.0137
        52   MinMaxScaler DecisionTree                      0:00:21       0.0443    0.0137
        53   MinMaxScaler DecisionTree                      0:00:21       0.0485    0.0137
        54   RobustScaler DecisionTree                      0:00:20       0.0252    0.0137
        55   MinMaxScaler DecisionTree                      0:00:29       0.0148    0.0137
        56   RobustScaler DecisionTree                      0:00:21       0.0854    0.0137
        57   StandardScalerWrapper DecisionTree             0:00:17       0.0344    0.0137
        58   RobustScaler DecisionTree                      0:00:21       0.0159    0.0137
        59   StandardScalerWrapper DecisionTree             0:00:22       0.0671    0.0137
        60   MinMaxScaler DecisionTree                      0:00:22       0.1155    0.0137
        61   StandardScalerWrapper DecisionTree             0:00:21       0.0560    0.0137
        62   RobustScaler DecisionTree                      0:00:22       0.0455    0.0137
        63   MinMaxScaler DecisionTree                      0:00:21       0.1106    0.0137
        64   RobustScaler DecisionTree                      0:00:21       0.0223    0.0137
        65   StandardScalerWrapper DecisionTree             0:00:21       0.0437    0.0137
        66   StandardScalerWrapper DecisionTree             0:00:27       0.0415    0.0137
        67   StandardScalerWrapper DecisionTree             0:00:22       0.0629    0.0137
        68   StandardScalerWrapper DecisionTree             0:00:22       0.0455    0.0137
        69   StandardScalerWrapper DecisionTree             0:00:22       0.0195    0.0137
        70   MinMaxScaler DecisionTree                      0:00:29       0.1243    0.0137
        71   StandardScalerWrapper DecisionTree             0:00:22       0.0190    0.0137
        72   RobustScaler DecisionTree                      0:00:22       0.1048    0.0137
        73   MinMaxScaler DecisionTree                      0:00:21       0.0215    0.0137
        74   StandardScalerWrapper DecisionTree             0:00:24       0.0527    0.0137
        75   MinMaxScaler DecisionTree                      0:00:22       0.0775    0.0137
        76   RobustScaler DecisionTree                      0:00:21       0.0146    0.0137
        77   MinMaxScaler DecisionTree                      0:00:22       0.0377    0.0137
        78   StandardScalerWrapper DecisionTree             0:00:34       0.0313    0.0137
        79   StandardScalerWrapper DecisionTree             0:00:34       0.0926    0.0137
        80   StandardScalerWrapper DecisionTree             0:00:26       0.0627    0.0137
