Running on local machine
Parent Run ID: AutoML_eafda72b-6bdf-499f-8c36-1e05629f4cb1

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:03:14       0.0696    0.0696
         1   MinMaxScaler DecisionTree                      0:00:22       0.0640    0.0640
         2   StandardScalerWrapper LassoLars                0:00:25       0.0905    0.0640
         3   RobustScaler ElasticNet                        0:00:38       0.0889    0.0640
         4   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0640
         5   RobustScaler ElasticNet                        0:00:24       0.0903    0.0640
         6   RobustScaler DecisionTree                      0:00:18       0.0356    0.0356
         7   MinMaxScaler DecisionTree                      0:00:22       0.0161    0.0161
         8   RobustScaler DecisionTree                      0:00:29       0.1226    0.0161
         9   MinMaxScaler DecisionTree                      0:00:25       0.0686    0.0161
        10   StandardScalerWrapper DecisionTree             0:00:26       0.1059    0.0161
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0296    0.0161
        12   RobustScaler DecisionTree                      0:00:22       0.0600    0.0161
        13   RobustScaler ElasticNet                        0:00:24       0.1212    0.0161
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0472    0.0161
        15   MinMaxScaler DecisionTree                      0:00:23       0.0528    0.0161
        16   MinMaxScaler DecisionTree                      0:00:22       0.0853    0.0161
        17   RobustScaler DecisionTree                      0:00:18       0.0373    0.0161
        18   RobustScaler DecisionTree                      0:00:22       0.0758    0.0161
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0291    0.0161
        20   StandardScalerWrapper DecisionTree             0:00:25       0.0258    0.0161
        21   MinMaxScaler DecisionTree                      0:00:23       0.0677    0.0161
        22   StandardScalerWrapper DecisionTree             0:00:23       0.1117    0.0161
        23   MinMaxScaler DecisionTree                      0:00:22       0.0360    0.0161
        24   StandardScalerWrapper RandomForest             0:00:24       0.0873    0.0161
        25   StandardScalerWrapper DecisionTree             0:00:22       0.1051    0.0161
        26   MinMaxScaler DecisionTree                      0:00:22       0.0177    0.0161
        27   RobustScaler DecisionTree                      0:00:23       0.0200    0.0161
        28   MinMaxScaler DecisionTree                      0:00:22       0.0732    0.0161
        29   StandardScalerWrapper DecisionTree             0:00:23       0.0303    0.0161
        30   StandardScalerWrapper DecisionTree             0:00:23       0.1060    0.0161
        31   MinMaxScaler DecisionTree                      0:00:23       0.0231    0.0161
        32   StandardScalerWrapper DecisionTree             0:00:23       0.0920    0.0161
        33   StandardScalerWrapper DecisionTree             0:00:23       0.0159    0.0159
        34   MinMaxScaler DecisionTree                      0:00:23       0.0739    0.0159
        35   StandardScalerWrapper DecisionTree             0:00:22       0.0412    0.0159
        36   RobustScaler RandomForest                      0:00:25       0.0243    0.0159
        37   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_eafda72b-6bdf-499f-8c36-1e05629f4cb1_37/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=GQty6w%2ByqJXGmn32rCkmgUNCxa%2FTrMfiXVBl4SiZJI4%3D&st=2020-09-03T16%3A53%3A59Z&se=2020-09-04T17%3A03%3A59Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper RandomForest             0:03:04       0.0988    0.0159
