Running on local machine
Parent Run ID: AutoML_fb86160a-1b3a-41bc-8e0f-6e671563ab02

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:41       0.1030    0.1030
         1   MinMaxScaler DecisionTree                      0:00:21       0.0787    0.0787
         2   StandardScalerWrapper LassoLars                0:00:21       0.0905    0.0787
         3   RobustScaler ElasticNet                        0:00:20       0.0889    0.0787
         4   StandardScalerWrapper LassoLars                0:00:22       0.0905    0.0787
         5   RobustScaler ElasticNet                        0:00:22       0.0903    0.0787
         6   RobustScaler DecisionTree                      0:00:22       0.0662    0.0662
         7   MinMaxScaler DecisionTree                      0:00:24       0.0133    0.0133
         8   RobustScaler DecisionTree                      0:00:21       0.1122    0.0133
         9   MinMaxScaler DecisionTree                      0:00:22       0.0558    0.0133
        10   StandardScalerWrapper DecisionTree             0:00:16       0.0328    0.0133
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0480    0.0133
        12   RobustScaler DecisionTree                      0:00:22       0.0268    0.0133
        13   RobustScaler ElasticNet                        0:00:22       0.1212    0.0133
        14   StandardScalerWrapper DecisionTree             0:00:20       0.0501    0.0133
        15   MinMaxScaler DecisionTree                      0:00:22       0.0343    0.0133
        16   MinMaxScaler DecisionTree                      0:00:21       0.0505    0.0133
        17   RobustScaler DecisionTree                      0:00:21       0.0848    0.0133
        18   RobustScaler DecisionTree                      0:00:20       0.1033    0.0133
        19   StandardScalerWrapper DecisionTree             0:00:20       0.0570    0.0133
        20   StandardScalerWrapper DecisionTree             0:00:21       0.0458    0.0133
        21   MinMaxScaler DecisionTree                      0:00:17       0.0345    0.0133
        22   StandardScalerWrapper DecisionTree             0:00:23       0.0848    0.0133
        23   MinMaxScaler DecisionTree                      0:00:21       0.0312    0.0133
        24   StandardScalerWrapper DecisionTree             0:00:21       0.0872    0.0133
        25   StandardScalerWrapper DecisionTree             0:00:21       0.0830    0.0133
        26   MinMaxScaler DecisionTree                      0:00:23       0.0381    0.0133
        27   RobustScaler DecisionTree                      0:00:24       0.0122    0.0122
        28   RobustScaler DecisionTree                      0:00:23       0.0220    0.0122
        29   StandardScalerWrapper DecisionTree             0:00:23       0.0446    0.0122
        30   StandardScalerWrapper DecisionTree             0:00:18       0.0851    0.0122
        31   RobustScaler DecisionTree                      0:00:22       0.0225    0.0122
        32   StandardScalerWrapper DecisionTree             0:00:22       0.0583    0.0122
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1090    0.0122
        34   StandardScalerWrapper DecisionTree             0:00:23       0.0174    0.0122
        35   StandardScalerWrapper DecisionTree             0:00:21       0.1048    0.0122
        36   MinMaxScaler DecisionTree                      0:00:21       0.0764    0.0122
        37   RobustScaler DecisionTree                      0:00:22       0.0651    0.0122
        38   StandardScalerWrapper DecisionTree             0:00:22       0.0501    0.0122
        39   StandardScalerWrapper DecisionTree             0:00:21       0.0941    0.0122
        40   StandardScalerWrapper DecisionTree             0:00:22       0.0633    0.0122
        41   MinMaxScaler DecisionTree                      0:00:21       0.0296    0.0122
        42   RobustScaler DecisionTree                      0:00:22       0.0149    0.0122
        43   RobustScaler DecisionTree                      0:00:21       0.0966    0.0122
        44   RobustScaler DecisionTree                      0:00:22       0.0300    0.0122
        45   StandardScalerWrapper DecisionTree             0:00:24       0.0438    0.0122
        46   StandardScalerWrapper DecisionTree             0:00:23       0.0658    0.0122
        47   MinMaxScaler DecisionTree                      0:00:22       0.1043    0.0122
        48   RobustScaler ExtremeRandomTrees                0:00:34       0.1215    0.0122
        49   MinMaxScaler DecisionTree                      0:00:21       0.0324    0.0122
