WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_cac5bd18-5cf9-4ccb-a355-36f877f5a987

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1124    0.1124
         1   MinMaxScaler DecisionTree                      0:00:20       0.1111    0.1111
         2   StandardScalerWrapper LassoLars                0:00:21       0.1361    0.1111
         3   RobustScaler ElasticNet                        0:00:22       0.1367    0.1111
         4   StandardScalerWrapper LassoLars                0:00:23       0.1361    0.1111
         5   RobustScaler ElasticNet                        0:00:22       0.1361    0.1111
         6   RobustScaler DecisionTree                      0:00:16       0.1125    0.1111
         7   MinMaxScaler DecisionTree                      0:00:22       0.1087    0.1087
         8   RobustScaler DecisionTree                      0:00:21       0.1220    0.1087
         9   MinMaxScaler DecisionTree                      0:00:22       0.1091    0.1087
        10   StandardScalerWrapper DecisionTree             0:00:21       0.1087    0.1087
        11   StandardScalerWrapper DecisionTree             0:00:21       0.1086    0.1086
        12   RobustScaler DecisionTree                      0:00:23       0.1072    0.1072
        13   RobustScaler ElasticNet                        0:00:21       0.1362    0.1072
        14   StandardScalerWrapper DecisionTree             0:00:21       0.1088    0.1072
        15   MinMaxScaler DecisionTree                      0:00:24       0.1076    0.1072
        16   MinMaxScaler DecisionTree                      0:00:22       0.1083    0.1072
        17   RobustScaler DecisionTree                      0:00:23       0.1081    0.1072
        18   RobustScaler DecisionTree                      0:00:22       0.1126    0.1072
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1092    0.1072
        20   StandardScalerWrapper DecisionTree             0:00:22       0.1085    0.1072
        21   MinMaxScaler DecisionTree                      0:00:21       0.1055    0.1055
        22   MinMaxScaler DecisionTree                      0:00:22       0.1065    0.1055
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1170    0.1055
        24   MinMaxScaler LightGBM                          0:00:22       0.1167    0.1055
        25   RobustScaler DecisionTree                      0:00:21       0.1238    0.1055
        26   MinMaxScaler DecisionTree                      0:00:17       0.1103    0.1055
        27   StandardScalerWrapper RandomForest             0:00:24       0.1205    0.1055
        28   StandardScalerWrapper RandomForest             0:00:23       0.1107    0.1055
        29   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1130    0.1055
        30   RobustScaler DecisionTree                      0:00:21       0.1214    0.1055
