WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_19ba5889-924e-4fff-8fa9-d061ead979c0

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:18       0.1122    0.1122
         1   MinMaxScaler DecisionTree                      0:00:23       0.1109    0.1109
         2   StandardScalerWrapper LassoLars                0:00:22       0.1361    0.1109
         3   RobustScaler ElasticNet                        0:00:22       0.1367    0.1109
         4   StandardScalerWrapper LassoLars                0:00:23       0.1361    0.1109
         5   RobustScaler ElasticNet                        0:00:23       0.1361    0.1109
         6   RobustScaler DecisionTree                      0:00:22       0.1141    0.1109
         7   MinMaxScaler DecisionTree                      0:00:23       0.1104    0.1104
         8   RobustScaler DecisionTree                      0:00:22       0.1215    0.1104
         9   MinMaxScaler DecisionTree                      0:00:23       0.1107    0.1104
        10   StandardScalerWrapper DecisionTree             0:00:23       0.1073    0.1073
        11   StandardScalerWrapper DecisionTree             0:00:22       0.1082    0.1073
        12   RobustScaler DecisionTree                      0:00:22       0.1064    0.1064
        13   RobustScaler ElasticNet                        0:00:22       0.1362    0.1064
        14   StandardScalerWrapper DecisionTree             0:00:25       0.1094    0.1064
        15   MinMaxScaler DecisionTree                      0:00:22       0.1056    0.1056
        16   MinMaxScaler DecisionTree                      0:00:22       0.1088    0.1056
        17   RobustScaler DecisionTree                      0:00:23       0.1080    0.1056
        18   RobustScaler DecisionTree                      0:00:22       0.1138    0.1056
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1086    0.1056
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1080    0.1056
        21   MinMaxScaler DecisionTree                      0:00:18       0.1061    0.1056
        22   MinMaxScaler DecisionTree                      0:00:23       0.1061    0.1056
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1166    0.1056
        24   MinMaxScaler LightGBM                          0:00:23       0.1167    0.1056
        25   RobustScaler DecisionTree                      0:00:24       0.1267    0.1056
        26   MinMaxScaler DecisionTree                      0:00:23       0.1110    0.1056
        27   StandardScalerWrapper RandomForest             0:00:25       0.1209    0.1056
        28   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1133    0.1056
        29   StandardScalerWrapper RandomForest             0:00:22       0.1108    0.1056
        30   RobustScaler DecisionTree                      0:00:29       0.1203    0.1056
