Running on local machine
Parent Run ID: AutoML_1bcd3be6-39d6-4b4f-8c7c-de14754a803c

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:24       0.0937    0.0937
         1   MinMaxScaler DecisionTree                      0:00:23       0.1336    0.0937
         2   StandardScalerWrapper LassoLars                0:00:24       0.1180    0.0937
         3   RobustScaler ElasticNet                        0:00:23       0.1153    0.0937
         4   StandardScalerWrapper LassoLars                0:00:22       0.1179    0.0937
         5   RobustScaler ElasticNet                        0:00:23       0.1164    0.0937
         6   RobustScaler DecisionTree                      0:00:23       0.1023    0.0937
         7   MinMaxScaler DecisionTree                      0:00:24       0.0624    0.0624
         8   RobustScaler DecisionTree                      0:00:24       0.1072    0.0624
         9   MinMaxScaler DecisionTree                      0:00:23       0.0958    0.0624
        10   StandardScalerWrapper DecisionTree             0:00:23       0.1140    0.0624
        11   StandardScalerWrapper DecisionTree             0:00:23       0.1047    0.0624
        12   RobustScaler DecisionTree                      0:00:23       0.0913    0.0624
        13   RobustScaler ElasticNet                        0:00:22       0.1355    0.0624
        14   StandardScalerWrapper DecisionTree             0:00:23       0.1058    0.0624
        15   MinMaxScaler DecisionTree                      0:00:22       0.1004    0.0624
        16   MinMaxScaler DecisionTree                      0:00:22       0.0884    0.0624
        17   RobustScaler DecisionTree                      0:00:22       0.1138    0.0624
        18   RobustScaler DecisionTree                      0:00:22       0.1051    0.0624
        19   StandardScalerWrapper DecisionTree             0:00:23       0.0914    0.0624
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1296    0.0624
        21   StandardScalerWrapper DecisionTree             0:00:25       0.0822    0.0624
        22   MinMaxScaler DecisionTree                      0:00:23       0.0984    0.0624
        23   MinMaxScaler DecisionTree                      0:00:23       0.1374    0.0624
        24   MinMaxScaler DecisionTree                      0:00:22       0.0781    0.0624
        25   RobustScaler DecisionTree                      0:00:24       0.1382    0.0624
        26   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1366    0.0624
        27   StandardScalerWrapper DecisionTree             0:00:26       0.1241    0.0624
        28   StandardScalerWrapper DecisionTree             0:00:25       0.0896    0.0624
        29   MinMaxScaler DecisionTree                      0:00:23       0.0988    0.0624
