Running on local machine
Parent Run ID: AutoML_e315209e-7552-47a4-9e3b-74803e3d4d67

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.0871    0.0871
         1   MinMaxScaler DecisionTree                      0:00:22       0.1361    0.0871
         2   StandardScalerWrapper LassoLars                0:00:22       0.1180    0.0871
         3   RobustScaler ElasticNet                        0:00:24       0.1153    0.0871
         4   StandardScalerWrapper LassoLars                0:00:25       0.1179    0.0871
         5   RobustScaler ElasticNet                        0:00:24       0.1164    0.0871
         6   RobustScaler DecisionTree                      0:00:22       0.1171    0.0871
         7   MinMaxScaler DecisionTree                      0:00:23       0.0771    0.0771
         8   RobustScaler DecisionTree                      0:00:22       0.1158    0.0771
         9   MinMaxScaler DecisionTree                      0:00:25       0.1067    0.0771
        10   StandardScalerWrapper DecisionTree             0:00:24       0.0971    0.0771
        11   StandardScalerWrapper DecisionTree             0:00:18       0.1058    0.0771
        12   RobustScaler DecisionTree                      0:00:22       0.0835    0.0771
        13   RobustScaler ElasticNet                        0:00:23       0.1355    0.0771
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1034    0.0771
        15   MinMaxScaler DecisionTree                      0:00:22       0.0873    0.0771
        16   MinMaxScaler DecisionTree                      0:00:23       0.0991    0.0771
        17   RobustScaler DecisionTree                      0:00:24       0.1059    0.0771
        18   RobustScaler DecisionTree                      0:00:22       0.1283    0.0771
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1115    0.0771
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0809    0.0771
        21   StandardScalerWrapper DecisionTree             0:00:23       0.1212    0.0771
        22   MinMaxScaler DecisionTree                      0:00:24       0.1008    0.0771
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1374    0.0771
        24   StandardScalerWrapper DecisionTree             0:00:22       0.0950    0.0771
        25   RobustScaler DecisionTree                      0:00:23       0.1500    0.0771
        26   MinMaxScaler DecisionTree                      0:00:23       0.1064    0.0771
        27   MinMaxScaler DecisionTree                      0:00:22       0.0778    0.0771
        28   StandardScalerWrapper DecisionTree             0:00:22       0.0849    0.0771
        29   MinMaxScaler DecisionTree                      0:00:23       0.0990    0.0771
        30   StandardScalerWrapper DecisionTree             0:00:23       0.1110    0.0771
        31   RobustScaler DecisionTree                      0:00:23       0.0734    0.0734
