Running on local machine
Parent Run ID: AutoML_9e496f54-2ab7-46c8-8796-321425b81122

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:17       0.1098    0.1098
         1   MinMaxScaler DecisionTree                      0:00:22       0.1305    0.1098
         2   StandardScalerWrapper LassoLars                0:00:22       0.1180    0.1098
         3   RobustScaler ElasticNet                        0:00:21       0.1153    0.1098
         4   StandardScalerWrapper LassoLars                0:00:21       0.1179    0.1098
         5   RobustScaler ElasticNet                        0:00:22       0.1164    0.1098
         6   RobustScaler DecisionTree                      0:00:21       0.1102    0.1098
         7   MinMaxScaler DecisionTree                      0:00:21       0.0798    0.0798
         8   RobustScaler DecisionTree                      0:00:21       0.1181    0.0798
         9   MinMaxScaler DecisionTree                      0:00:21       0.0872    0.0798
        10   StandardScalerWrapper DecisionTree             0:00:22       0.1046    0.0798
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0974    0.0798
        12   RobustScaler DecisionTree                      0:00:21       0.0812    0.0798
        13   RobustScaler ElasticNet                        0:00:21       0.1355    0.0798
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0983    0.0798
        15   MinMaxScaler DecisionTree                      0:00:22       0.1022    0.0798
        16   MinMaxScaler DecisionTree                      0:00:23       0.1196    0.0798
        17   RobustScaler DecisionTree                      0:00:22       0.1230    0.0798
        18   RobustScaler DecisionTree                      0:00:21       0.1291    0.0798
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0870    0.0798
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1029    0.0798
        21   StandardScalerWrapper DecisionTree             0:00:17       0.1181    0.0798
        22   MinMaxScaler DecisionTree                      0:00:22       0.0992    0.0798
        23   MinMaxScaler DecisionTree                      0:00:23       0.1125    0.0798
        24   StandardScalerWrapper DecisionTree             0:00:22       0.0948    0.0798
        25   RobustScaler DecisionTree                      0:00:22       0.1418    0.0798
        26   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1328    0.0798
        27   MinMaxScaler DecisionTree                      0:00:22       0.0724    0.0724
        28   MinMaxScaler DecisionTree                      0:00:22       0.0978    0.0724
        29   StandardScalerWrapper DecisionTree             0:00:22       0.0857    0.0724
        30   StandardScalerWrapper DecisionTree             0:00:21       0.1272    0.0724
        31   StandardScalerWrapper RandomForest             0:00:23       0.1162    0.0724
        32   MinMaxScaler DecisionTree                      0:00:22       0.0927    0.0724
        33   MinMaxScaler LightGBM                          0:00:22       0.1243    0.0724
        34   MinMaxScaler RandomForest                      0:00:42       0.1295    0.0724
        35   RobustScaler DecisionTree                      0:00:24       0.1261    0.0724
        36   StandardScalerWrapper DecisionTree             0:00:23       0.0817    0.0724
        37   RobustScaler DecisionTree                      0:00:23       0.0742    0.0724
        38   RobustScaler DecisionTree                      0:00:22       0.0851    0.0724
        39   StandardScalerWrapper DecisionTree             0:00:22       0.0854    0.0724
        40   StandardScalerWrapper DecisionTree             0:00:22       0.1282    0.0724
        41   StandardScalerWrapper RandomForest             0:00:23       0.1366    0.0724
        42   RobustScaler DecisionTree                      0:00:22       0.0677    0.0677
        43   MinMaxScaler DecisionTree                      0:00:22       0.1001    0.0677
        44   RobustScaler ExtremeRandomTrees                0:00:18       0.1408    0.0677
        45   StandardScalerWrapper DecisionTree             0:00:22       0.0891    0.0677
        46   RobustScaler DecisionTree                      0:00:22       0.0731    0.0677
        47   MinMaxScaler DecisionTree                      0:00:22       0.0904    0.0677
        48   StandardScalerWrapper DecisionTree             0:00:22       0.0715    0.0677
        49   RobustScaler DecisionTree                      0:00:22       0.0744    0.0677
        50   StandardScalerWrapper DecisionTree             0:00:22       0.1391    0.0677
        51   StandardScalerWrapper ElasticNet               0:00:23       0.1165    0.0677
