Running on local machine
Parent Run ID: AutoML_de931900-9140-4d41-906c-37b838896339

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:24       0.0919    0.0919
         1   MinMaxScaler DecisionTree                      0:00:23       0.1282    0.0919
         2   StandardScalerWrapper LassoLars                0:00:22       0.1180    0.0919
         3   RobustScaler ElasticNet                        0:00:22       0.1153    0.0919
         4   StandardScalerWrapper LassoLars                0:00:22       0.1179    0.0919
         5   RobustScaler ElasticNet                        0:00:26       0.1164    0.0919
         6   RobustScaler DecisionTree                      0:00:25       0.0858    0.0858
         7   MinMaxScaler DecisionTree                      0:00:25       0.0784    0.0784
         8   RobustScaler DecisionTree                      0:00:23       0.1154    0.0784
         9   MinMaxScaler DecisionTree                      0:00:22       0.1302    0.0784
        10   StandardScalerWrapper DecisionTree             0:00:23       0.0976    0.0784
        11   StandardScalerWrapper DecisionTree             0:00:24       0.0840    0.0784
        12   RobustScaler DecisionTree                      0:00:24       0.0971    0.0784
        13   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_de931900-9140-4d41-906c-37b838896339_13/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=BRSj3VIEzFhnqfBu8HNl3T0aB9MuX9%2Bv%2F8phMyQ4L4o%3D&st=2020-09-09T12%3A44%3A28Z&se=2020-09-10T12%3A54%3A28Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ElasticNet                        0:03:06       0.1355    0.0784
        14   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_de931900-9140-4d41-906c-37b838896339_14/outputs/pipeline_graph.json?sv=2019-02-02&sr=b&sig=%2BbPu517AiK0Q%2BWGIIAAIYme4%2BVe2r7BenW27hPV2oCU%3D&st=2020-09-09T12%3A47%3A34Z&se=2020-09-10T12%3A57%3A34Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper DecisionTree             0:00:25       0.0886    0.0784
        15   MinMaxScaler DecisionTree                      0:00:25       0.0769    0.0769
        16   MinMaxScaler DecisionTree                      0:00:24       0.0931    0.0769
        17   RobustScaler DecisionTree                      0:00:23       0.0931    0.0769
        18   RobustScaler DecisionTree                      0:00:22       0.1070    0.0769
        19   StandardScalerWrapper DecisionTree             0:00:23       0.1082    0.0769
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1055    0.0769
        21   StandardScalerWrapper DecisionTree             0:00:23       0.1261    0.0769
        22   MinMaxScaler DecisionTree                      0:00:23       0.0749    0.0749
        23   MinMaxScaler DecisionTree                      0:00:23       0.0762    0.0749
        24   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1317    0.0749
        25   StandardScalerWrapper DecisionTree             0:00:24       0.1250    0.0749
        26   StandardScalerWrapper DecisionTree             0:00:23       0.1097    0.0749
        27   MinMaxScaler DecisionTree                      0:00:43       0.1033    0.0749
        28   StandardScalerWrapper DecisionTree             0:00:23       0.0816    0.0749
        29   StandardScalerWrapper DecisionTree             0:00:23       0.0903    0.0749
        30   RobustScaler DecisionTree                      0:00:23       0.1422    0.0749
        31   MinMaxScaler DecisionTree                      0:00:23       0.1216    0.0749
        32   MinMaxScaler LightGBM                          0:00:23       0.1243    0.0749
        33   StandardScalerWrapper RandomForest             0:00:27       0.1124    0.0749
        34   MinMaxScaler RandomForest                      0:00:31       0.1294    0.0749
        35   StandardScalerWrapper DecisionTree             0:00:23       0.1312    0.0749
        36   StandardScalerWrapper DecisionTree             0:00:23       0.0928    0.0749
        37   RobustScaler ExtremeRandomTrees                0:00:25       0.1322    0.0749
        38   MinMaxScaler DecisionTree                      0:00:23       0.1152    0.0749
        39   MinMaxScaler DecisionTree                      0:00:22       0.1121    0.0749
        40   StandardScalerWrapper DecisionTree             0:00:25       0.1289    0.0749
        41   RobustScaler DecisionTree                      0:00:23       0.0717    0.0717
        42   StandardScalerWrapper DecisionTree             0:00:23       0.0790    0.0717
        43   RobustScaler DecisionTree                      0:00:23       0.0797    0.0717
        44   StandardScalerWrapper DecisionTree             0:00:18       0.0859    0.0717
        45   StandardScalerWrapper DecisionTree             0:00:24       0.0993    0.0717
        46   StandardScalerWrapper RandomForest             0:00:26       0.1358    0.0717
        47   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1320    0.0717
        48   RobustScaler RandomForest                      0:00:25       0.1360    0.0717
        49   MinMaxScaler DecisionTree                      0:00:23       0.0887    0.0717
        50   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_de931900-9140-4d41-906c-37b838896339_50/outputs/model.pkl?sv=2019-02-02&sr=b&sig=Fbs1xpayoWarX03kGDN%2FoMAscBiduuZReUqquCAM%2BFQ%3D&st=2020-09-09T13%3A02%3A28Z&se=2020-09-10T13%3A12%3A28Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_de931900-9140-4d41-906c-37b838896339_50/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=LiRTzkh64JIXJqjR7m0YLTQ0VvwQ%2FCxRFrmVoJbby7M%3D&st=2020-09-09T13%3A02%3A28Z&se=2020-09-10T13%3A12%3A28Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler DecisionTree                      0:03:07       0.1242    0.0717
        51   MinMaxScaler RandomForest                      0:00:28       0.0858    0.0717
        52   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1407    0.0717
        53   RobustScaler ExtremeRandomTrees                0:00:26       0.1141    0.0717
        54   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1418    0.0717
        55   StandardScalerWrapper DecisionTree             0:00:23       0.1200    0.0717
        56   MinMaxScaler ExtremeRandomTrees                0:00:29       0.1471    0.0717
        57   RobustScaler ExtremeRandomTrees                0:00:26       0.1447    0.0717
        58   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1390    0.0717
        59   MinMaxScaler ExtremeRandomTrees                0:00:29       0.1183    0.0717
        60   RobustScaler DecisionTree                      0:00:23       0.1472    0.0717
        61   RobustScaler RandomForest                      0:00:25       0.1204    0.0717
        62   RobustScaler RandomForest                      0:00:25       0.0793    0.0717
        63   RobustScaler RandomForest                      0:00:26       0.0943    0.0717
        64   StandardScalerWrapper DecisionTree             0:00:23       0.0945    0.0717
        65   StandardScalerWrapper DecisionTree             0:00:23       0.0866    0.0717
        66   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1322    0.0717
        67   MinMaxScaler RandomForest                      0:00:25       0.1140    0.0717
        68   StandardScalerWrapper RandomForest             0:00:26       0.0944    0.0717
        69   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.1279    0.0717
        70   RobustScaler DecisionTree                      0:00:19       0.1383    0.0717
        71   RobustScaler DecisionTree                      0:00:24       0.1287    0.0717
        72   RobustScaler RandomForest                      0:00:26       0.1061    0.0717
        73   MinMaxScaler ExtremeRandomTrees                0:00:29       0.1342    0.0717
        74   RobustScaler ExtremeRandomTrees                0:00:29       0.1355    0.0717
        75   StandardScalerWrapper DecisionTree             0:00:24       0.1482    0.0717
        76   RobustScaler RandomForest                      0:00:26       0.1263    0.0717
        77   RobustScaler DecisionTree                      0:00:24       0.0706    0.0706
        78   StandardScalerWrapper RandomForest             0:00:20       0.1209    0.0706
        79   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1437    0.0706
        80   MinMaxScaler DecisionTree                      0:00:23       0.1179    0.0706
        81   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1224    0.0706
        82   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1038    0.0706
        83   RobustScaler ExtremeRandomTrees                0:00:24       0.1256    0.0706
        84   StandardScalerWrapper RandomForest             0:00:25       0.1245    0.0706
        85   StandardScalerWrapper DecisionTree             0:00:24       0.1376    0.0706
        86   MinMaxScaler RandomForest                      0:00:19       0.1120    0.0706
        87   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1270    0.0706
        88   RobustScaler ExtremeRandomTrees                0:00:25       0.1395    0.0706
        89   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1311    0.0706
        90   MinMaxScaler DecisionTree                      0:00:23       0.1219    0.0706
        91   StandardScalerWrapper RandomForest             0:00:25       0.1217    0.0706
        92   MinMaxScaler RandomForest                      0:00:25       0.1198    0.0706
        93   RobustScaler ExtremeRandomTrees                0:00:26       0.1312    0.0706
        94   RobustScaler RandomForest                      0:00:25       0.0907    0.0706
        95   StandardScalerWrapper DecisionTree             0:00:23       0.0836    0.0706
        96   StandardScalerWrapper RandomForest             0:00:24       0.1357    0.0706
        97   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1387    0.0706
        98   MinMaxScaler RandomForest                      0:00:25       0.1184    0.0706
        99   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1370    0.0706
       100   RobustScaler DecisionTree                      0:00:23       0.1131    0.0706
       101   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1368    0.0706
       102   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1240    0.0706
       103   RobustScaler RandomForest                      0:00:25       0.0951    0.0706
       104   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1238    0.0706
       105   MinMaxScaler DecisionTree                      0:00:23       0.1252    0.0706
