Running on local machine
Parent Run ID: AutoML_0ce73504-b8e1-4b5c-a6de-b95d7356224a

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.1090    0.1090
         1   MinMaxScaler DecisionTree                      0:00:21       0.1291    0.1090
         2   StandardScalerWrapper LassoLars                0:00:22       0.1180    0.1090
         3   RobustScaler ElasticNet                        0:00:21       0.1153    0.1090
         4   StandardScalerWrapper LassoLars                0:00:21       0.1179    0.1090
         5   RobustScaler ElasticNet                        0:00:22       0.1164    0.1090
         6   RobustScaler DecisionTree                      0:00:17       0.0879    0.0879
         7   MinMaxScaler DecisionTree                      0:00:23       0.0664    0.0664
         8   RobustScaler DecisionTree                      0:00:22       0.1162    0.0664
         9   MinMaxScaler DecisionTree                      0:00:21       0.1143    0.0664
        10   StandardScalerWrapper DecisionTree             0:00:21       0.1006    0.0664
        11   StandardScalerWrapper DecisionTree             0:00:22       0.1107    0.0664
        12   RobustScaler DecisionTree                      0:00:22       0.0763    0.0664
        13   RobustScaler ElasticNet                        0:00:21       0.1355    0.0664
        14   StandardScalerWrapper DecisionTree             0:00:21       0.1030    0.0664
        15   MinMaxScaler DecisionTree                      0:00:21       0.0771    0.0664
        16   MinMaxScaler DecisionTree                      0:00:22       0.1020    0.0664
        17   RobustScaler DecisionTree                      0:00:21       0.1177    0.0664
        18   RobustScaler DecisionTree                      0:00:16       0.1142    0.0664
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1082    0.0664
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0795    0.0664
        21   StandardScalerWrapper DecisionTree             0:00:22       0.1045    0.0664
        22   MinMaxScaler DecisionTree                      0:00:23       0.1075    0.0664
        23   MinMaxScaler DecisionTree                      0:00:22       0.0803    0.0664
        24   StandardScalerWrapper DecisionTree             0:00:22       0.1125    0.0664
        25   RobustScaler DecisionTree                      0:00:22       0.1409    0.0664
        26   MinMaxScaler DecisionTree                      0:00:22       0.1168    0.0664
        27   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1342    0.0664
        28   MinMaxScaler DecisionTree                      0:00:22       0.0998    0.0664
        29   StandardScalerWrapper DecisionTree             0:00:22       0.1084    0.0664
