Running on local machine
Parent Run ID: AutoML_7d97a78e-ca26-4cc3-a268-58a6f887c8a2

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:52       0.0892    0.0892
         1   MinMaxScaler DecisionTree                      0:00:22       0.0845    0.0845
         2   StandardScalerWrapper LassoLars                0:00:22       0.1089    0.0845
         3   RobustScaler ElasticNet                        0:00:22       0.1064    0.0845
         4   StandardScalerWrapper LassoLars                0:00:16       0.1089    0.0845
         5   RobustScaler ElasticNet                        0:00:24       0.1076    0.0845
         6   RobustScaler DecisionTree                      0:00:27       0.1041    0.0845
         7   MinMaxScaler DecisionTree                      0:00:22       0.0535    0.0535
         8   RobustScaler DecisionTree                      0:00:16       0.0960    0.0535
         9   MinMaxScaler DecisionTree                      0:00:21       0.0986    0.0535
        10   StandardScalerWrapper DecisionTree             0:00:23       0.1143    0.0535
        11   StandardScalerWrapper DecisionTree             0:00:22       0.1014    0.0535
        12   RobustScaler DecisionTree                      0:00:21       0.0753    0.0535
        13   RobustScaler ElasticNet                        0:00:21       0.1300    0.0535
        14   StandardScalerWrapper DecisionTree             0:00:27       0.0721    0.0535
        15   MinMaxScaler DecisionTree                      0:00:21       0.0657    0.0535
        16   MinMaxScaler DecisionTree                      0:00:21       0.0892    0.0535
        17   RobustScaler DecisionTree                      0:00:16       0.0852    0.0535
        18   RobustScaler DecisionTree                      0:00:21       0.1198    0.0535
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0904    0.0535
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0788    0.0535
        21   StandardScalerWrapper DecisionTree             0:00:23       0.1025    0.0535
        22   MinMaxScaler DecisionTree                      0:00:22       0.0649    0.0535
        23   StandardScalerWrapper DecisionTree             0:00:16       0.1193    0.0535
        24   MinMaxScaler DecisionTree                      0:00:21       0.0674    0.0535
        25   RobustScaler DecisionTree                      0:00:25       0.1473    0.0535
        26   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1337    0.0535
        27   MinMaxScaler DecisionTree                      0:00:22       0.1288    0.0535
        28   StandardScalerWrapper DecisionTree             0:00:22       0.0901    0.0535
        29   StandardScalerWrapper DecisionTree             0:00:24       0.0697    0.0535
