Running on local machine
Parent Run ID: AutoML_9104126c-853e-4c80-815d-95fbaa71ae9f

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:25       0.1096    0.1096
         1   MinMaxScaler DecisionTree                      0:00:23       0.1041    0.1041
         2   StandardScalerWrapper LassoLars                0:00:28       0.1180    0.1041
         3   RobustScaler ElasticNet                        0:00:22       0.1153    0.1041
         4   StandardScalerWrapper LassoLars                0:00:21       0.1179    0.1041
         5   RobustScaler ElasticNet                        0:00:23       0.1164    0.1041
         6   RobustScaler DecisionTree                      0:00:23       0.1084    0.1041
         7   MinMaxScaler DecisionTree                      0:00:22       0.0788    0.0788
         8   RobustScaler DecisionTree                      0:00:23       0.1054    0.0788
         9   MinMaxScaler DecisionTree                      0:00:24       0.0891    0.0788
        10   StandardScalerWrapper DecisionTree             0:00:28       0.1221    0.0788
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0942    0.0788
        12   RobustScaler DecisionTree                      0:00:22       0.0866    0.0788
        13   RobustScaler ElasticNet                        0:00:22       0.1355    0.0788
        14   StandardScalerWrapper DecisionTree             0:00:26       0.1000    0.0788
        15   MinMaxScaler DecisionTree                      0:00:23       0.0962    0.0788
        16   MinMaxScaler DecisionTree                      0:00:24       0.1069    0.0788
        17   RobustScaler DecisionTree                      0:00:22       0.1087    0.0788
        18   RobustScaler DecisionTree                      0:00:22       0.1073    0.0788
        19   StandardScalerWrapper DecisionTree             0:00:24       0.1030    0.0788
        20   StandardScalerWrapper DecisionTree             0:00:22       0.1332    0.0788
        21   StandardScalerWrapper DecisionTree             0:00:22       0.0832    0.0788
        22   MinMaxScaler DecisionTree                      0:00:22       0.0875    0.0788
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1381    0.0788
        24   StandardScalerWrapper DecisionTree             0:00:22       0.1265    0.0788
        25   RobustScaler DecisionTree                      0:00:22       0.1440    0.0788
        26   MinMaxScaler DecisionTree                      0:00:24       0.0813    0.0788
        27   MinMaxScaler DecisionTree                      0:00:24       0.1243    0.0788
        28   StandardScalerWrapper DecisionTree             0:00:24       0.0907    0.0788
        29   MinMaxScaler DecisionTree                      0:00:23       0.1126    0.0788
