Running on local machine
Parent Run ID: AutoML_f10372f9-8275-484b-84b6-1ec28ac85de3

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:29       0.0810    0.0810
         1   MinMaxScaler DecisionTree                      0:00:23       0.0854    0.0810
         2   StandardScalerWrapper LassoLars                0:00:25       0.1089    0.0810
         3   RobustScaler ElasticNet                        0:00:23       0.1064    0.0810
         4   StandardScalerWrapper LassoLars                0:00:22       0.1089    0.0810
         5   RobustScaler ElasticNet                        0:00:23       0.1076    0.0810
         6   RobustScaler DecisionTree                      0:00:21       0.0701    0.0701
         7   MinMaxScaler DecisionTree                      0:00:22       0.0832    0.0701
         8   RobustScaler DecisionTree                      0:00:23       0.0900    0.0701
         9   MinMaxScaler DecisionTree                      0:00:21       0.0756    0.0701
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0879    0.0701
        11   StandardScalerWrapper DecisionTree             0:00:24       0.0826    0.0701
        12   RobustScaler DecisionTree                      0:00:31       0.0902    0.0701
        13   RobustScaler ElasticNet                        0:00:21       0.1300    0.0701
        14   StandardScalerWrapper DecisionTree             0:00:27       0.1031    0.0701
        15   MinMaxScaler DecisionTree                      0:00:18       0.0893    0.0701
        16   MinMaxScaler DecisionTree                      0:00:23       0.0681    0.0681
        17   RobustScaler DecisionTree                      0:00:22       0.0979    0.0681
        18   RobustScaler DecisionTree                      0:00:22       0.0862    0.0681
        19   StandardScalerWrapper DecisionTree             0:00:33       0.0968    0.0681
        20   StandardScalerWrapper DecisionTree             0:00:22       0.1183    0.0681
        21   StandardScalerWrapper DecisionTree             0:00:23       0.0668    0.0668
        22   MinMaxScaler DecisionTree                      0:00:22       0.0732    0.0668
        23   MinMaxScaler DecisionTree                      0:00:21       0.1260    0.0668
        24   MinMaxScaler DecisionTree                      0:00:22       0.0834    0.0668
        25   RobustScaler DecisionTree                      0:01:28       0.1124    0.0668
        26   StandardScalerWrapper ExtremeRandomTrees       0:00:34       0.1326    0.0668
        27   StandardScalerWrapper DecisionTree             0:00:17       0.0714    0.0668
        28   MinMaxScaler DecisionTree                      0:00:39       0.1142    0.0668
        29   StandardScalerWrapper RandomForest             0:00:25       0.1272    0.0668
