Running on local machine
Parent Run ID: AutoML_885c15d9-8a3c-4027-ae8c-d8ba312a221f

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:24       0.0944    0.0944
         1   MinMaxScaler DecisionTree                      0:00:23       0.0843    0.0843
         2   StandardScalerWrapper LassoLars                0:00:24       0.1180    0.0843
         3   RobustScaler ElasticNet                        0:00:25       0.1153    0.0843
         4   StandardScalerWrapper LassoLars                0:00:23       0.1179    0.0843
         5   RobustScaler ElasticNet                        0:00:23       0.1164    0.0843
         6   RobustScaler DecisionTree                      0:00:22       0.0959    0.0843
         7   MinMaxScaler DecisionTree                      0:00:23       0.0763    0.0763
         8   RobustScaler DecisionTree                      0:00:22       0.1261    0.0763
         9   MinMaxScaler DecisionTree                      0:00:23       0.0893    0.0763
        10   StandardScalerWrapper DecisionTree             0:00:26       0.1041    0.0763
        11   StandardScalerWrapper DecisionTree             0:00:24       0.1053    0.0763
        12   RobustScaler DecisionTree                      0:00:23       0.1016    0.0763
        13   RobustScaler ElasticNet                        0:00:23       0.1355    0.0763
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1020    0.0763
        15   MinMaxScaler DecisionTree                      0:00:25       0.0933    0.0763
        16   MinMaxScaler DecisionTree                      0:00:23       0.1053    0.0763
        17   RobustScaler DecisionTree                      0:00:23       0.0816    0.0763
        18   RobustScaler DecisionTree                      0:00:22       0.1147    0.0763
        19   StandardScalerWrapper DecisionTree             0:00:24       0.0999    0.0763
        20   StandardScalerWrapper DecisionTree             0:00:24       0.1236    0.0763
        21   StandardScalerWrapper DecisionTree             0:00:23       0.0869    0.0763
        22   MinMaxScaler DecisionTree                      0:00:23       0.0885    0.0763
        23   MinMaxScaler DecisionTree                      0:00:23       0.0873    0.0763
        24   StandardScalerWrapper DecisionTree             0:00:25       0.1213    0.0763
        25   RobustScaler DecisionTree                      0:00:23       0.1295    0.0763
        26   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1308    0.0763
        27   MinMaxScaler DecisionTree                      0:00:23       0.0908    0.0763
        28   MinMaxScaler DecisionTree                      0:00:23       0.1071    0.0763
        29   MinMaxScaler LightGBM                          0:00:22       0.1243    0.0763
        30   StandardScalerWrapper DecisionTree             0:00:22       0.1293    0.0763
        31   StandardScalerWrapper RandomForest             0:00:25       0.1360    0.0763
        32   StandardScalerWrapper RandomForest             0:00:25       0.1145    0.0763
        33   MinMaxScaler RandomForest                      0:00:31       0.1296    0.0763
        34   MinMaxScaler DecisionTree                      0:00:55       0.0857    0.0763
        35   RobustScaler DecisionTree                      0:00:23       0.1158    0.0763
        36   StandardScalerWrapper DecisionTree             0:00:23       0.0857    0.0763
        37   RobustScaler LightGBM                          0:00:26       0.0789    0.0763
        38   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1326    0.0763
        39   StandardScalerWrapper RandomForest             0:00:20       0.1141    0.0763
        40   StandardScalerWrapper DecisionTree             0:00:23       0.0823    0.0763
        41   RobustScaler DecisionTree                      0:00:24       0.0891    0.0763
        42   StandardScalerWrapper DecisionTree             0:00:24       0.0810    0.0763
        43   RobustScaler DecisionTree                      0:00:24       0.0629    0.0629
        44   RobustScaler DecisionTree                      0:00:23       0.0798    0.0629
        45   StandardScalerWrapper DecisionTree             0:00:23       0.1123    0.0629
        46   StandardScalerWrapper DecisionTree             0:00:23       0.0987    0.0629
        47   MinMaxScaler DecisionTree                      0:00:23       0.0786    0.0629
        48   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1251    0.0629
        49   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1228    0.0629
        50   MinMaxScaler DecisionTree                      0:00:24       0.1303    0.0629
        51   RobustScaler DecisionTree                      0:00:23       0.0957    0.0629
        52   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1374    0.0629
        53   StandardScalerWrapper RandomForest             0:00:26       0.1268    0.0629
        54   RobustScaler RandomForest                      0:00:25       0.0972    0.0629
        55   StandardScalerWrapper DecisionTree             0:00:24       0.1087    0.0629
        56   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1395    0.0629
