WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_8b13fe32-dc8c-4fd3-8036-c594fda326be

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.1185    0.1185
         1   MinMaxScaler DecisionTree                      0:00:22       0.1222    0.1185
         2   StandardScalerWrapper LassoLars                0:00:22       0.1280    0.1185
         3   RobustScaler ElasticNet                        0:00:17       0.1281    0.1185
         4   StandardScalerWrapper LassoLars                0:00:22       0.1280    0.1185
         5   RobustScaler ElasticNet                        0:00:23       0.1280    0.1185
         6   RobustScaler DecisionTree                      0:00:21       0.1183    0.1183
         7   MinMaxScaler DecisionTree                      0:00:22       0.1247    0.1183
         8   RobustScaler DecisionTree                      0:00:22       0.1224    0.1183
         9   MinMaxScaler DecisionTree                      0:00:22       0.1208    0.1183
        10   StandardScalerWrapper DecisionTree             0:00:22       0.1192    0.1183
        11   StandardScalerWrapper DecisionTree             0:00:23       0.1189    0.1183
        12   RobustScaler DecisionTree                      0:00:22       0.1188    0.1183
        13   RobustScaler ElasticNet                        0:00:18       0.1277    0.1183
        14   StandardScalerWrapper DecisionTree             0:00:23       0.1192    0.1183
        15   MinMaxScaler DecisionTree                      0:00:22       0.1203    0.1183
        16   MinMaxScaler DecisionTree                      0:00:22       0.1190    0.1183
        17   RobustScaler DecisionTree                      0:00:17       0.1183    0.1183
        18   RobustScaler DecisionTree                      0:00:22       0.1196    0.1183
        19   StandardScalerWrapper DecisionTree             0:00:23       0.1206    0.1183
        20   StandardScalerWrapper DecisionTree             0:00:24       0.1203    0.1183
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1214    0.1183
        22   MinMaxScaler DecisionTree                      0:00:23       0.1202    0.1183
        23   MinMaxScaler LightGBM                          0:00:24       0.1201    0.1183
        24   MinMaxScaler DecisionTree                      0:00:23       0.1185    0.1183
        25   RobustScaler DecisionTree                      0:00:24       0.1253    0.1183
        26   MinMaxScaler DecisionTree                      0:00:22       0.1186    0.1183
        27   StandardScalerWrapper RandomForest             0:00:25       0.1222    0.1183
        28   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1199    0.1183
        29   StandardScalerWrapper RandomForest             0:00:20       0.1212    0.1183
        30   RobustScaler DecisionTree                      0:00:22       0.1222    0.1183
