WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_56d358b3-ab94-4668-ac39-f7af8b7fee57

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:27       0.1192    0.1192
         1   MinMaxScaler DecisionTree                      0:00:28       0.1218    0.1192
         2   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_56d358b3-ab94-4668-ac39-f7af8b7fee57_2/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=fJTNtqPUNhLPNhAsONtqTLGvgmT8EGYzNWwkCl8m98s%3D&st=2020-10-03T03%3A01%3A48Z&se=2020-10-04T03%3A11%3A48Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper LassoLars                0:02:56       0.1280    0.1192
         3   RobustScaler ElasticNet                        0:00:22       0.1281    0.1192
         4   StandardScalerWrapper LassoLars                0:00:23       0.1280    0.1192
         5   RobustScaler ElasticNet                        0:00:22       0.1280    0.1192
         6   RobustScaler DecisionTree                      0:00:23       0.1192    0.1192
         7   MinMaxScaler DecisionTree                      0:00:23       0.1260    0.1192
         8   RobustScaler DecisionTree                      0:00:25       0.1218    0.1192
         9   MinMaxScaler DecisionTree                      0:00:17       0.1191    0.1191
        10   StandardScalerWrapper DecisionTree             0:00:22       0.1193    0.1191
        11   StandardScalerWrapper DecisionTree             0:00:23       0.1188    0.1188
        12   RobustScaler DecisionTree                      0:00:22       0.1201    0.1188
        13   RobustScaler ElasticNet                        0:00:21       0.1277    0.1188
        14   StandardScalerWrapper DecisionTree             0:00:23       0.1193    0.1188
        15   MinMaxScaler DecisionTree                      0:00:23       0.1198    0.1188
        16   MinMaxScaler DecisionTree                      0:00:23       0.1187    0.1187
        17   RobustScaler DecisionTree                      0:00:24       0.1197    0.1187
        18   RobustScaler DecisionTree                      0:00:22       0.1196    0.1187
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1202    0.1187
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1204    0.1187
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1218    0.1187
        22   MinMaxScaler LightGBM                          0:00:23       0.1201    0.1187
        23   MinMaxScaler DecisionTree                      0:00:22       0.1198    0.1187
        24   MinMaxScaler DecisionTree                      0:00:22       0.1185    0.1185
        25   RobustScaler DecisionTree                      0:00:22       0.1254    0.1185
        26   MinMaxScaler DecisionTree                      0:00:23       0.1187    0.1185
        27   StandardScalerWrapper RandomForest             0:00:23       0.1217    0.1185
        28   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1199    0.1185
        29   StandardScalerWrapper RandomForest             0:00:24       0.1213    0.1185
        30   RobustScaler DecisionTree                      0:00:22       0.1216    0.1185
        31   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1195    0.1185
        32   RobustScaler RandomForest                      0:00:25       0.1167    0.1167
        33   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1207    0.1167
        34   RobustScaler RandomForest                      0:00:25       0.1213    0.1167
        35   MinMaxScaler RandomForest                      0:00:24       0.1247    0.1167
        36   MinMaxScaler RandomForest                      0:00:25       0.1177    0.1167
        37   MinMaxScaler ExtremeRandomTrees                0:00:20       0.1196    0.1167
        38   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1218    0.1167
        39   RobustScaler ExtremeRandomTrees                0:00:29       0.1204    0.1167
        40   RobustScaler RandomForest                      0:00:25       0.1247    0.1167
        41   MinMaxScaler DecisionTree                      0:00:24       0.1206    0.1167
        42   RobustScaler RandomForest                      0:00:26       0.1194    0.1167
        43   RobustScaler RandomForest                      0:00:24       0.1209    0.1167
        44   RobustScaler ExtremeRandomTrees                0:00:24       0.1193    0.1167
        45   RobustScaler RandomForest                      0:00:29       0.1230    0.1167
        46   RobustScaler ExtremeRandomTrees                0:00:24       0.1230    0.1167
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1188    0.1167
        48   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1203    0.1167
        49   RobustScaler RandomForest                      0:00:24       0.1235    0.1167
        50   StandardScalerWrapper RandomForest             0:00:25       0.1228    0.1167
        51   RobustScaler ExtremeRandomTrees                0:00:24       0.1223    0.1167
        52   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1242    0.1167
        53   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1211    0.1167
        54   RobustScaler RandomForest                      0:00:26       0.1219    0.1167
        55   StandardScalerWrapper RandomForest             0:00:27       0.1237    0.1167
        56   RobustScaler ExtremeRandomTrees                0:00:24       0.1174    0.1167
        57   RobustScaler RandomForest                      0:00:24       0.1168    0.1167
        58   RobustScaler ExtremeRandomTrees                0:00:24       0.1211    0.1167
        59   MinMaxScaler RandomForest                      0:00:24       0.1213    0.1167
        60   RobustScaler RandomForest                      0:00:24       0.1244    0.1167
        61   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1212    0.1167
        62   RobustScaler ExtremeRandomTrees                0:00:26       0.1224    0.1167
        63   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1179    0.1167
        64   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1186    0.1167
        65   MinMaxScaler RandomForest                      0:00:25       0.1271    0.1167
        66   MinMaxScaler RandomForest                      0:00:24       0.1217    0.1167
        67   RobustScaler ExtremeRandomTrees                0:00:24       0.1209    0.1167
        68   StandardScalerWrapper GradientBoosting         0:00:24       0.1206    0.1167
        69   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1197    0.1167
        70   RobustScaler RandomForest                      0:00:24       0.1249    0.1167
        71   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1206    0.1167
        72   StandardScalerWrapper RandomForest             0:00:26       0.1205    0.1167
        73   RobustScaler ExtremeRandomTrees                0:00:29       0.1212    0.1167
        74   RobustScaler RandomForest                      0:00:32       0.1192    0.1167
        75   RobustScaler RandomForest                      0:00:26       0.1232    0.1167
