Running on local machine
Parent Run ID: AutoML_dfcaf50e-733e-4fb6-adaf-a468d9948f3f

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:18       0.1106    0.1106
         1   MinMaxScaler DecisionTree                      0:00:16       0.1143    0.1106
         2   StandardScalerWrapper LassoLars                0:00:20       0.1151    0.1106
         3   RobustScaler ElasticNet                        0:00:24       0.1155    0.1106
         4   StandardScalerWrapper LassoLars                0:00:23       0.1151    0.1106
         5   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_dfcaf50e-733e-4fb6-adaf-a468d9948f3f_5/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=AirSawing3biLP2yWiDLm7F15H2yvF2z9kJ311I%2FsWk%3D&st=2020-09-19T15%3A23%3A45Z&se=2020-09-20T15%3A33%3A45Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ElasticNet                        0:03:01       0.1154    0.1106
         6   RobustScaler DecisionTree                      0:00:25       0.1151    0.1106
         7   MinMaxScaler DecisionTree                      0:00:34       0.1207    0.1106
         8   RobustScaler DecisionTree                      0:00:17       0.1125    0.1106
         9   MinMaxScaler DecisionTree                      0:00:23       0.1138    0.1106
        10   StandardScalerWrapper DecisionTree             0:00:22       0.1153    0.1106
        11   StandardScalerWrapper DecisionTree             0:00:25       0.1095    0.1095
        12   RobustScaler DecisionTree                      0:00:22       0.1182    0.1095
        13   RobustScaler ElasticNet                        0:00:22       0.1132    0.1095
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1154    0.1095
        15   MinMaxScaler DecisionTree                      0:00:22       0.1105    0.1095
        16   MinMaxScaler DecisionTree                      0:00:23       0.1283    0.1095
        17   RobustScaler DecisionTree                      0:00:35       0.1187    0.1095
        18   RobustScaler DecisionTree                      0:00:31       0.1258    0.1095
        19   StandardScalerWrapper DecisionTree             0:00:17       0.1153    0.1095
        20   StandardScalerWrapper DecisionTree             0:00:17       0.1127    0.1095
