Running on local machine
Parent Run ID: AutoML_d27a3edf-7ecf-4861-852a-05f337310fbd

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:31       0.1026    0.1026
         1   MinMaxScaler DecisionTree                      0:00:23       0.1025    0.1025
         2   StandardScalerWrapper LassoLars                0:00:25       0.1038    0.1025
         3   RobustScaler ElasticNet                        0:00:24       0.1041    0.1025
         4   StandardScalerWrapper LassoLars                0:00:23       0.1038    0.1025
         5   RobustScaler ElasticNet                        0:00:22       0.1040    0.1025
         6   RobustScaler DecisionTree                      0:00:22       0.1094    0.1025
         7   MinMaxScaler DecisionTree                      0:00:24       0.1150    0.1025
         8   RobustScaler DecisionTree                      0:00:22       0.1039    0.1025
         9   MinMaxScaler DecisionTree                      0:00:23       0.1149    0.1025
        10   StandardScalerWrapper DecisionTree             0:00:23       0.1057    0.1025
        11   StandardScalerWrapper DecisionTree             0:00:29       0.1102    0.1025
        12   RobustScaler DecisionTree                      0:00:30       0.1261    0.1025
        13   RobustScaler ElasticNet                        0:00:35       0.1031    0.1025
        14   StandardScalerWrapper DecisionTree             0:00:25       0.1040    0.1025
        15   MinMaxScaler DecisionTree                      0:00:28       0.1160    0.1025
        16   MinMaxScaler DecisionTree                      0:00:23       0.1079    0.1025
        17   RobustScaler DecisionTree                      0:00:21       0.0957    0.0957
        18   RobustScaler DecisionTree                      0:00:29       0.1041    0.0957
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1186    0.0957
        20   StandardScalerWrapper DecisionTree             0:00:24       0.0959    0.0957
        21   StandardScalerWrapper DecisionTree             0:00:28       0.1106    0.0957
        22   MinMaxScaler LightGBM                          0:00:23       0.1031    0.0957
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1049    0.0957
        24   MinMaxScaler DecisionTree                      0:00:21       0.1007    0.0957
        25   RobustScaler DecisionTree                      0:00:23       0.1070    0.0957
        26   MinMaxScaler DecisionTree                      0:00:22       0.1129    0.0957
        27   StandardScalerWrapper DecisionTree             0:00:23       0.0959    0.0957
        28   MinMaxScaler DecisionTree                      0:00:22       0.0980    0.0957
        29   StandardScalerWrapper RandomForest             0:00:24       0.1015    0.0957
