Running on local machine
Parent Run ID: AutoML_51cef0b5-7489-4c72-8b99-320e84ba5e0d

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:08:49       0.1019    0.1019
         1   MinMaxScaler DecisionTree                      0:00:22       0.1058    0.1019
         2   StandardScalerWrapper LassoLars                0:00:25       0.1038    0.1019
         3   RobustScaler ElasticNet                        0:00:22       0.1041    0.1019
         4   StandardScalerWrapper LassoLars                0:00:23       0.1038    0.1019
         5   RobustScaler ElasticNet                        0:00:23       0.1040    0.1019
         6   RobustScaler DecisionTree                      0:00:34       0.1010    0.1010
         7   MinMaxScaler DecisionTree                      0:00:24       0.1138    0.1010
         8   RobustScaler DecisionTree                      0:00:22       0.0991    0.0991
         9   MinMaxScaler DecisionTree                      0:00:26       0.1030    0.0991
        10   StandardScalerWrapper DecisionTree             0:00:28       0.1062    0.0991
        11   StandardScalerWrapper DecisionTree             0:00:24       0.1003    0.0991
        12   RobustScaler DecisionTree                      0:00:25       0.1204    0.0991
        13   RobustScaler ElasticNet                        0:00:22       0.1031    0.0991
        14   StandardScalerWrapper DecisionTree             0:00:22       0.1038    0.0991
        15   MinMaxScaler DecisionTree                      0:00:46       0.1086    0.0991
        16   MinMaxScaler DecisionTree                      0:00:23       0.0911    0.0911
        17   RobustScaler DecisionTree                      0:00:23       0.1111    0.0911
        18   RobustScaler DecisionTree                      0:00:24       0.1119    0.0911
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1046    0.0911
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1006    0.0911
        21   StandardScalerWrapper DecisionTree             0:00:34       0.1107    0.0911
        22   MinMaxScaler LightGBM                          0:00:23       0.1031    0.0911
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:21       0.1017    0.0911
        24   MinMaxScaler DecisionTree                      0:00:27       0.1057    0.0911
        25   RobustScaler DecisionTree                      0:00:23       0.1153    0.0911
        26   MinMaxScaler DecisionTree                      0:00:22       0.1071    0.0911
        27   StandardScalerWrapper DecisionTree             0:00:22       0.0999    0.0911
        28   MinMaxScaler DecisionTree                      0:00:23       0.0981    0.0911
        29   StandardScalerWrapper RandomForest             0:00:24       0.1010    0.0911
