Running on local machine
Parent Run ID: AutoML_408afb4a-d0dd-408e-8d5d-9a24fb4feede

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:25       0.1134    0.1134
         1   MinMaxScaler DecisionTree                      0:00:29       0.1177    0.1134
         2   StandardScalerWrapper LassoLars                0:00:25       0.1151    0.1134
         3   RobustScaler ElasticNet                        0:00:24       0.1155    0.1134
         4   StandardScalerWrapper LassoLars                0:00:24       0.1151    0.1134
         5   RobustScaler ElasticNet                        0:00:30       0.1154    0.1134
         6   RobustScaler DecisionTree                      0:00:23       0.1164    0.1134
         7   MinMaxScaler DecisionTree                      0:00:29       0.1225    0.1134
         8   RobustScaler DecisionTree                      0:00:25       0.1155    0.1134
         9   MinMaxScaler DecisionTree                      0:00:41       0.1166    0.1134
        10   StandardScalerWrapper DecisionTree             0:00:26       0.1238    0.1134
        11   StandardScalerWrapper DecisionTree             0:00:25       0.1248    0.1134
        12   RobustScaler DecisionTree                      0:00:24       0.1041    0.1041
        13   RobustScaler ElasticNet                        0:00:23       0.1132    0.1041
        14   StandardScalerWrapper DecisionTree             0:00:24       0.1195    0.1041
        15   MinMaxScaler DecisionTree                      0:00:24       0.1158    0.1041
        16   MinMaxScaler DecisionTree                      0:00:25       0.1200    0.1041
        17   RobustScaler DecisionTree                      0:00:24       0.1260    0.1041
        18   RobustScaler DecisionTree                      0:00:23       0.1116    0.1041
        19   StandardScalerWrapper DecisionTree             0:00:23       0.1233    0.1041
        20   StandardScalerWrapper DecisionTree             0:00:24       0.1135    0.1041
        21   StandardScalerWrapper DecisionTree             0:00:23       0.1340    0.1041
        22   MinMaxScaler LightGBM                          0:00:25       0.1142    0.1041
        23   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1164    0.1041
        24   MinMaxScaler DecisionTree                      0:00:24       0.1146    0.1041
        25   RobustScaler DecisionTree                      0:00:24       0.1161    0.1041
        26   StandardScalerWrapper DecisionTree             0:00:26       0.1201    0.1041
        27   MinMaxScaler DecisionTree                      0:00:24       0.1107    0.1041
        28   MinMaxScaler DecisionTree                      0:00:24       0.1131    0.1041
        29   StandardScalerWrapper RandomForest             0:00:25       0.1135    0.1041
        30   RobustScaler DecisionTree                      0:00:23       0.1120    0.1041
        31   RobustScaler ExtremeRandomTrees                0:00:25       0.1136    0.1041
