WARNING - Received unrecognized parameter ensemble_download_models_timeout_sec
Running on local machine
Parent Run ID: AutoML_6d731355-25bb-4235-a5fe-4b01fe1a4fa0

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2064)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:23       0.1229    0.1229
         1   MinMaxScaler DecisionTree                      0:00:22       0.1241    0.1229
         2   StandardScalerWrapper LassoLars                0:00:21       0.1273    0.1229
         3   RobustScaler ElasticNet                        0:00:22       0.1274    0.1229
         4   StandardScalerWrapper LassoLars                0:00:21       0.1273    0.1229
         5   RobustScaler ElasticNet                        0:00:21       0.1273    0.1229
         6   RobustScaler DecisionTree                      0:00:20       0.1232    0.1229
         7   MinMaxScaler DecisionTree                      0:00:22       0.1274    0.1229
         8   RobustScaler DecisionTree                      0:00:20       0.1243    0.1229
         9   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_6d731355-25bb-4235-a5fe-4b01fe1a4fa0_9/outputs/model.pkl?sv=2019-02-02&sr=b&sig=SryMT6PLv9Fx5q2JN8rGRH1rbuEl4KVlDytKDjMUjQk%3D&st=2020-09-30T22%3A10%3A50Z&se=2020-10-01T22%3A20%3A50Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:08       0.1239    0.1229
        10   StandardScalerWrapper DecisionTree             0:00:21       0.1237    0.1229
        11   StandardScalerWrapper DecisionTree             0:00:20       0.1233    0.1229
        12   RobustScaler DecisionTree                      0:00:21       0.1235    0.1229
        13   RobustScaler ElasticNet                        0:00:21       0.1271    0.1229
        14   StandardScalerWrapper DecisionTree             0:00:24       0.1241    0.1229
        15   MinMaxScaler DecisionTree                      0:00:22       0.1238    0.1229
        16   MinMaxScaler DecisionTree                      0:00:16       0.1228    0.1228
        17   RobustScaler DecisionTree                      0:00:21       0.1237    0.1228
        18   RobustScaler DecisionTree                      0:00:21       0.1231    0.1228
        19   StandardScalerWrapper DecisionTree             0:00:22       0.1239    0.1228
        20   StandardScalerWrapper DecisionTree             0:00:21       0.1251    0.1228
        21   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1237    0.1228
        22   MinMaxScaler LightGBM                          0:00:21       0.1226    0.1226
        23   MinMaxScaler DecisionTree                      0:00:22       0.1243    0.1226
        24   MinMaxScaler DecisionTree                      0:00:22       0.1232    0.1226
        25   MinMaxScaler LightGBM                          0:00:21       0.1252    0.1226
