Running on local machine
Parent Run ID: AutoML_92f2d747-c413-44b0-91b5-aecb2149a189

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:26       0.0821    0.0821
         1   MinMaxScaler DecisionTree                      0:00:28       0.0865    0.0821
         2   StandardScalerWrapper LassoLars                0:00:22       0.0986    0.0821
         3   RobustScaler ElasticNet                        0:00:23       0.1045    0.0821
         4   StandardScalerWrapper LassoLars                0:00:22       0.0986    0.0821
         5   RobustScaler ElasticNet                        0:00:22       0.1042    0.0821
         6   RobustScaler DecisionTree                      0:00:23       0.0923    0.0821
         7   MinMaxScaler DecisionTree                      0:00:24       0.0974    0.0821
         8   RobustScaler DecisionTree                      0:00:22       0.0964    0.0821
         9   MinMaxScaler DecisionTree                      0:00:21       0.0946    0.0821
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0855    0.0821
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0926    0.0821
        12   RobustScaler DecisionTree                      0:00:21       0.0923    0.0821
        13   RobustScaler ElasticNet                        0:00:21       0.1134    0.0821
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0777    0.0777
        15   MinMaxScaler DecisionTree                      0:00:18       0.0775    0.0775
        16   MinMaxScaler DecisionTree                      0:00:21       0.0939    0.0775
        17   RobustScaler DecisionTree                      0:00:22       0.0864    0.0775
        18   RobustScaler DecisionTree                      0:00:23       0.0938    0.0775
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0800    0.0775
        20   StandardScalerWrapper DecisionTree             0:00:23       0.0861    0.0775
        21   StandardScalerWrapper DecisionTree             0:00:23       0.1027    0.0775
        22   MinMaxScaler DecisionTree                      0:00:22       0.0937    0.0775
        23   MinMaxScaler DecisionTree                      0:00:23       0.1011    0.0775
        24   StandardScalerWrapper DecisionTree             0:00:17       0.0924    0.0775
        25   RobustScaler DecisionTree                      0:00:23       0.1084    0.0775
        26   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1054    0.0775
        27   MinMaxScaler DecisionTree                      0:00:21       0.0936    0.0775
        28   MinMaxScaler DecisionTree                      0:00:22       0.0900    0.0775
        29   MinMaxScaler LightGBM                          0:00:22       0.1000    0.0775
        30   RobustScaler DecisionTree                      0:00:17       0.1015    0.0775
        31   StandardScalerWrapper RandomForest             0:00:23       0.1073    0.0775
        32   StandardScalerWrapper RandomForest             0:00:24       0.0898    0.0775
        33   MinMaxScaler RandomForest                      0:00:30       0.0975    0.0775
        34   MinMaxScaler DecisionTree                      0:00:23       0.1117    0.0775
        35   MinMaxScaler DecisionTree                      0:00:24       0.0963    0.0775
        36   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1081    0.0775
        37   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1134    0.0775
        38   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1054    0.0775
        39   RobustScaler RandomForest                      0:00:24       0.0895    0.0775
        40   StandardScalerWrapper DecisionTree             0:00:22       0.1060    0.0775
        41   StandardScalerWrapper RandomForest             0:00:23       0.1003    0.0775
        42   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1152    0.0775
        43   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1106    0.0775
        44   RobustScaler RandomForest                      0:00:24       0.1010    0.0775
        45   RobustScaler DecisionTree                      0:00:25       0.0999    0.0775
        46   RobustScaler ExtremeRandomTrees                0:00:29       0.1060    0.0775
        47   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1154    0.0775
        48   MinMaxScaler RandomForest                      0:00:24       0.0926    0.0775
        49   RobustScaler ExtremeRandomTrees                0:00:28       0.1087    0.0775
        50   StandardScalerWrapper DecisionTree             0:00:26       0.1039    0.0775
        51   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1037    0.0775
        52   StandardScalerWrapper ExtremeRandomTrees       0:00:28       0.1126    0.0775
        53   MinMaxScaler DecisionTree                      0:00:23       0.0989    0.0775
        54   StandardScalerWrapper RandomForest             0:00:41       0.0940    0.0775
        55   StandardScalerWrapper DecisionTree             0:00:25       0.1105    0.0775
        56   RobustScaler ExtremeRandomTrees                0:00:29       0.1067    0.0775
        57   RobustScaler RandomForest                      0:00:25       0.0996    0.0775
        58   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1151    0.0775
        59   RobustScaler RandomForest                      0:00:24       0.1077    0.0775
        60   RobustScaler DecisionTree                      0:00:22       0.1086    0.0775
        61   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1050    0.0775
        62   RobustScaler ExtremeRandomTrees                0:00:24       0.1035    0.0775
        63   RobustScaler RandomForest                      0:00:28       0.1122    0.0775
        64   RobustScaler ExtremeRandomTrees                0:00:27       0.1158    0.0775
        65   RobustScaler DecisionTree                      0:00:23       0.0994    0.0775
        66   RobustScaler RandomForest                      0:00:25       0.0873    0.0775
        67   MinMaxScaler ExtremeRandomTrees                0:00:29       0.1094    0.0775
        68   RobustScaler RandomForest                      0:00:24       0.0987    0.0775
        69   RobustScaler ExtremeRandomTrees                0:00:24       0.1061    0.0775
        70   MinMaxScaler DecisionTree                      0:00:22       0.1196    0.0775
        71   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1095    0.0775
        72   StandardScalerWrapper RandomForest             0:00:24       0.1004    0.0775
        73   RobustScaler RandomForest                      0:00:21       0.0889    0.0775
        74   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1102    0.0775
        75   StandardScalerWrapper DecisionTree             0:00:24       0.0952    0.0775
        76   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1091    0.0775
        77   RobustScaler ExtremeRandomTrees                0:00:24       0.1066    0.0775
        78   MinMaxScaler RandomForest                      0:00:23       0.0938    0.0775
