Running on local machine
Parent Run ID: AutoML_7bbd8662-0afa-49c1-ab2b-d92bdbd9c9cc

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0846    0.0846
         1   MinMaxScaler DecisionTree                      0:00:26       0.0927    0.0846
         2   StandardScalerWrapper LassoLars                0:00:21       0.0986    0.0846
         3   RobustScaler ElasticNet                        0:00:16       0.1045    0.0846
         4   StandardScalerWrapper LassoLars                0:00:21       0.0986    0.0846
         5   RobustScaler ElasticNet                        0:00:21       0.1042    0.0846
         6   RobustScaler DecisionTree                      0:00:21       0.0966    0.0846
         7   MinMaxScaler DecisionTree                      0:00:22       0.0895    0.0846
         8   RobustScaler DecisionTree                      0:00:22       0.0995    0.0846
         9   MinMaxScaler DecisionTree                      0:00:21       0.0877    0.0846
        10   StandardScalerWrapper DecisionTree             0:00:24       0.0880    0.0846
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0949    0.0846
        12   RobustScaler DecisionTree                      0:00:22       0.1035    0.0846
        13   RobustScaler ElasticNet                        0:00:21       0.1134    0.0846
        14   StandardScalerWrapper DecisionTree             0:00:21       0.0916    0.0846
        15   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_7bbd8662-0afa-49c1-ab2b-d92bdbd9c9cc_15/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=DzyIa77%2BHClkLqEgGbIHplqe7mj8KU2JABLyX0lOOPg%3D&st=2020-09-10T03%3A17%3A28Z&se=2020-09-11T03%3A27%3A28Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:07       0.0833    0.0833
        16   MinMaxScaler DecisionTree                      0:00:21       0.0865    0.0833
        17   RobustScaler DecisionTree                      0:00:28       0.0924    0.0833
        18   RobustScaler DecisionTree                      0:00:22       0.0978    0.0833
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0895    0.0833
        20   StandardScalerWrapper DecisionTree             0:00:23       0.1069    0.0833
