Running on local machine
Parent Run ID: AutoML_1a1eb9f0-3048-4910-9039-5698f665a8a2

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0895    0.0895
         1   MinMaxScaler DecisionTree                      0:00:22       0.0862    0.0862
         2   StandardScalerWrapper LassoLars                0:00:21       0.0986    0.0862
         3   RobustScaler ElasticNet                        0:00:22       0.1045    0.0862
         4   StandardScalerWrapper LassoLars                0:00:21       0.0986    0.0862
         5   RobustScaler ElasticNet                        0:00:22       0.1042    0.0862
         6   RobustScaler DecisionTree                      0:00:23       0.0826    0.0826
         7   MinMaxScaler DecisionTree                      0:00:23       0.0807    0.0807
         8   RobustScaler DecisionTree                      0:00:21       0.0907    0.0807
         9   MinMaxScaler DecisionTree                      0:00:22       0.0861    0.0807
        10   StandardScalerWrapper DecisionTree             0:00:23       0.0922    0.0807
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0865    0.0807
        12   RobustScaler DecisionTree                      0:00:22       0.0911    0.0807
        13   RobustScaler ElasticNet                        0:00:23       0.1134    0.0807
        14   StandardScalerWrapper DecisionTree             0:00:22       0.0881    0.0807
        15   MinMaxScaler DecisionTree                      0:00:21       0.0908    0.0807
        16   MinMaxScaler DecisionTree                      0:00:21       0.0949    0.0807
        17   RobustScaler DecisionTree                      0:00:22       0.0919    0.0807
        18   RobustScaler DecisionTree                      0:00:21       0.0957    0.0807
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0905    0.0807
        20   StandardScalerWrapper DecisionTree             0:00:21       0.1082    0.0807
        21   StandardScalerWrapper DecisionTree             0:00:23       0.0859    0.0807
        22   MinMaxScaler DecisionTree                      0:00:21       0.0894    0.0807
        23   MinMaxScaler DecisionTree                      0:00:22       0.0975    0.0807
        24   StandardScalerWrapper DecisionTree             0:00:34       0.0857    0.0807
        25   RobustScaler DecisionTree                      0:00:24       0.1122    0.0807
