Running on local machine
Parent Run ID: AutoML_5855199a-6881-4bca-861c-e308166da01a

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:21       0.0910    0.0910
         1   MinMaxScaler DecisionTree                      0:00:22       0.0873    0.0873
         2   StandardScalerWrapper LassoLars                0:00:22       0.0986    0.0873
         3   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_5855199a-6881-4bca-861c-e308166da01a_3/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=81%2B6ot45LPn5PAEEBRIsJqJtQZM%2BNnAKvuVQ6Ytxh0I%3D&st=2020-09-09T23%3A56%3A42Z&se=2020-09-11T00%3A06%3A42Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
RobustScaler ElasticNet                        0:03:11       0.1045    0.0873
         4   StandardScalerWrapper LassoLars                0:00:22       0.0986    0.0873
         5   RobustScaler ElasticNet                        0:00:22       0.1042    0.0873
         6   RobustScaler DecisionTree                      0:00:22       0.0904    0.0873
         7   MinMaxScaler DecisionTree                      0:00:21       0.1012    0.0873
         8   RobustScaler DecisionTree                      0:00:24       0.0943    0.0873
         9   MinMaxScaler DecisionTree                      0:00:18       0.0920    0.0873
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0979    0.0873
        11   StandardScalerWrapper DecisionTree             0:00:21       0.0911    0.0873
        12   RobustScaler DecisionTree                      0:00:26       0.1012    0.0873
        13   RobustScaler ElasticNet                        0:00:23       0.1134    0.0873
        14   StandardScalerWrapper DecisionTree             0:00:26       0.0788    0.0788
        15   MinMaxScaler DecisionTree                      0:00:21       0.0799    0.0788
        16   MinMaxScaler DecisionTree                      0:00:21       0.0967    0.0788
        17   RobustScaler DecisionTree                      0:00:21       0.0902    0.0788
        18   RobustScaler DecisionTree                      0:00:20       0.0870    0.0788
        19   StandardScalerWrapper DecisionTree             0:00:21       0.0860    0.0788
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0992    0.0788
        21   StandardScalerWrapper DecisionTree             0:00:21       0.0906    0.0788
        22   MinMaxScaler DecisionTree                      0:00:24       0.0914    0.0788
        23   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_5855199a-6881-4bca-861c-e308166da01a_23/outputs/model.pkl?sv=2019-02-02&sr=b&sig=PyMkHgk5%2B9BbQTWgU79Q9JALs6kcX63da0BISQcqLyU%3D&st=2020-09-10T00%3A07%3A03Z&se=2020-09-11T00%3A17%3A03Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_5855199a-6881-4bca-861c-e308166da01a_23/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=74PNSzcaiTdsPKN16cbC%2B0DuUvciiX6lbkjdGjYw2FU%3D&st=2020-09-10T00%3A07%3A03Z&se=2020-09-11T00%3A17%3A03Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler DecisionTree                      0:03:07       0.0916    0.0788
        24   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1030    0.0788
        25   RobustScaler DecisionTree                      0:00:17       0.0947    0.0788
        26   StandardScalerWrapper DecisionTree             0:00:21       0.0900    0.0788
        27   MinMaxScaler DecisionTree                      0:00:23       0.1040    0.0788
        28   MinMaxScaler DecisionTree                      0:00:21       0.0822    0.0788
        29   MinMaxScaler LightGBM                          0:00:23       0.1000    0.0788
        30   RobustScaler DecisionTree                      0:00:24       0.0963    0.0788
        31   StandardScalerWrapper RandomForest             0:00:23       0.1086    0.0788
        32   StandardScalerWrapper RandomForest             0:00:24       0.0881    0.0788
        33   MinMaxScaler RandomForest                      0:00:29       0.0972    0.0788
        34   MinMaxScaler DecisionTree                      0:00:22       0.0960    0.0788
        35   MinMaxScaler DecisionTree                      0:00:21       0.1114    0.0788
        36   RobustScaler LightGBM                          0:00:25       0.0826    0.0788
        37   StandardScalerWrapper LightGBM                 0:00:23       0.0934    0.0788
        38   RobustScaler LightGBM                          0:00:23       0.1081    0.0788
        39   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1139    0.0788
        40   RobustScaler DecisionTree                      0:00:21       0.0960    0.0788
        41   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1024    0.0788
        42   MinMaxScaler LightGBM                          0:00:22       0.0935    0.0788
        43   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1086    0.0788
        44   StandardScalerWrapper RandomForest             0:00:24       0.1009    0.0788
        45   StandardScalerWrapper DecisionTree             0:00:21       0.1066    0.0788
        46   RobustScaler RandomForest                      0:00:24       0.0898    0.0788
        47   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1021    0.0788
        48   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_5855199a-6881-4bca-861c-e308166da01a_48/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=%2FNM%2BGQ3Gp7P2yYOcZsh8AThYbijP4grwcKmSZtEI0u8%3D&st=2020-09-10T00%3A19%3A40Z&se=2020-09-11T00%3A29%3A40Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:03:05       0.1106    0.0788
        49   MinMaxScaler ExtremeRandomTrees                0:00:38       0.1152    0.0788
        50   StandardScalerWrapper DecisionTree             0:00:24       0.0846    0.0788
        51   RobustScaler RandomForest                      0:00:25       0.1011    0.0788
        52   MinMaxScaler RandomForest                      0:00:25       0.0942    0.0788
        53   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1162    0.0788
        54   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1127    0.0788
        55   StandardScalerWrapper DecisionTree             0:00:22       0.0975    0.0788
        56   StandardScalerWrapper RandomForest             0:00:25       0.0936    0.0788
        57   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1097    0.0788
        58   MinMaxScaler ExtremeRandomTrees                0:00:34       0.1146    0.0788
        59   RobustScaler ExtremeRandomTrees                0:00:29       0.1054    0.0788
        60   RobustScaler DecisionTree                      0:00:24       0.1012    0.0788
        61   MinMaxScaler ExtremeRandomTrees                0:00:29       0.1092    0.0788
        62   RobustScaler RandomForest                      0:00:30       0.0990    0.0788
        63   RobustScaler ExtremeRandomTrees                0:00:28       0.1091    0.0788
        64   MinMaxScaler DecisionTree                      0:00:21       0.0989    0.0788
        65   RobustScaler DecisionTree                      0:00:22       0.1016    0.0788
        66   RobustScaler ExtremeRandomTrees                0:00:29       0.1069    0.0788
        67   RobustScaler RandomForest                      0:00:25       0.0865    0.0788
        68   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1049    0.0788
        69   RobustScaler ExtremeRandomTrees                0:00:35       0.1039    0.0788
        70   RobustScaler DecisionTree                      0:00:22       0.0942    0.0788
        71   RobustScaler RandomForest                      0:00:23       0.1052    0.0788
        72   RobustScaler RandomForest                      0:00:27       0.0992    0.0788
        73   RobustScaler ExtremeRandomTrees                0:00:23       0.1156    0.0788
        74   RobustScaler RandomForest                      0:00:25       0.1125    0.0788
        75   RobustScaler DecisionTree                      0:00:17       0.1071    0.0788
        76   RobustScaler RandomForest                      0:00:24       0.1162    0.0788
        77   MinMaxScaler ExtremeRandomTrees                0:00:28       0.1190    0.0788
        78   RobustScaler ExtremeRandomTrees                0:00:23       0.0998    0.0788
        79   StandardScalerWrapper ExtremeRandomTrees       0:00:25       0.1102    0.0788
        80   StandardScalerWrapper DecisionTree             0:00:24       0.1159    0.0788
        81   RobustScaler ExtremeRandomTrees                0:00:26       0.1136    0.0788
        82   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1047    0.0788
        83   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1016    0.0788
        84   RobustScaler ExtremeRandomTrees                0:00:32       0.1049    0.0788
        85   StandardScalerWrapper DecisionTree             0:00:22       0.1099    0.0788
        86   MinMaxScaler ExtremeRandomTrees                0:00:33       0.0981    0.0788
        87   StandardScalerWrapper RandomForest             0:00:27       0.1003    0.0788
        88   StandardScalerWrapper ExtremeRandomTrees       0:00:30       0.1104    0.0788
        89   MinMaxScaler RandomForest                      0:00:24       0.0929    0.0788
        90   StandardScalerWrapper DecisionTree             0:00:23       0.1013    0.0788
        91   RobustScaler ExtremeRandomTrees                0:00:24       0.1089    0.0788
        92   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1062    0.0788
        93   RobustScaler ExtremeRandomTrees                0:00:26       0.1116    0.0788
        94   StandardScalerWrapper ExtremeRandomTrees       0:00:24       0.1073    0.0788
        95   RobustScaler DecisionTree                      0:00:23       0.1027    0.0788
        96   StandardScalerWrapper RandomForest             0:00:24       0.0987    0.0788
        97   MinMaxScaler ExtremeRandomTrees                0:00:24       0.1087    0.0788
        98   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1090    0.0788
