Running on local machine
Parent Run ID: AutoML_af9f4f63-7465-4fc0-9353-9689360ca1d7

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:00:22       0.0810    0.0810
         1   MinMaxScaler DecisionTree                      0:00:22       0.0970    0.0810
         2   StandardScalerWrapper LassoLars                0:00:21       0.0986    0.0810
         3   RobustScaler ElasticNet                        0:00:22       0.1045    0.0810
         4   StandardScalerWrapper LassoLars                0:00:21       0.0986    0.0810
         5   RobustScaler ElasticNet                        0:00:21       0.1042    0.0810
         6   RobustScaler DecisionTree                      0:00:21       0.0849    0.0810
         7   MinMaxScaler DecisionTree                      0:00:22       0.0647    0.0647
         8   RobustScaler DecisionTree                      0:00:22       0.0995    0.0647
         9   MinMaxScaler DecisionTree                      0:00:21       0.0972    0.0647
        10   StandardScalerWrapper DecisionTree             0:00:21       0.0956    0.0647
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0997    0.0647
        12   RobustScaler DecisionTree                      0:00:22       0.0900    0.0647
        13   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_af9f4f63-7465-4fc0-9353-9689360ca1d7_13/outputs/conda_env_v_1_0_0.yml?sv=2019-02-02&sr=b&sig=5LeXTkfu0%2BqGOupU0fhUm92sfppAD1G7VkLndZZdtp0%3D&st=2020-09-10T06%3A36%3A25Z&se=2020-09-11T06%3A46%3A25Z&sp=rcw&comp=blocklist&timeout=30
RobustScaler ElasticNet                        0:00:26       0.1134    0.0647
        14   StandardScalerWrapper DecisionTree             0:00:24       0.0916    0.0647
        15   MinMaxScaler DecisionTree                      0:00:24       0.1020    0.0647
        16   MinMaxScaler DecisionTree                      0:00:22       0.0844    0.0647
        17   RobustScaler DecisionTree                      0:00:22       0.0861    0.0647
        18   RobustScaler DecisionTree                      0:00:22       0.0918    0.0647
        19   StandardScalerWrapper DecisionTree             0:00:22       0.0812    0.0647
        20   StandardScalerWrapper DecisionTree             0:00:22       0.0973    0.0647
        21   StandardScalerWrapper DecisionTree             0:00:22       0.0815    0.0647
