Running on local machine
Parent Run ID: AutoML_f48e6295-603c-4919-a469-8fdd709e459e

Current status: DatasetFeaturization. Beginning to featurize the dataset.
Current status: DatasetFeaturizationCompleted. Completed featurizing the dataset.
Heuristic parameters: Target_Lag = '[0]', Target_Rolling_Window = '0', Max_Horizon = '2'.
WARNING - Converting non-string tag to string: (forecasting_target_lags: [0])
WARNING - Converting non-string tag to string: (forecasting_target_rolling_window_size: 0)
WARNING - Converting non-string tag to string: (forecasting_max_horizon: 2)
Current status: DatasetCrossValidationSplit. Generating individually featurized CV splits.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.
Current status: DatasetFeaturization. Beginning to featurize the CV split.
Current status: DatasetFeaturizationCompleted. Completed featurizing the CV split.

****************************************************************************************************
DATA GUARDRAILS: 

TYPE:         Frequency detection
STATUS:       PASSED
DESCRIPTION:  The time series was analyzed, all data points are aligned with detected frequency.
              

****************************************************************************************************

TYPE:         Missing feature values imputation
STATUS:       PASSED
DESCRIPTION:  No feature missing values were detected in the training data.
              Learn more about missing value imputation: https://aka.ms/AutomatedMLFeaturization

****************************************************************************************************

TYPE:         Memory Issues Detection
STATUS:       PASSED
DESCRIPTION:  The selected horizon, lag and rolling window values were analyzed, and no potential memory issues were detected.
              Learn more about time-series forecasting configurations: https://aka.ms/AutomatedMLForecastingConfiguration

****************************************************************************************************
Current status: ModelSelection. Beginning model selection.

****************************************************************************************************
ITERATION: The iteration being evaluated.
PIPELINE: A summary description of the pipeline being evaluated.
DURATION: Time taken for the current iteration.
METRIC: The result of computing score on the fitted pipeline.
BEST: The best observed score thus far.
****************************************************************************************************

 ITERATION   PIPELINE                                       DURATION      METRIC      BEST
         0   MaxAbsScaler DecisionTree                      0:06:40       0.0947    0.0947
         1   MinMaxScaler DecisionTree                      0:00:23       0.0905    0.0905
         2   StandardScalerWrapper LassoLars                0:00:30       0.1021    0.0905
         3   RobustScaler ElasticNet                        0:00:22       0.1076    0.0905
         4   StandardScalerWrapper LassoLars                0:00:22       0.1021    0.0905
         5   RobustScaler ElasticNet                        0:00:25       0.1076    0.0905
         6   RobustScaler DecisionTree                      0:00:21       0.0898    0.0898
         7   MinMaxScaler DecisionTree                      0:00:21       0.0701    0.0701
         8   RobustScaler DecisionTree                      0:00:22       0.0958    0.0701
         9   MinMaxScaler DecisionTree                      0:00:23       0.0970    0.0701
        10   StandardScalerWrapper DecisionTree             0:00:22       0.0937    0.0701
        11   StandardScalerWrapper DecisionTree             0:00:22       0.0910    0.0701
        12   RobustScaler DecisionTree                      0:00:33       0.0875    0.0701
        13   RobustScaler ElasticNet                        0:00:26       0.1199    0.0701
        14   StandardScalerWrapper DecisionTree             0:00:31       0.0779    0.0701
        15   MinMaxScaler DecisionTree                      0:00:25       0.0843    0.0701
        16   MinMaxScaler DecisionTree                      0:00:22       0.1110    0.0701
        17   RobustScaler DecisionTree                      0:00:24       0.0934    0.0701
        18   RobustScaler DecisionTree                      0:00:25       0.0934    0.0701
        19   StandardScalerWrapper DecisionTree             0:00:20       0.0938    0.0701
        20   StandardScalerWrapper DecisionTree             0:00:25       0.1091    0.0701
        21   StandardScalerWrapper DecisionTree             0:00:29       0.0816    0.0701
        22   MinMaxScaler DecisionTree                      0:00:23       0.0903    0.0701
        23   MinMaxScaler DecisionTree                      0:00:23       0.0885    0.0701
        24   StandardScalerWrapper DecisionTree             0:00:23       0.0941    0.0701
        25   RobustScaler DecisionTree                      0:00:23       0.1136    0.0701
        26   StandardScalerWrapper ExtremeRandomTrees       0:00:26       0.1134    0.0701
        27   MinMaxScaler DecisionTree                      0:00:22       0.1076    0.0701
        28   StandardScalerWrapper DecisionTree             0:00:21       0.0881    0.0701
        29   StandardScalerWrapper DecisionTree             0:00:22       0.0851    0.0701
        30   StandardScalerWrapper DecisionTree             0:00:23       0.1167    0.0701
        31   MinMaxScaler DecisionTree                      0:00:22       0.0880    0.0701
        32   MinMaxScaler LightGBM                          0:00:23       0.1092    0.0701
        33   StandardScalerWrapper RandomForest             0:00:24       0.1138    0.0701
        34   StandardScalerWrapper RandomForest             0:00:24       0.0945    0.0701
        35   RobustScaler DecisionTree                      0:00:28       0.0964    0.0701
        36   MinMaxScaler DecisionTree                      0:00:23       0.0835    0.0701
        37   MinMaxScaler RandomForest                      0:00:31       0.1035    0.0701
        38   StandardScalerWrapper DecisionTree             0:00:24       0.0926    0.0701
        39   RobustScaler DecisionTree                      0:00:23       0.0843    0.0701
        40   StandardScalerWrapper DecisionTree             0:00:24       0.1175    0.0701
        41   RobustScaler LightGBM                          0:00:26       0.0881    0.0701
        42   MinMaxScaler ExtremeRandomTrees                0:00:25       0.1105    0.0701
        43   RobustScaler ExtremeRandomTrees                0:00:25       0.1128    0.0701
        44   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1067    0.0701
        45   StandardScalerWrapper DecisionTree             0:00:24       0.1155    0.0701
        46   StandardScalerWrapper ExtremeRandomTrees       0:00:29       0.1213    0.0701
        47   RobustScaler RandomForest                      0:00:20       0.1117    0.0701
        48   RobustScaler RandomForest                      0:00:26       0.1085    0.0701
        49   MinMaxScaler ExtremeRandomTrees                0:00:26       0.1234    0.0701
        50   RobustScaler DecisionTree                      0:00:18       0.1065    0.0701
        51   MinMaxScaler RandomForest                      0:00:26       0.0813    0.0701
        52   RobustScaler RandomForest                      0:00:26       0.1249    0.0701
        53   MinMaxScaler LightGBM                          0:00:24       0.0968    0.0701
        54   StandardScalerWrapper RandomForest             0:00:25       0.1063    0.0701
        55   RobustScaler DecisionTree                      0:00:24       0.1105    0.0701
        56   RobustScaler ExtremeRandomTrees                0:00:40       0.1114    0.0701
        57   RobustScaler RandomForest                      0:00:26       0.1193    0.0701
        58   MinMaxScaler ExtremeRandomTrees                0:00:19       0.1113    0.0701
        59   RobustScaler LightGBM                          0:00:25       0.0997    0.0701
        60   StandardScalerWrapper DecisionTree             0:00:23       0.1128    0.0701
        61   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_f48e6295-603c-4919-a469-8fdd709e459e_61/outputs/scoring_file_v_1_0_0.py?sv=2019-02-02&sr=b&sig=mQICzrQyCPmaQhcZTmJykFOucvOl8DoHJSKTs52WwUg%3D&st=2020-09-03T17%3A01%3A01Z&se=2020-09-04T17%3A11%3A01Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
MinMaxScaler RandomForest                      0:03:00       0.1048    0.0701
        62   WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))': /azureml/ExperimentRun/dcid.AutoML_f48e6295-603c-4919-a469-8fdd709e459e_62/outputs/env_dependencies.json?sv=2019-02-02&sr=b&sig=MpR4j2V563UsixsweHRgXjA%2BG%2F9c2arYC%2BewS3hzRZk%3D&st=2020-09-03T17%3A04%3A00Z&se=2020-09-04T17%3A14%3A00Z&sp=rcw&comp=block&blockid=TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQXdNREF3TURBd01EQSUzRA%3D%3D&timeout=30
StandardScalerWrapper ExtremeRandomTrees       0:00:33       0.1183    0.0701
        63   StandardScalerWrapper ExtremeRandomTrees       0:00:27       0.1156    0.0701
        64   MinMaxScaler ExtremeRandomTrees                0:00:30       0.1284    0.0701
        65   StandardScalerWrapper DecisionTree             0:00:23       0.1228    0.0701
        66   StandardScalerWrapper ExtremeRandomTrees       0:00:20       0.1165    0.0701
        67   MinMaxScaler RandomForest                      0:00:27       0.0769    0.0701
        68   StandardScalerWrapper ExtremeRandomTrees       0:00:23       0.1022    0.0701
        69   MinMaxScaler ExtremeRandomTrees                0:00:27       0.1156    0.0701
        70   MinMaxScaler DecisionTree                      0:00:24       0.1207    0.0701
        71   RobustScaler ExtremeRandomTrees                0:00:26       0.1242    0.0701
        72   StandardScalerWrapper RandomForest             0:00:30       0.1132    0.0701
        73   MinMaxScaler RandomForest                      0:00:24       0.1198    0.0701
        74   RobustScaler RandomForest                      0:00:20       0.1128    0.0701
        75   StandardScalerWrapper DecisionTree             0:00:24       0.0878    0.0701
        76   RobustScaler ExtremeRandomTrees                0:00:25       0.1001    0.0701
        77   RobustScaler RandomForest                      0:00:24       0.0899    0.0701
